# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.375414534291e-10       4.659823482460e-15       3.719209144221e-13       0.000000000000e+00       8.105263713608e-09       4.470211090839e-10      -1.955079568152e-12 
    3       1.301543899289e-10       6.379752186426e-15       4.287465223896e-13       0.000000000000e+00       5.055918546988e-09       3.178987628496e-10      -1.537259257696e-12 
    4       1.230907223049e-10       5.920468464769e-15       4.097697489065e-13       0.000000000000e+00       3.523618548411e-09       2.409031440675e-10      -1.061075261547e-12 
    5       1.177363181335e-10       4.252235045104e-15       3.560537246099e-13       0.000000000000e+00       2.631350124104e-09       1.903711375422e-10      -6.414781899867e-13 
    6       1.140118096843e-10       2.527658651700e-15       2.918085254820e-13       0.000000000000e+00       2.054432838947e-09       1.549333453764e-10      -3.139577090088e-13 
    7       1.115768331770e-10       1.372732848518e-15       2.317155912151e-13       0.000000000000e+00       1.655512978698e-09       1.289423400307e-10      -8.698756594280e-14 
    8       1.101198560004e-10       8.232731380749e-16       1.829570436380e-13       0.000000000000e+00       1.367012689912e-09       1.092488181915e-10       4.709210280736e-14 
    9       1.093985182317e-10       6.280979134517e-16       1.480496495868e-13       0.000000000000e+00       1.151045861353e-09       9.392630166882e-11       1.053636037892e-13 
   10       1.092117769327e-10       5.459819919351e-16       1.265786358742e-13       0.000000000000e+00       9.843561410799e-10       8.175477625619e-11       1.095171045154e-13 
   11       1.094586584523e-10       4.697219301353e-16       1.163912505259e-13       0.000000000000e+00       8.277828996009e-10       7.218505448736e-11       8.189233897634e-14 
   12       1.100445477624e-10       3.978508613477e-16       1.146049571262e-13       0.000000000000e+00       7.231719923716e-10       6.394002262630e-11       4.157649326831e-14 
   13       1.108792414777e-10       3.567040415171e-16       1.182738685670e-13       0.000000000000e+00       6.373149621013e-10       5.718951788335e-11       3.107593269657e-15 
   14       1.118840871905e-10       3.530216480461e-16       1.249438192790e-13       0.000000000000e+00       5.658927184920e-10       5.129000349053e-11      -2.528916905813e-14 
   15       1.130736001471e-10       3.732431749934e-16       1.329624041245e-13       0.000000000000e+00       5.057847252102e-10       4.632892176408e-11      -3.996792507570e-14 
   16       1.144244441884e-10       4.034621244787e-16       1.412560034561e-13       0.000000000000e+00       4.546875526525e-10       4.209603440583e-11      -4.191847215024e-14 
   17       1.158650857398e-10       4.420792629953e-16       1.492931325521e-13       0.000000000000e+00       4.108614138758e-10       3.842254856758e-11      -3.477372215051e-14 
   18       1.173966025152e-10       4.972897170471e-16       1.571406313864e-13       0.000000000000e+00       3.728269295626e-10       3.515181308899e-11      -2.345243976005e-14 
   19       1.190308610150e-10       5.745560702574e-16       1.650470242796e-13       0.000000000000e+00       3.399814389833e-10       3.226842683681e-11      -1.171904551091e-14 
   20       1.207221618802e-10       6.768462362193e-16       1.732909567057e-13       0.000000000000e+00       3.110556614452e-10       2.973565958899e-11      -3.212681785765e-15 
   21       1.224827513293e-10       8.021546527050e-16       1.820430877886e-13       0.000000000000e+00       2.855944859864e-10       2.751308230709e-11       8.831024877299e-16 
   22       1.243108472345e-10       9.464304471151e-16       1.913675832659e-13       0.000000000000e+00       2.629886932334e-10       2.552095995721e-11       5.577379877495e-16 
   23       1.261968846175e-10       1.109796312127e-15       2.010238842914e-13       0.000000000000e+00       2.429269917323e-10       2.372515648207e-11      -3.072739882117e-15 
   24       1.281119711523e-10       1.293377491137e-15       2.106199286576e-13       0.000000000000e+00       2.249449227865e-10       2.208858284625e-11      -8.195889520991e-15 
   25       1.300754908094e-10       1.496977712113e-15       2.198709644330e-13       0.000000000000e+00       2.088307627570e-10       2.061650756752e-11      -1.319113439078e-14 
   26       1.321025531064e-10       1.719942675571e-15       2.284870317719e-13       0.000000000000e+00       1.942927230529e-10       1.930850030524e-11      -1.648758140454e-14 
