# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.371255036369e-10       4.135057270039e-15       3.571557616424e-13       2.246136873178e-19       8.114031686546e-09       4.464315442436e-10      -1.808939878813e-12 
    3       1.298112678787e-10       5.487889137796e-15       4.081296345666e-13       4.493307200714e-19       5.046323826690e-09       3.171540838653e-10      -1.378038146743e-12 
    4       1.228318081595e-10       5.134945269231e-15       3.917700350738e-13       7.491118371944e-19       3.516617177387e-09       2.401167484179e-10      -9.353702078595e-13 
    5       1.175363419689e-10       3.902547075720e-15       3.449380927402e-13       1.124088359021e-18       2.625419148304e-09       1.896942989017e-10      -5.796786413969e-13 
    6       1.138259054351e-10       2.581197006251e-15       2.890897561854e-13       1.574419039053e-18       2.049671658443e-09       1.544625103126e-10      -3.248076176123e-13 
    7       1.113653797919e-10       1.574580196687e-15       2.369897501291e-13       2.100286729704e-18       1.651712917192e-09       1.286831187601e-10      -1.584860205135e-13 
    8       1.098509311890e-10       9.504950244876e-16       1.945297573508e-13       2.701894631999e-18       1.363444370507e-09       1.091466547867e-10      -5.891250679979e-14 
    9       1.090471848271e-10       6.195889539060e-16       1.634709595048e-13       3.379462250254e-18       1.147297806630e-09       9.390422089892e-11      -4.324233871692e-15 
   10       1.087719413725e-10       4.648276724237e-16       1.432190745345e-13       4.133221180664e-18       9.806546766146e-10       8.174685146777e-11       2.259565429995e-14 
   11       1.089289005434e-10       3.979682528419e-16       1.320137313529e-13       4.963410865855e-18       8.277777413775e-10       7.224692633082e-11       3.362790861678e-14 
   12       1.094314985295e-10       3.689995639701e-16       1.276808132104e-13       5.870274445770e-18       7.231673030792e-10       6.394478062165e-11       3.540069496939e-14 
   13       1.101961300342e-10       3.564488736558e-16       1.281897284052e-13       6.854054828788e-18       6.373105841162e-10       5.713701223556e-11       3.208111953642e-14 
   14       1.111398387149e-10       3.548708041697e-16       1.319951443392e-13       7.914991096046e-18       5.658885500950e-10       5.119638192041e-11       2.533717821628e-14 
   15       1.122786098146e-10       3.657563896914e-16       1.379907616441e-13       9.053315336986e-18       5.057807880474e-10       4.621842907595e-11       1.718734045479e-14 
   16       1.135926953045e-10       3.923713391647e-16       1.453953916166e-13       1.026924999578e-17       4.546838308749e-10       4.199154496450e-11       8.891661876098e-15 
   17       1.150015060010e-10       4.372049345502e-16       1.536876527252e-13       1.156300578719e-17       4.108579221553e-10       3.833953786022e-11       1.492805367002e-15 
   18       1.165078171411e-10       5.013435523144e-16       1.624990478807e-13       1.293477995902e-17       3.728247287547e-10       3.509578422504e-11      -4.354602480363e-15 
   19       1.181245106641e-10       5.849227082174e-16       1.715872808838e-13       1.438475672289e-17       3.399783527306e-10       3.223792078343e-11      -8.395151680487e-15 
   20       1.198050540989e-10       6.871263191085e-16       1.806773538128e-13       1.591310414384e-17       3.110524075888e-10       2.972327178008e-11      -1.063097926204e-14 
   21       1.215607197601e-10       8.078807187643e-16       1.896559224714e-13       1.751997837554e-17       2.855917637672e-10       2.750998807466e-11      -1.134766245584e-14 
   22       1.233887387132e-10       9.471120784999e-16       1.984334547364e-13       1.920552018440e-17       2.629862437363e-10       2.551907975607e-11      -1.105224836707e-14 
   23       1.252795917308e-10       1.105523074624e-15       2.068843709827e-13       2.096986082135e-17       2.429245690613e-10       2.371829040566e-11      -1.015925733217e-14 
   24       1.272045652456e-10       1.284007762172e-15       2.148720743782e-13       2.281311849551e-17       2.249425948317e-10       2.207344612177e-11      -9.094549493335e-15 
   25       1.291817703883e-10       1.483779818289e-15       2.223734675228e-13       2.473540611290e-17       2.088285927640e-10       2.059292571069e-11      -8.053571115352e-15 
   26       1.312245142094e-10       1.706026943227e-15       2.293913427026e-13       2.673682701441e-17       1.942906765831e-10       1.927947474876e-11      -7.157404499614e-15 
   27       1.333137564214e-10       1.951478891189e-15       2.358612234673e-13       2.881748216055e-17       1.811542022455e-10       1.810090833736e-11      -6.434060720038e-15 
   28       1.354135398303e-10       2.220683296233e-15       2.416927284193e-13       3.097746725783e-17       1.691924113513e-10       1.700832601596e-11      -5.882427724207e-15 
   29       1.375329187294e-10       2.514508523913e-15       2.468131460610e-13       3.321688324839e-17       1.583440824447e-10       1.599851839346e-11      -5.530471861521e-15 
   30       1.396856314594e-10       2.833871002849e-15       2.511480500305e-13       3.553582833701e-17       1.484925928191e-10       1.507507836237e-11      -5.413337864856e-15 
   31       1.418753122973e-10       3.179642043911e-15       2.546120010761e-13       3.793439793758e-17       1.394368236305e-10       1.423342498377e-11      -5.547365949959e-15 
   32       1.441044310194e-10       3.552726308539e-15       2.571054428012e-13       4.041269614272e-17       1.311299470286e-10       1.346625121701e-11      -5.871296058951e-15 
   33       1.463660506454e-10       3.954004460338e-15       2.585145931256e-13       4.297082904257e-17       1.235131738147e-10       1.275840250211e-11      -6.279554437728e-15 
