# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 10500, i.e. number of multipoles equal to 10499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.375040410448e-10       4.613039910452e-15       3.702642743583e-13       0.000000000000e+00       8.124108354043e-09       4.465327792978e-10      -1.944619623802e-12 
    3       1.301349505762e-10       6.278444043162e-15       4.257165725441e-13       0.000000000000e+00       5.042794505470e-09       3.172162643358e-10      -1.524273126620e-12 
    4       1.230906307627e-10       5.790488787696e-15       4.060485130355e-13       0.000000000000e+00       3.510511172232e-09       2.403572208832e-10      -1.047459126103e-12 
    5       1.177548711761e-10       4.131423335756e-15       3.521521623463e-13       0.000000000000e+00       2.619568015523e-09       1.899138843353e-10      -6.289395779571e-13 
    6       1.140481286040e-10       2.441440596628e-15       2.881256034261e-13       0.000000000000e+00       2.044160651603e-09       1.545409051996e-10      -3.038485898648e-13 
    7       1.116277625187e-10       1.323711215207e-15       2.285272185738e-13       0.000000000000e+00       1.647798904217e-09       1.286174110380e-10      -8.007497760770e-14 
    8       1.101835830276e-10       7.986561209155e-16       1.803984015682e-13       0.000000000000e+00       1.361780918783e-09       1.089808803733e-10       5.066843086196e-14 
    9       1.094726403818e-10       6.130662752468e-16       1.461458854080e-13       0.000000000000e+00       1.147206562431e-09       9.370003741332e-11       1.060137568469e-13 
   10       1.092940654935e-10       5.323910438792e-16       1.252725458714e-13       0.000000000000e+00       9.810193825851e-10       8.155730451893e-11       1.080336732055e-13 
   11       1.095479253477e-10       4.565797326778e-16       1.155530191499e-13       0.000000000000e+00       8.247317874702e-10       7.202190299072e-11       7.926651286374e-14 
   12       1.101379814357e-10       3.869914540208e-16       1.140661332169e-13       0.000000000000e+00       7.204876242343e-10       6.379152605354e-11       3.874487975071e-14 
   13       1.109766427352e-10       3.489148860152e-16       1.179038196412e-13       0.000000000000e+00       6.349363063322e-10       5.705100973607e-11       8.424705515172e-16 
   14       1.119852272968e-10       3.472283204513e-16       1.246567601949e-13       0.000000000000e+00       5.637724136974e-10       5.116064680896e-11      -2.652046355363e-14 
   15       1.131790642205e-10       3.680054802423e-16       1.326831188191e-13       0.000000000000e+00       5.038855198256e-10       4.620720090390e-11      -4.005579229599e-14 
   16       1.145307436634e-10       3.983765606836e-16       1.409784353180e-13       0.000000000000e+00       4.529777637045e-10       4.198002994095e-11      -4.106640212529e-14 
   17       1.159754325210e-10       4.377338821963e-16       1.490359796177e-13       0.000000000000e+00       4.093167152456e-10       3.831270768475e-11      -3.338025939451e-14 
   18       1.175099366149e-10       4.944835779525e-16       1.569223593498e-13       0.000000000000e+00       3.714268163289e-10       3.505165544008e-11      -2.196866493696e-14 
   19       1.191455790377e-10       5.734738451599e-16       1.649070169183e-13       0.000000000000e+00       3.387072027422e-10       3.217947710999e-11      -1.052382577577e-14 
   20       1.208387309979e-10       6.768509579070e-16       1.732867435288e-13       0.000000000000e+00       3.098931344483e-10       2.965574012927e-11      -2.532615902407e-15 
   21       1.226015684731e-10       8.027103810403e-16       1.821772092410e-13       0.000000000000e+00       2.845310537263e-10       2.743960252676e-11       9.845709536637e-16 
   22       1.244316038412e-10       9.474250485734e-16       1.915720923987e-13       0.000000000000e+00       2.620138776329e-10       2.545228869862e-11       1.971055053538e-16 
   23       1.263197229160e-10       1.111166128232e-15       2.012689834489e-13       0.000000000000e+00       2.420313806356e-10       2.366065992952e-11      -3.694556977252e-15 
   24       1.282377409998e-10       1.294985761143e-15       2.109388250473e-13       0.000000000000e+00       2.241207457280e-10       2.202856405917e-11      -8.839018255808e-15 
   25       1.302047015374e-10       1.498628318521e-15       2.202505763247e-13       0.000000000000e+00       2.080709120510e-10       2.056070284201e-11      -1.365649611675e-14 
   26       1.322350344936e-10       1.721431895617e-15       2.288429296882e-13       0.000000000000e+00       1.935910668922e-10       1.925574097956e-11      -1.665936569634e-14 
   27       1.343108068916e-10       1.964067756827e-15       2.364484876872e-13       0.000000000000e+00       1.805072513595e-10       1.808098616302e-11      -1.747093701257e-14 
   28       1.363970959108e-10       2.227772318389e-15       2.428525680134e-13       0.000000000000e+00       1.685936045381e-10       1.698842862358e-11      -1.621209059120e-14 
   29       1.385035082648e-10       2.514343199484e-15       2.480387766746e-13       0.000000000000e+00       1.577891104945e-10       1.597620516177e-11      -1.351438504750e-14 
   30       1.406440781858e-10       2.825954835213e-15       2.520845761207e-13       0.000000000000e+00       1.479775391965e-10       1.504979681180e-11      -1.037177097589e-14 
   31       1.428224552589e-10       3.164786452548e-15       2.550964775553e-13       0.000000000000e+00       1.389584905643e-10       1.420658008687e-11      -7.854987060382e-15 
   32       1.450404574976e-10       3.531957433278e-15       2.571298710175e-13       0.000000000000e+00       1.306853166753e-10       1.343943175020e-11      -6.295664974889e-15 
   33       1.472900126496e-10       3.928184432439e-15       2.582428183266e-13       0.000000000000e+00       1.230994758321e-10       1.273275999506e-11      -5.802553782253e-15 
   34       1.495570046819e-10       4.354094108829e-15       2.584799638980e-13       0.000000000000e+00       1.160947495682e-10       1.206724350552e-11      -6.384515300758e-15 
   35       1.518476567695e-10       4.810397719959e-15       2.577392483138e-13       0.000000000000e+00       1.096352441092e-10       1.144294908489e-11      -7.653431305739e-15 
   36       1.541697589471e-10       5.297762973239e-15       2.558564245071e-13       0.000000000000e+00       1.036690825719e-10       1.086348808979e-11      -9.003040660539e-15 
   37       1.565259379559e-10       5.816821792380e-15       2.526609669192e-13       0.000000000000e+00       9.811854953051e-11       1.032970362081e-11      -9.829065274739e-15 
   38       1.589170086497e-10       6.368379893184e-15       2.480550549611e-13       0.000000000000e+00       9.296928226150e-11       9.839965517248e-12      -1.005224146644e-14 
