# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 10000, i.e. number of multipoles equal to 9999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.375045067466e-10       4.613283476694e-15       3.702642703172e-13       2.435662378899e-19       8.124108354043e-09       4.465327792978e-10      -1.944619623802e-12 
    3       1.301358797483e-10       6.278931301244e-15       4.257165545382e-13       4.872580455375e-19       5.042794505470e-09       3.172162643358e-10      -1.524273126620e-12 
    4       1.230921744841e-10       5.791301159934e-15       4.060484613091e-13       8.123720606947e-19       3.510511172232e-09       2.403572208832e-10      -1.047459126103e-12 
    5       1.177571777156e-10       4.132642401823e-15       3.521520445410e-13       1.219065481929e-18       2.619568015523e-09       1.899138843353e-10      -6.289395779571e-13 
    6       1.140513428553e-10       2.443148124488e-15       2.881253718587e-13       1.707526340769e-18       2.044160651603e-09       1.545409051996e-10      -3.038485898648e-13 
    7       1.116320255194e-10       1.325989186872e-15       2.285268077742e-13       2.277968349387e-18       1.647798904217e-09       1.286174110380e-10      -8.007497760770e-14 
    8       1.101890315732e-10       8.015867524072e-16       1.803977261112e-13       2.930625183301e-18       1.361780918783e-09       1.089808803733e-10       5.066843086196e-14 
    9       1.094794067408e-10       6.167320303199e-16       1.461448380622e-13       3.665744420410e-18       1.147206562431e-09       9.370003741332e-11       1.060137568469e-13 
   10       1.093022772270e-10       5.368746412856e-16       1.252709960783e-13       4.483581369376e-18       9.810193825851e-10       8.155730451893e-11       1.080336732055e-13 
   11       1.095577052335e-10       4.619641469398e-16       1.155508118369e-13       5.384393022415e-18       8.247317874702e-10       7.202190299072e-11       7.926651286374e-14 
   12       1.101494474927e-10       3.933599098847e-16       1.140630879376e-13       6.368432359910e-18       7.204876242343e-10       6.379152605354e-11       3.874487975071e-14 
   13       1.109899083421e-10       3.563508469364e-16       1.178997300295e-13       7.435943217218e-18       6.349363063322e-10       5.705100973607e-11       8.424705515172e-16 
   14       1.120004013930e-10       3.558154716171e-16       1.246513937105e-13       8.587155898322e-18       5.637724136974e-10       5.116064680896e-11      -2.652046355363e-14 
   15       1.131962515789e-10       3.778277067687e-16       1.326762167577e-13       9.822283687689e-18       5.038855198256e-10       4.620720090390e-11      -4.005579229599e-14 
   16       1.145500452188e-10       4.095179217157e-16       1.409697130557e-13       1.114152037214e-17       4.529777637045e-10       4.198002994095e-11      -4.106640212529e-14 
   17       1.159969457381e-10       4.502785816939e-16       1.490251270563e-13       1.254503884051e-17       4.093167152456e-10       3.831270768475e-11      -3.338025939451e-14 
   18       1.175337558878e-10       5.085159325996e-16       1.569090415452e-13       1.403299025690e-17       3.714268163289e-10       3.505165544008e-11      -2.196866493696e-14 
   19       1.191717960560e-10       5.890782523358e-16       1.648908747739e-13       1.560550745769e-17       3.387072027422e-10       3.217947710999e-11      -1.052382577577e-14 
   20       1.208674351858e-10       6.941118586755e-16       1.732673947607e-13       1.726270098509e-17       3.098931344483e-10       2.965574012927e-11      -2.532615902407e-15 
   21       1.226328472879e-10       8.217122280211e-16       1.821542492218e-13       1.900466941521e-17       2.845310537263e-10       2.743960252676e-11       9.845709536637e-16 
   22       1.244655431549e-10       9.682522682715e-16       1.915450952992e-13       2.083149468504e-17       2.620138776329e-10       2.545228869862e-11       1.971055053538e-16 
   23       1.263564072132e-10       1.133903089550e-15       2.012375032272e-13       2.274325432969e-17       2.420313806356e-10       2.366065992952e-11      -3.694556977252e-15 
   24       1.282772536603e-10       1.319716738237e-15       2.109023967445e-13       2.474001677174e-17       2.241207457280e-10       2.202856405917e-11      -8.839018255808e-15 
   25       1.302471248856e-10       1.525437460812e-15       2.202087172153e-13       2.682185543440e-17       2.080709120510e-10       2.056070284201e-11      -1.365649611675e-14 
   26       1.322804499520e-10       1.750403191599e-15       2.287951407446e-13       2.898884315358e-17       1.935910668922e-10       1.925574097956e-11      -1.665936569634e-14 
   27       1.343592949202e-10       1.995285003388e-15       2.363942549941e-13       3.124106429198e-17       1.805072513595e-10       1.808098616302e-11      -1.747093701257e-14 
   28       1.364487360117e-10       2.261319084905e-15       2.427913644851e-13       3.357861088359e-17       1.685936045381e-10       1.698842862358e-11      -1.621209059120e-14 
   29       1.385583786903e-10       2.550302796945e-15       2.479700638922e-13       3.600159593739e-17       1.577891104945e-10       1.597620516177e-11      -1.351438504750e-14 
   30       1.407022558447e-10       2.864410278437e-15       2.520078063832e-13       3.851014529563e-17       1.479775391965e-10       1.504979681180e-11      -1.037177097589e-14 
   31       1.428840156129e-10       3.205820418823e-15       2.550110962317e-13       4.110439674946e-17       1.389584905643e-10       1.420658008687e-11      -7.854987060382e-15 
   32       1.451054741501e-10       3.575652220047e-15       2.570353194832e-13       4.378450729660e-17       1.306853166753e-10       1.343943175020e-11      -6.295664974889e-15 
   33       1.473585570881e-10       3.974621913283e-15       2.581385367971e-13       4.655065120859e-17       1.230994758321e-10       1.273275999506e-11      -5.802553782253e-15 
   34       1.496291460558e-10       4.403355684379e-15       2.583653946004e-13       4.940301667141e-17       1.160947495682e-10       1.206724350552e-11      -6.384515300758e-15 
   35       1.519234616008e-10       4.862564255142e-15       2.576138398025e-13       5.234179509699e-17       1.096352441092e-10       1.144294908489e-11      -7.653431305739e-15 
   36       1.542492908401e-10       5.352914740630e-15       2.557196355426e-13       5.536719034005e-17       1.036690825719e-10       1.086348808979e-11      -9.003040660539e-15 
   37       1.566092573810e-10       5.875038408973e-15       2.525122707320e-13       5.847941195080e-17       9.811854953051e-11       1.032970362081e-11      -9.829065274739e-15 
   38       1.590041730090e-10       6.429740228109e-15       2.478939452272e-13       6.167863806430e-17       9.296928226150e-11       9.839965517248e-12      -1.005224146644e-14 
   39       1.614296025483e-10       7.017851903237e-15       2.417851136893e-13       6.496504135029e-17       8.820492618261e-11       9.389455520227e-12      -9.764623916169e-15 
   40       1.638741070197e-10       7.640173074528e-15       2.341030278012e-13       6.833879936900e-17       8.378000505115e-11       8.969702154407e-12      -9.092693269608e-15 
   41       1.663246281399e-10       8.297428023580e-15       2.247841490725e-13       7.180007842502e-17       7.963576234925e-11       8.571264342778e-12      -8.190442373915e-15 
   42       1.687863635232e-10       8.990123983779e-15       2.138607182625e-13       7.534897803661e-17       7.575999404810e-11       8.193557547360e-12      -7.210005836539e-15 
   43       1.712682317460e-10       9.718643105519e-15       2.014087225738e-13       7.898556892891e-17       7.214241787906e-11       7.837719013791e-12      -6.325616009246e-15 
   44       1.737771247765e-10       1.048327475264e-14       1.875287041767e-13       8.270990714375e-17       6.875671959249e-11       7.503804343587e-12      -5.743940928638e-15 
