# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3500, i.e. number of multipoles equal to 3499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.375414724305e-10       4.659822418391e-15       3.719208193024e-13       0.000000000000e+00       8.105263016872e-09       4.470213673156e-10      -1.955079207396e-12 
    3       1.301543145089e-10       6.379751289770e-15       4.287464136259e-13       0.000000000000e+00       5.055918148767e-09       3.178984967404e-10      -1.537259056873e-12 
    4       1.230906476903e-10       5.920468410331e-15       4.097697933309e-13       0.000000000000e+00       3.523618703802e-09       2.409026568515e-10      -1.061075295610e-12 
    5       1.177362910995e-10       4.252234903606e-15       3.560537461599e-13       0.000000000000e+00       2.631350266380e-09       1.903713023845e-10      -6.414781921205e-13 
    6       1.140119825241e-10       2.527658584079e-15       2.918084988837e-13       0.000000000000e+00       2.054432982017e-09       1.549340346840e-10      -3.139577094116e-13 
    7       1.115767148957e-10       1.372732828853e-15       2.317155858433e-13       0.000000000000e+00       1.655513090813e-09       1.289424459087e-10      -8.698756242215e-14 
    8       1.101197104365e-10       8.232731366362e-16       1.829569612694e-13       0.000000000000e+00       1.367012862074e-09       1.092481059584e-10       4.709211254600e-14 
    9       1.093984141422e-10       6.280978800233e-16       1.480494385621e-13       0.000000000000e+00       1.151046097324e-09       9.392587442049e-11       1.053636039588e-13 
   10       1.092117096782e-10       5.459819260442e-16       1.265786156764e-13       0.000000000000e+00       9.843564847424e-10       8.175530088062e-11       1.095170866128e-13 
   11       1.094588011721e-10       4.697219062979e-16       1.163913439571e-13       0.000000000000e+00       8.277860448223e-10       7.218567094065e-11       8.189232443164e-14 
