# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.375419329108e-10       4.660046568806e-15       3.719208152720e-13       2.241504615131e-19       8.105263016872e-09       4.470213673156e-10      -1.955079207396e-12 
    3       1.301552332403e-10       6.380199748285e-15       4.287463956682e-13       4.484589712753e-19       5.055918148767e-09       3.178984967404e-10      -1.537259056873e-12 
    4       1.230921740156e-10       5.921216185180e-15       4.097697417464e-13       7.477770983884e-19       3.523618703802e-09       2.409026568515e-10      -1.061075295610e-12 
    5       1.177385715551e-10       4.253357195708e-15       3.560536286867e-13       1.122299842982e-18       2.631350266380e-09       1.903713023845e-10      -6.414781921205e-13 
    6       1.140151602756e-10       2.529230820831e-15       2.918082679894e-13       1.572257991213e-18       2.054432982017e-09       1.549340346840e-10      -3.139577094116e-13 
    7       1.115809292590e-10       1.374830689369e-15       2.317151762792e-13       2.097910302669e-18       1.655513090813e-09       1.289424459087e-10      -8.698756242215e-14 
    8       1.101250964933e-10       8.259725676935e-16       1.829562879188e-13       2.699534918087e-18       1.367012862074e-09       1.092481059584e-10       4.709211254600e-14 
    9       1.094051024570e-10       6.314751024106e-16       1.480483946086e-13       3.377420356728e-18       1.151046097324e-09       9.392587442049e-11       1.053636039588e-13 
   10       1.092198261200e-10       5.501134314590e-16       1.265770711012e-13       4.131856489831e-18       9.843564847424e-10       8.175530088062e-11       1.095170866128e-13 
   11       1.094684668412e-10       4.746844453731e-16       1.163891443712e-13       4.963125876733e-18       8.277860448223e-10       7.218567094065e-11       8.189232443164e-14 
   12       1.100557002141e-10       4.037214675574e-16       1.146018404356e-13       5.871495833529e-18       7.231748871893e-10       6.393976467606e-11       4.157650857333e-14 
   13       1.108920938723e-10       3.635598671916e-16       1.182696742043e-13       6.857211571084e-18       6.373176433566e-10       5.718883185875e-11       3.107619782073e-15 
   14       1.118989022842e-10       3.609400273773e-16       1.249384994452e-13       7.920490691362e-18       5.658952154682e-10       5.128996058997e-11      -2.528917149303e-14 
   15       1.130908566665e-10       3.823017385815e-16       1.329553899455e-13       9.061519270222e-18       5.057870615644e-10       4.632954051524e-11      -3.996795127270e-14 
   16       1.144431751522e-10       4.137385262184e-16       1.412472709429e-13       1.028044968387e-17       4.546897477679e-10       4.209636327043e-11      -4.191847626022e-14 
   17       1.158864498697e-10       4.536510984837e-16       1.492822616362e-13       1.157740025781e-17       4.108634838313e-10       3.842216441564e-11      -3.477369572687e-14 
   18       1.174203505277e-10       5.102348262978e-16       1.571271972454e-13       1.295245581804e-17       3.728288883237e-10       3.515141711085e-11      -2.345243833714e-14 
   19       1.190565825039e-10       5.889522739129e-16       1.650306789434e-13       1.440567547891e-17       3.399832970077e-10       3.226848929224e-11      -1.171908020039e-14 
   20       1.207501531763e-10       6.927712024064e-16       1.732713810262e-13       1.593708744203e-17       3.110574286085e-10       2.973592650281e-11      -3.212688806287e-15 
   21       1.225132515460e-10       8.196860749043e-16       1.820199259083e-13       1.754670827251e-17       2.855961714070e-10       2.751324494879e-11       8.831457502320e-16 
   22       1.243438175340e-10       9.656460672678e-16       1.913404094713e-13       1.923453648945e-17       2.629903038246e-10       2.552091078748e-11       5.577770341562e-16 
   23       1.262324308596e-10       1.130773718137e-15       2.009921856917e-13       2.100057408189e-17       2.429285338683e-10       2.372497684927e-11      -3.072753552072e-15 
   24       1.281504450725e-10       1.316194071089e-15       2.105831297017e-13       2.284482008237e-17       2.249464019520e-10       2.208850345197e-11      -8.195960984007e-15 
   25       1.301171173076e-10       1.521710914140e-15       2.198286143152e-13       2.476729387361e-17       2.088321840477e-10       2.061659817554e-11      -1.319120596737e-14 
   26       1.321473158990e-10       1.746670047255e-15       2.284388274491e-13       2.676802770849e-17       1.942940907469e-10       1.930859338577e-11      -1.648754942867e-14 
   27       1.342231976664e-10       1.991516504696e-15       2.361204593412e-13       2.884708584938e-17       1.811574746328e-10       1.813156462995e-11      -1.761936197845e-14 
   28       1.363098172367e-10       2.257208116952e-15       2.426012187346e-13       3.100455927692e-17       1.691955437677e-10       1.703693580662e-11      -1.661426098351e-14 
   29       1.384167079857e-10       2.545551552652e-15       2.478408863984e-13       3.324058264906e-17       1.583470740954e-10       1.602249591200e-11      -1.406343025017e-14 
   30       1.405578054279e-10       2.858844602947e-15       2.519010355044e-13       3.555532620987e-17       1.484954499153e-10       1.509337120913e-11      -1.093487646638e-14 
   31       1.427366637797e-10       3.199401876790e-15       2.548761760055e-13       3.794899358201e-17       1.394395585273e-10       1.424666755500e-11      -8.286403643098e-15 
   32       1.449550735383e-10       3.568379560665e-15       2.568373083912e-13       4.042182206173e-17       1.311325716952e-10       1.347573444372e-11      -6.500851114764e-15 
   33       1.472049644349e-10       3.966502959129e-15       2.578716299057e-13       4.297408807936e-17       1.235156966121e-10       1.276579876580e-11      -5.772672751114e-15 
   34       1.494722480009e-10       4.394404272337e-15       2.580534486796e-13       4.560610134968e-17       1.164822776354e-10       1.209829406268e-11      -6.198355096079e-15 
