# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 10500, i.e. number of multipoles equal to 10499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.375040410448e-10       4.613039910452e-15       3.702642743583e-13       0.000000000000e+00       8.124105056802e-09       4.465327270355e-10      -1.944617309883e-12 
    3       1.301349505762e-10       6.278444043162e-15       4.257165725441e-13       0.000000000000e+00       5.042791338864e-09       3.172161925713e-10      -1.524270093732e-12 
    4       1.230906307627e-10       5.790488787696e-15       4.060485130355e-13       0.000000000000e+00       3.510508082499e-09       2.403571272663e-10      -1.047456359838e-12 
    5       1.177548711761e-10       4.131423335756e-15       3.521521623463e-13       0.000000000000e+00       2.619564979083e-09       1.899137739856e-10      -6.289377274585e-13 
    6       1.140481286040e-10       2.441440596628e-15       2.881256034261e-13       0.000000000000e+00       2.044157660282e-09       1.545407831957e-10      -3.038478439611e-13 
    7       1.116277625187e-10       1.323711215207e-15       2.285272185738e-13       0.000000000000e+00       1.647795954257e-09       1.286172812391e-10      -8.007515615080e-14 
    8       1.101835830276e-10       7.986561209155e-16       1.803984015682e-13       0.000000000000e+00       1.361778008328e-09       1.089807453306e-10       5.066770816552e-14 
    9       1.094726403818e-10       6.130662752468e-16       1.461458854080e-13       0.000000000000e+00       1.147203690313e-09       9.369989847045e-11       1.060129069270e-13 
   10       1.092940654935e-10       5.323910438792e-16       1.252725458714e-13       0.000000000000e+00       9.810165477735e-10       8.155716220766e-11       1.080330291688e-13 
   11       1.095479253477e-10       4.565797326778e-16       1.155530191499e-13       0.000000000000e+00       8.247287902205e-10       7.202207730066e-11       7.926799502309e-14 
   12       1.101379814357e-10       3.869914540208e-16       1.140661332169e-13       0.000000000000e+00       7.204845585883e-10       6.379127413879e-11       3.874676413055e-14 
   13       1.109766427352e-10       3.489148860152e-16       1.179038196412e-13       0.000000000000e+00       6.349336286463e-10       5.705066992262e-11       8.440247916697e-16 
   14       1.119852272968e-10       3.472283204513e-16       1.246567601949e-13       0.000000000000e+00       5.637700085200e-10       5.116011327738e-11      -2.651976075909e-14 
   15       1.131790642205e-10       3.680054802423e-16       1.326831188191e-13       0.000000000000e+00       5.038825771372e-10       4.620682830956e-11      -4.005578353595e-14 
   16       1.145307436634e-10       3.983765606836e-16       1.409784353180e-13       0.000000000000e+00       4.529753801779e-10       4.197975827488e-11      -4.106681896387e-14 
