# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 10000, i.e. number of multipoles equal to 9999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.375045066827e-10       4.613283550019e-15       3.702642703173e-13       2.436395631567e-19       8.124105056802e-09       4.465327270355e-10      -1.944617309883e-12 
    3       1.301358796205e-10       6.278931447878e-15       4.257165545384e-13       4.874046794731e-19       5.042791338864e-09       3.172161925713e-10      -1.524270093732e-12 
    4       1.230921742712e-10       5.791301404287e-15       4.060484613095e-13       8.126164137053e-19       3.510508082499e-09       2.403571272663e-10      -1.047456359838e-12 
    5       1.177571773963e-10       4.132642768283e-15       3.521520445419e-13       1.219431942298e-18       2.619564979083e-09       1.899137739856e-10      -6.289377274585e-13 
    6       1.140513424085e-10       2.443148637415e-15       2.881253718605e-13       1.708039269132e-18       2.044157660282e-09       1.545407831957e-10      -3.038478439611e-13 
    7       1.116320249240e-10       1.325989870593e-15       2.285268077776e-13       2.278652073221e-18       1.647795954257e-09       1.286172812391e-10      -8.007515615080e-14 
    8       1.101890308081e-10       8.015876312097e-16       1.803977261168e-13       2.931503991419e-18       1.361778008328e-09       1.089807453306e-10       5.066770816552e-14 
    9       1.094794057850e-10       6.167331284461e-16       1.461448380713e-13       3.666842557475e-18       1.147203690313e-09       9.369989847045e-11       1.060129069270e-13 
   10       1.093022760596e-10       5.368759829269e-16       1.252709960922e-13       4.484923030439e-18       9.810165477735e-10       8.155716220766e-11       1.080330291688e-13 
   11       1.095577038336e-10       4.619657562308e-16       1.155508118573e-13       5.386002347480e-18       8.247287902205e-10       7.202207730066e-11       7.926799502309e-14 
   12       1.101494458396e-10       3.933618108976e-16       1.140630879667e-13       6.370333428539e-18       7.204845585883e-10       6.379127413879e-11       3.874676413055e-14 
   13       1.109899064149e-10       3.563530636744e-16       1.178997300700e-13       7.438160043182e-18       6.349336286463e-10       5.705066992262e-11       8.440247916697e-16 
   14       1.120003991713e-10       3.558180280090e-16       1.246513937657e-13       8.589712424312e-18       5.637700085200e-10       5.116011327738e-11      -2.651976075909e-14 
   15       1.131962490420e-10       3.778306266627e-16       1.326762168314e-13       9.825203780086e-18       5.038825771372e-10       4.620682830956e-11      -4.005578353595e-14 
   16       1.145500423463e-10       4.095212288734e-16       1.409697131526e-13       1.114482781587e-17       4.529753801779e-10       4.197975827488e-11      -4.106681896387e-14 
   17       1.159969425096e-10       4.502822997844e-16       1.490251271817e-13       1.254875733398e-17       4.093139386227e-10       3.831273746054e-11      -3.338015797013e-14 
   18       1.175337522830e-10       5.085200851933e-16       1.569090417053e-13       1.403714340705e-17       3.714238805228e-10       3.505172478249e-11      -2.196809210223e-14 
