# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 6500, i.e. number of multipoles equal to 6499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.375040284661e-10       4.613040595570e-15       3.702643359675e-13       0.000000000000e+00       8.124108829807e-09       4.465326101042e-10      -1.944619860191e-12 
    3       1.301349988990e-10       6.278444618121e-15       4.257166429633e-13       0.000000000000e+00       5.042794784158e-09       3.172164343779e-10      -1.524273261107e-12 
    4       1.230906795080e-10       5.790488823911e-15       4.060484847616e-13       0.000000000000e+00       3.510511089191e-09       2.403575395892e-10      -1.047459110751e-12 
    5       1.177548890567e-10       4.131423421736e-15       3.521521480330e-13       0.000000000000e+00       2.619567937083e-09       1.899137803071e-10      -6.289395802566e-13 
    6       1.140480154643e-10       2.441440638714e-15       2.881256199875e-13       0.000000000000e+00       2.044160583184e-09       1.545404550536e-10      -3.038485909782e-13 
    7       1.116278382001e-10       1.323711227433e-15       2.285272231884e-13       0.000000000000e+00       1.647798858802e-09       1.286173368197e-10      -8.007497934229e-14 
    8       1.101836761999e-10       7.986561219852e-16       1.803984556255e-13       0.000000000000e+00       1.361780864414e-09       1.089813421484e-10       5.066842690001e-14 
    9       1.094727090951e-10       6.130662970696e-16       1.461460209781e-13       0.000000000000e+00       1.147206458000e-09       9.370031728176e-11       1.060137591408e-13 
   10       1.092941063288e-10       5.323910860314e-16       1.252725585960e-13       0.000000000000e+00       9.810192259865e-10       8.155695996393e-11       1.080336863035e-13 
   11       1.095478335538e-10       4.565797477550e-16       1.155529591149e-13       0.000000000000e+00       8.247255980499e-10       7.202150196223e-11       7.926652098478e-14 
   12       1.101380935618e-10       3.869914262826e-16       1.140661889615e-13       0.000000000000e+00       7.204819276655e-10       6.379169570692e-11       3.874487269271e-14 
   13       1.109768138359e-10       3.489148624120e-16       1.179039004061e-13       0.000000000000e+00       6.349310340089e-10       5.705145992573e-11       8.424585825371e-16 
   14       1.119853393740e-10       3.472283321195e-16       1.246567442345e-13       0.000000000000e+00       5.637675054131e-10       5.116067311705e-11      -2.652045944320e-14 
   15       1.131788861744e-10       3.680054633328e-16       1.326832128505e-13       0.000000000000e+00       5.038809248838e-10       4.620679349891e-11      -4.005578091561e-14 
   16       1.145309626979e-10       3.983765053581e-16       1.409784714886e-13       0.000000000000e+00       4.529734501451e-10       4.197981668102e-11      -4.106640745475e-14 
   17       1.159753635641e-10       4.377338662753e-16       1.490360232750e-13       0.000000000000e+00       4.093126463208e-10       3.831296673471e-11      -3.338027911369e-14 
   18       1.175097958244e-10       4.944835466069e-16       1.569224762095e-13       0.000000000000e+00       3.714229655127e-10       3.505191753476e-11      -2.196866094617e-14 
   19       1.191456856803e-10       5.734737638132e-16       1.649072056432e-13       0.000000000000e+00       3.387035523611e-10       3.217943148845e-11      -1.052379295736e-14 
   20       1.208389519453e-10       6.768508775120e-16       1.732869606874e-13       0.000000000000e+00       3.098896648532e-10       2.965556357269e-11      -2.532600919930e-15 
   21       1.226018082864e-10       8.027103137415e-16       1.821774217864e-13       0.000000000000e+00       2.845277459984e-10       2.743950208950e-11       9.845490655887e-16 
   22       1.244319458437e-10       9.474249390424e-16       1.915723023014e-13       0.000000000000e+00       2.620107173554e-10       2.545232788506e-11       1.970806950039e-16 
   23       1.263201533631e-10       1.111165982356e-15       2.012692323123e-13       0.000000000000e+00       2.420283552083e-10       2.366077769718e-11      -3.694551266353e-15 
   24       1.282380839415e-10       1.294985667309e-15       2.109391785323e-13       0.000000000000e+00       2.241178451412e-10       2.202860626931e-11      -8.838973551922e-15 
   25       1.302048672846e-10       1.498628275145e-15       2.202510162109e-13       0.000000000000e+00       2.080681266120e-10       2.056063212681e-11      -1.365644558181e-14 
   26       1.322350939216e-10       1.721431781035e-15       2.288433417773e-13       0.000000000000e+00       1.935883877446e-10       1.925568496880e-11      -1.665937538998e-14 
   27       1.343108487350e-10       1.964067542624e-15       2.364488450956e-13       0.000000000000e+00       1.805046706186e-10       1.808102025654e-11      -1.747101053871e-14 
   28       1.363971777371e-10       2.227772119376e-15       2.428529742073e-13       0.000000000000e+00       1.685911159788e-10       1.698851251811e-11      -1.621214922934e-14 
   29       1.385036561522e-10       2.514343095846e-15       2.480393075109e-13       0.000000000000e+00       1.577867079362e-10       1.597628154607e-11      -1.351437211792e-14 
   30       1.406442789673e-10       2.825954798718e-15       2.520852148738e-13       0.000000000000e+00       1.479752168073e-10       1.504982501358e-11      -1.037169582784e-14 
   31       1.428226562897e-10       3.164786353596e-15       2.550971183072e-13       0.000000000000e+00       1.389562435469e-10       1.420654242558e-11      -7.854921682892e-15 
   32       1.450406047275e-10       3.531957183024e-15       2.571304290513e-13       0.000000000000e+00       1.306831403484e-10       1.343933825460e-11      -6.295660449862e-15 
   33       1.472900649570e-10       3.928184042229e-15       2.582432747097e-13       0.000000000000e+00       1.230973658642e-10       1.273265507571e-11      -5.802605926532e-15 
   34       1.495569414811e-10       4.354093680794e-15       2.584803701885e-13       0.000000000000e+00       1.160927023964e-10       1.206719955399e-11      -6.384567796020e-15 
   35       1.518474952376e-10       4.810397312827e-15       2.577396839268e-13       0.000000000000e+00       1.096332562904e-10       1.144301135801e-11      -7.653440949311e-15 
   36       1.541695660030e-10       5.297762548103e-15       2.558569854861e-13       0.000000000000e+00       1.036671509180e-10       1.086365040706e-11      -9.003002612519e-15 
   37       1.565258223359e-10       5.816821226740e-15       2.526617483078e-13       0.000000000000e+00       9.811667134689e-11       1.032990989673e-11      -9.829011712213e-15 
   38       1.589170511054e-10       6.368379121961e-15       2.480560683199e-13       0.000000000000e+00       9.296745481953e-11       9.840158852378e-12      -1.005220281915e-14 
   39       1.613387634348e-10       6.953268877575e-15       2.419602502879e-13       0.000000000000e+00       8.820314676017e-11       9.389595307264e-12      -9.764615266143e-15 
   40       1.637794534119e-10       7.572291169004e-15       2.342913655532e-13       0.000000000000e+00       8.377827121132e-11       8.969768869433e-12      -9.092710438866e-15 
   41       1.662260033326e-10       8.226171368744e-15       2.249857292624e-13       0.000000000000e+00       7.963407208025e-11       8.571260136506e-12      -8.190463222154e-15 
   42       1.686836312839e-10       8.915417708118e-15       2.140756925365e-13       0.000000000000e+00       7.575834537046e-11       8.193491807901e-12      -7.210009844909e-15 
   43       1.711613059686e-10       9.640413349418e-15       2.016374564507e-13       0.000000000000e+00       7.214080885570e-11       7.837604614639e-12      -6.325591099147e-15 
   44       1.736659802093e-10       1.040144872403e-14       1.877718233529e-13       0.000000000000e+00       6.875514850282e-11       7.503658010273e-12      -5.743885445088e-15 
   45       1.762022378360e-10       1.119880224364e-14       1.725686860590e-13       0.000000000000e+00       6.556841838619e-11       7.190882970315e-12      -5.643758262938e-15 
   46       1.787717090480e-10       1.203302289862e-14       1.559847196247e-13       0.000000000000e+00       6.257559916849e-11       6.898757193316e-12      -5.969784029128e-15 
   47       1.813730467383e-10       1.290472370642e-14       1.379313735172e-13       0.000000000000e+00       5.977320020263e-11       6.626087715163e-12      -6.580060262560e-15 
   48       1.840017558105e-10       1.381450334758e-14       1.183077520530e-13       0.000000000000e+00       5.714883598173e-11       6.370615704566e-12      -7.301175075055e-15 
   49       1.866499326593e-10       1.476294613857e-14       9.699981544008e-14       0.000000000000e+00       5.468056469089e-11       6.128940369288e-12      -7.926435257702e-15 
   50       1.893094855356e-10       1.575053721022e-14       7.390386956556e-14       0.000000000000e+00       5.234349608493e-11       5.897495603473e-12      -8.270400680774e-15 
   51       1.919834305698e-10       1.677738096303e-14       4.900640566672e-14       0.000000000000e+00       5.013326420265e-11       5.675968994344e-12      -8.354049341110e-15 
   52       1.946772116014e-10       1.784340614285e-14       2.232455119031e-14       0.000000000000e+00       4.804778270161e-11       5.464679333473e-12      -8.266810412364e-15 
   53       1.973953928592e-10       1.894844003382e-14      -6.115988958530e-15       0.000000000000e+00       4.608022061141e-11       5.263579064909e-12      -8.115507746302e-15 
   54       2.001415622478e-10       2.009220444094e-14      -3.628058837330e-14       0.000000000000e+00       4.421868297142e-11       5.072227732165e-12      -8.025237668027e-15 
