# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 6000, i.e. number of multipoles equal to 5999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.375044941201e-10       4.613283272343e-15       3.702643319290e-13       2.426767689054e-19       8.124108829807e-09       4.465326101042e-10      -1.944619860191e-12 
    3       1.301359279751e-10       6.278930097334e-15       4.257166249689e-13       4.854791758216e-19       5.042794784158e-09       3.172164343779e-10      -1.524273261107e-12 
    4       1.230922230689e-10       5.791298231514e-15       4.060484330682e-13       8.094074243574e-19       3.510511089191e-09       2.403575395892e-10      -1.047459110751e-12 
    5       1.177571953548e-10       4.132638041114e-15       3.521520303028e-13       1.214618790057e-18       2.619567937083e-09       1.899137803071e-10      -6.289395802566e-13 
    6       1.140512293765e-10       2.443141941633e-15       2.881253885680e-13       1.701301389349e-18       2.044160583184e-09       1.545404550536e-10      -3.038485909782e-13 
    7       1.116321007476e-10       1.325980899797e-15       2.285268126517e-13       2.269669020715e-18       1.647798858802e-09       1.286173368197e-10      -8.007497934229e-14 
    8       1.101891241620e-10       8.015760837991e-16       1.803977806018e-13       2.919955440538e-18       1.361780864414e-09       1.089813421484e-10       5.066842690001e-14 
    9       1.094794747244e-10       6.167187161550e-16       1.461449743057e-13       3.652408295385e-18       1.147206458000e-09       9.370031728176e-11       1.060137591408e-13 
   10       1.093023171716e-10       5.368583852834e-16       1.252710098014e-13       4.467282944172e-18       9.810192259865e-10       8.155695996393e-11       1.080336863035e-13 
   11       1.095576123743e-10       4.619446059045e-16       1.155507532266e-13       5.364836405694e-18       8.247255980499e-10       7.202150196223e-11       7.926652098478e-14 
   12       1.101495583671e-10       3.933367723405e-16       1.140631456506e-13       6.345321659335e-18       7.204819276655e-10       6.379169570692e-11       3.874487269271e-14 
   13       1.109900779948e-10       3.563238641475e-16       1.178998134402e-13       7.408982509607e-18       6.349310340089e-10       5.705145992573e-11       8.424585825371e-16 
   14       1.120005118189e-10       3.557843790828e-16       1.246513812231e-13       8.556049199451e-18       5.637675054131e-10       5.116067311705e-11      -2.652045944320e-14 
   15       1.131960716741e-10       3.777921450603e-16       1.326763152541e-13       9.786734923733e-18       5.038809248838e-10       4.620679349891e-11      -4.005578091561e-14 
   16       1.145502621867e-10       4.094775854920e-16       1.409697548616e-13       1.110123335483e-17       4.529734501451e-10       4.197981668102e-11      -4.106640745475e-14 
   17       1.159968745104e-10       4.502332533828e-16       1.490251777091e-13       1.249971724793e-17       4.093126463208e-10       3.831296673471e-11      -3.338027911369e-14 
   18       1.175336126297e-10       5.084652621362e-16       1.569091669601e-13       1.398233762064e-17       3.714229655127e-10       3.505191753476e-11      -2.196866094617e-14 
   19       1.191719000460e-10       5.890219101360e-16       1.648910738196e-13       1.554922716427e-17       3.387035523611e-10       3.217943148845e-11      -1.052379295736e-14 
