# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 10500, i.e. number of multipoles equal to 10499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.372498560165e-10       4.281122827953e-15       3.615922531907e-13       0.000000000000e+00       8.162995267214e-09       4.457200120125e-10      -1.853175028220e-12 
    3       1.299001121860e-10       5.731540927235e-15       4.147056256912e-13       0.000000000000e+00       5.046253093931e-09       3.162409919880e-10      -1.423220178646e-12 
    4       1.228739729158e-10       5.341312148710e-15       3.975390645855e-13       0.000000000000e+00       3.509078873726e-09       2.395292495793e-10      -9.685469555065e-13 
    5       1.175384098360e-10       3.988277228133e-15       3.486829690758e-13       0.000000000000e+00       2.616780531449e-09       1.892714917419e-10      -5.928294325247e-13 
    6       1.138036470244e-10       2.559340321779e-15       2.904076922677e-13       0.000000000000e+00       2.042526452996e-09       1.541158951836e-10      -3.175315819651e-13 
    7       1.113322214001e-10       1.508611005830e-15       2.359956477376e-13       0.000000000000e+00       1.647597568892e-09       1.283964694995e-10      -1.365372106140e-13 
    8       1.098179528734e-10       8.937810567672e-16       1.916900361465e-13       0.000000000000e+00       1.361846545230e-09       1.089055484759e-10      -3.111940883857e-14 
    9       1.090224679770e-10       5.902301047059e-16       1.594675865883e-13       0.000000000000e+00       1.146995119812e-09       9.370294719661e-11       2.081141279252e-14 
   10       1.087575347589e-10       4.548014729377e-16       1.388017721964e-13       0.000000000000e+00       9.807314897230e-10       8.158386438653e-11       3.936697914665e-14 
   11       1.089249243597e-10       3.921768537427e-16       1.278525800944e-13       0.000000000000e+00       8.247270116515e-10       7.203705420864e-11       4.010916749286e-14 
   12       1.094347229911e-10       3.574313228687e-16       1.242145991385e-13       0.000000000000e+00       7.204835375099e-10       6.375877755816e-11       3.282117646185e-14 
   13       1.102036003965e-10       3.367683889058e-16       1.255843060139e-13       0.000000000000e+00       6.349328709057e-10       5.696931834495e-11       2.348554383753e-14 
   14       1.111509118786e-10       3.296871261862e-16       1.301416703953e-13       0.000000000000e+00       5.637692105436e-10       5.104548454956e-11       1.416460193594e-14 
   15       1.122924304700e-10       3.388725327535e-16       1.366595764586e-13       0.000000000000e+00       5.038826421856e-10       4.608135147616e-11       6.210524963538e-15 
   16       1.136041429248e-10       3.663271658490e-16       1.442640763006e-13       0.000000000000e+00       4.529752145178e-10       4.186408427620e-11      -1.646595133489e-16 
   17       1.150133037211e-10       4.128503742065e-16       1.524589906516e-13       0.000000000000e+00       4.093143308961e-10       3.821964764153e-11      -4.912510963547e-15 
   18       1.165178396156e-10       4.782466213539e-16       1.610847743884e-13       0.000000000000e+00       3.714246936009e-10       3.498522782317e-11      -8.127954600301e-15 
   19       1.181298238016e-10       5.623801625200e-16       1.700225392085e-13       0.000000000000e+00       3.387052227614e-10       3.213717560567e-11      -9.919895892101e-15 
   20       1.198049255415e-10       6.645392041095e-16       1.790791323941e-13       0.000000000000e+00       3.098913335755e-10       2.962975984225e-11      -1.053944383263e-14 
   21       1.215545947477e-10       7.849319104268e-16       1.881159244380e-13       0.000000000000e+00       2.845294325738e-10       2.742142052936e-11      -1.032758522750e-14 
   22       1.233756697083e-10       9.238373795709e-16       1.969854557624e-13       0.000000000000e+00       2.620123513149e-10       2.543484245956e-11      -9.735220152239e-15 
   23       1.252590628466e-10       1.081952058796e-15       2.055843650716e-13       0.000000000000e+00       2.420299147090e-10       2.363885244073e-11      -9.073113295321e-15 
   24       1.271766947669e-10       1.260003611529e-15       2.138133299237e-13       0.000000000000e+00       2.241193914861e-10       2.199993915176e-11      -8.591864136408e-15 
   25       1.291465141704e-10       1.458896172422e-15       2.216059864365e-13       0.000000000000e+00       2.080696852027e-10       2.052513612876e-11      -8.242238131155e-15 
   26       1.311814360307e-10       1.679531916771e-15       2.288931167926e-13       0.000000000000e+00       1.935899170171e-10       1.921549210598e-11      -7.876602171065e-15 
   27       1.332624890060e-10       1.922870507339e-15       2.355738237378e-13       0.000000000000e+00       1.805061469085e-10       1.803966818587e-11      -7.455847488578e-15 
   28       1.353539502013e-10       2.189828341167e-15       2.415366260016e-13       0.000000000000e+00       1.685925571851e-10       1.695034758557e-11      -6.986069750160e-15 
   29       1.374651167456e-10       2.481243810810e-15       2.467174883562e-13       0.000000000000e+00       1.577881334646e-10       1.594444549310e-11      -6.540042068254e-15 
   30       1.396100035366e-10       2.797856708975e-15       2.510660315333e-13       0.000000000000e+00       1.479766325984e-10       1.502518241349e-11      -6.226953019527e-15 
   31       1.417924800977e-10       3.140402500057e-15       2.545248588146e-13       0.000000000000e+00       1.389576416300e-10       1.418752312705e-11      -6.143381025856e-15 
   32       1.440149066906e-10       3.509985393739e-15       2.570065422149e-13       0.000000000000e+00       1.306845132796e-10       1.342368694708e-11      -6.243167534222e-15 
   33       1.462700725846e-10       3.907844389913e-15       2.584065039155e-13       0.000000000000e+00       1.230987118430e-10       1.271797753183e-11      -6.415914492609e-15 
   34       1.485446963616e-10       4.335165420407e-15       2.586242779531e-13       0.000000000000e+00       1.160940250751e-10       1.205118027556e-11      -6.547635482060e-15 
   35       1.508445793337e-10       4.792756102869e-15       2.576203345851e-13       0.000000000000e+00       1.096345591710e-10       1.142417617420e-11      -6.623674028044e-15 
   36       1.531766373720e-10       5.281249160471e-15       2.553794304751e-13       0.000000000000e+00       1.036684352334e-10       1.084180612516e-11      -6.661153786642e-15 
   37       1.555426584960e-10       5.801238087001e-15       2.518880640434e-13       0.000000000000e+00       9.811793600643e-11       1.030614389980e-11      -6.679178474179e-15 
   38       1.579432375203e-10       6.353472911841e-15       2.471064743015e-13       0.000000000000e+00       9.296869875443e-11       9.815744564356e-12      -6.688333868883e-15 
   39       1.603739563948e-10       6.938722588773e-15       2.409876031065e-13       0.000000000000e+00       8.820436962777e-11       9.365638019934e-12      -6.698041341857e-15 
   40       1.628234820880e-10       7.557719824520e-15       2.334844439535e-13       0.000000000000e+00       8.377947345745e-11       8.947138283887e-12      -6.719496929636e-15 
   41       1.652789364768e-10       8.211179958973e-15       2.245504014079e-13       0.000000000000e+00       7.963525484772e-11       8.550527010357e-12      -6.762378366360e-15 
   42       1.677457016423e-10       8.899870171357e-15       2.141407893398e-13       0.000000000000e+00       7.575950988457e-11       8.174890272312e-12      -6.823439211648e-15 
   43       1.702329463398e-10       9.624559180646e-15       2.022116249187e-13       0.000000000000e+00       7.214195616309e-11       7.820968954377e-12      -6.894368169586e-15 
   44       1.727479062993e-10       1.038599746433e-14       1.887191131938e-13       0.000000000000e+00       6.875627933983e-11       7.488346983542e-12      -6.964728629019e-15 
   45       1.752954262853e-10       1.118485584712e-14       1.736240276541e-13       0.000000000000e+00       6.556953313054e-11       7.175852130832e-12      -7.024845052072e-15 
   46       1.778770089336e-10       1.202152109800e-14       1.569066068479e-13       0.000000000000e+00       6.257669809495e-11       6.883137940995e-12      -7.075807168269e-15 
   47       1.804910586102e-10       1.289623798003e-14       1.385559717737e-13       0.000000000000e+00       5.977428350802e-11       6.609403921734e-12      -7.122228525644e-15 
   48       1.831328121001e-10       1.380916050804e-14       1.185662204078e-13       0.000000000000e+00       5.714990371959e-11       6.352865686241e-12      -7.169524468868e-15 
   49       1.857940779151e-10       1.476034772234e-14       9.693660270416e-14       0.000000000000e+00       5.468161670110e-11       6.110683400547e-12      -7.223951989436e-15 
   50       1.884665017765e-10       1.574982219345e-14       7.366487394484e-14       0.000000000000e+00       5.234453201790e-11       5.879785736552e-12      -7.291142016910e-15 
   51       1.911530128268e-10       1.677777406306e-14       4.872482186551e-14       0.000000000000e+00       5.013428386841e-11       5.659771398227e-12      -7.371134173383e-15 
   52       1.938590337399e-10       1.784440508221e-14       2.208294202018e-14       0.000000000000e+00       4.804878617369e-11       5.450671498754e-12      -7.462063142741e-15 
   53       1.965891335876e-10       1.894986947679e-14      -6.295416269770e-15       0.000000000000e+00       4.608120823894e-11       5.252094177015e-12      -7.561518078329e-15 
   54       1.993469330854e-10       2.009427267320e-14      -3.644619593455e-14       0.000000000000e+00       4.421965539088e-11       5.063195186386e-12      -7.666511509195e-15 
   55       2.021350421007e-10       2.127765273221e-14      -6.840003619927e-14       0.000000000000e+00       4.245079827754e-11       4.882983759219e-12      -7.773752749794e-15 
   56       2.049550710746e-10       2.249992216859e-14      -1.021602313738e-13       0.000000000000e+00       4.077254819422e-11       4.711396557468e-12      -7.880618899452e-15 
   57       2.078074564671e-10       2.376090944616e-14      -1.377195523169e-13       0.000000000000e+00       3.918397119200e-11       4.548438998413e-12      -7.984370596852e-15 
   58       2.106913372795e-10       2.506037309784e-14      -1.750663945647e-13       0.000000000000e+00       3.768145338000e-11       4.393857360996e-12      -8.081849839095e-15 
   59       2.136044615566e-10       2.639799977763e-14      -2.141846616751e-13       0.000000000000e+00       3.625853540682e-11       4.247122437305e-12      -8.169460751713e-15 
   60       2.165430928888e-10       2.777340231262e-14      -2.550536485729e-13       0.000000000000e+00       3.490574694192e-11       4.107413184047e-12      -8.243150358679e-15 
   61       2.195035114109e-10       2.918612947766e-14      -2.976531697889e-13       0.000000000000e+00       3.361323664947e-11       3.973854957573e-12      -8.299438079803e-15 
   62       2.224871220219e-10       3.063570229024e-14      -3.419805532011e-13       0.000000000000e+00       3.237972639089e-11       3.846333691969e-12      -8.338817758941e-15 
   63       2.254963320647e-10       3.212158244270e-14      -3.880372710734e-13       0.000000000000e+00       3.120528232034e-11       3.724836292931e-12      -8.363088608808e-15 
