# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 10000, i.e. number of multipoles equal to 9999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.372503204454e-10       4.281366368903e-15       3.615922489826e-13       2.435409420564e-19       8.162995267214e-09       4.457200120125e-10      -1.853175028220e-12 
    3       1.299010388758e-10       5.732028134136e-15       4.147056069486e-13       4.872068266736e-19       5.046253093931e-09       3.162409919880e-10      -1.423220178646e-12 
    4       1.228755126384e-10       5.342124434393e-15       3.975390107726e-13       8.122853232443e-19       3.509078873726e-09       2.395292495793e-10      -9.685469555065e-13 
    5       1.175407106306e-10       3.989496162199e-15       3.486828466019e-13       1.218932852207e-18       2.616780531449e-09       1.892714917419e-10      -5.928294325247e-13 
    6       1.138068536458e-10       2.561047661549e-15       2.904074517185e-13       1.707336521139e-18       2.042526452996e-09       1.541158951836e-10      -3.175315819651e-13 
    7       1.113364748477e-10       1.510888722219e-15       2.359952214033e-13       2.277709002831e-18       1.647597568892e-09       1.283964694995e-10      -1.365372106140e-13 
    8       1.098233900111e-10       8.967113544536e-16       1.916893358854e-13       2.930282852462e-18       1.361846545230e-09       1.089055484759e-10      -3.111940883857e-14 
    9       1.090292212495e-10       5.938954361627e-16       1.594665020491e-13       3.665304484163e-18       1.146995119812e-09       9.370294719661e-11       2.081141279252e-14 
   10       1.087657320088e-10       4.592845460847e-16       1.388001694103e-13       4.483028038890e-18       9.807314897230e-10       8.158386438653e-11       3.936697914665e-14 
   11       1.089346887450e-10       3.975606331731e-16       1.278503004364e-13       5.383709377482e-18       8.247270116515e-10       7.203705420864e-11       4.010916749286e-14 
   12       1.094461729986e-10       3.637990247973e-16       1.242114586464e-13       6.367600425110e-18       7.204835375099e-10       6.375877755816e-11       3.282117646185e-14 
   13       1.102168499460e-10       3.442034701592e-16       1.255800950414e-13       7.434944076264e-18       6.349328709057e-10       5.696931834495e-11       2.348554383753e-14 
   14       1.111660705072e-10       3.382732677095e-16       1.301361535682e-13       8.585969843750e-18       5.637692105436e-10       5.104548454956e-11       1.416460193594e-14 
   15       1.123096035853e-10       3.486936182337e-16       1.366524928976e-13       9.820890401912e-18       5.038826421856e-10       4.608135147616e-11       6.210524963538e-15 
   16       1.136234321125e-10       3.774672561467e-16       1.442551400661e-13       1.113989913489e-17       4.529752145178e-10       4.186408427620e-11      -1.646595133489e-16 
   17       1.150348070923e-10       4.253936783468e-16       1.524478913693e-13       1.254316875675e-17       4.093143308961e-10       3.821964764153e-11      -4.912510963547e-15 
   18       1.165416521834e-10       4.922774644996e-16       1.610711780305e-13       1.403085050115e-17       3.714246936009e-10       3.498522782317e-11      -8.127954600301e-15 
   19       1.181560378301e-10       5.779829537253e-16       1.700060888677e-13       1.560307751212e-17       3.387052227614e-10       3.213717560567e-11      -9.919895892101e-15 
   20       1.198336309633e-10       6.817983990957e-16       1.790594493442e-13       1.725996090550e-17       3.098913335755e-10       2.962975984225e-11      -1.053944383263e-14 
   21       1.215858794500e-10       8.039319787646e-16       1.880926089322e-13       1.900160004732e-17       2.845294325738e-10       2.742142052936e-11      -1.032758522750e-14 
   22       1.234096198990e-10       9.446627663514e-16       1.969580881518e-13       2.082807791198e-17       2.620123513149e-10       2.543484245956e-11      -9.735220152239e-15 
   23       1.252957632469e-10       1.104687152056e-15       2.055525066300e-13       2.273947324278e-17       2.420299147090e-10       2.363885244073e-11      -9.073113295321e-15 
   24       1.272162288848e-10       1.284732704048e-15       2.137765240013e-13       2.473585587280e-17       2.241193914861e-10       2.199993915176e-11      -8.591864136408e-15 
   25       1.291889643545e-10       1.485703430344e-15       2.215637593320e-13       2.681730072604e-17       2.080696852027e-10       2.052513612876e-11      -8.242238131155e-15 
   26       1.312268836224e-10       1.708501342041e-15       2.288449789650e-13       2.898388227346e-17       1.935899170171e-10       1.921549210598e-11      -7.876602171065e-15 
   27       1.333110142897e-10       1.954085905467e-15       2.355192708687e-13       3.123568653223e-17       1.805061469085e-10       1.803966818587e-11      -7.455847488578e-15 
   28       1.354056324165e-10       2.223373283814e-15       2.414751403797e-13       3.357280723109e-17       1.685925571851e-10       1.695034758557e-11      -6.986069750160e-15 
   29       1.375200338155e-10       2.517201603700e-15       2.466485403545e-13       3.599535891731e-17       1.577881334646e-10       1.594444549310e-11      -6.540042068254e-15 
   30       1.396682319884e-10       2.836310352541e-15       2.509890812767e-13       3.850346893969e-17       1.479766325984e-10       1.502518241349e-11      -6.226953019527e-15 
   31       1.418540949724e-10       3.181434646695e-15       2.544393581745e-13       4.109727653605e-17       1.389576416300e-10       1.418752312705e-11      -6.143381025856e-15 
   32       1.440799811565e-10       3.553678305386e-15       2.569119375514e-13       4.377693982070e-17       1.306845132796e-10       1.342368694708e-11      -6.243167534222e-15 
   33       1.463386776996e-10       3.954279892990e-15       2.583022385673e-13       4.654263399167e-17       1.230987118430e-10       1.271797753183e-11      -6.415914492609e-15 
