# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 10000, i.e. number of multipoles equal to 9999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.372503203876e-10       4.281366469572e-15       3.615922489825e-13       2.436416118153e-19       8.162991926299e-09       4.457199616381e-10      -1.853172790422e-12 
    3       1.299010387603e-10       5.732028335459e-15       4.147056069485e-13       4.874081501904e-19       5.046249874648e-09       3.162409240419e-10      -1.423217318444e-12 
    4       1.228755124458e-10       5.342124769896e-15       3.975390107723e-13       8.126208268522e-19       3.509075724621e-09       2.395291617454e-10      -9.685443918304e-13 
    5       1.175407103419e-10       3.989496665387e-15       3.486828466012e-13       1.219436040827e-18       2.616777431189e-09       1.892713888932e-10      -5.928276911789e-13 
    6       1.138068532417e-10       2.561048365899e-15       2.904074517172e-13       1.708040872863e-18       2.042523395258e-09       1.541157819989e-10      -3.175307380819e-13 
    7       1.113364743092e-10       1.510889661175e-15       2.359952214012e-13       2.278647963477e-18       1.647594550931e-09       1.283963494828e-10      -1.365370436147e-13 
    8       1.098233893190e-10       8.967125614220e-16       1.916893358822e-13       2.931489830083e-18       1.361843565746e-09       1.089054240295e-10      -3.111960009970e-14 
    9       1.090292203849e-10       5.938969445040e-16       1.594665020445e-13       3.666812843539e-18       1.146992178167e-09       9.370281970772e-11       2.081113448049e-14 
   10       1.087657309527e-10       4.592863891087e-16       1.388001694040e-13       4.484871095980e-18       9.807285853381e-10       8.158373457939e-11       3.936677150750e-14 
   11       1.089346874785e-10       3.975628441326e-16       1.278503004284e-13       5.385920393871e-18       8.247240252100e-10       7.203721636331e-11       4.011053776521e-14 
   12       1.094461715027e-10       3.638016368813e-16       1.242114586369e-13       6.370212602443e-18       7.204804318272e-10       6.375849890370e-11       3.282257083190e-14 
   13       1.102168482019e-10       3.442065164863e-16       1.255800950307e-13       7.437990550699e-18       6.349300398687e-10       5.696893306783e-11       2.348633732726e-14 
   14       1.111660684962e-10       3.382767813216e-16       1.301361535572e-13       8.589483680434e-18       5.637667826733e-10       5.104496256580e-11       1.416467526779e-14 
   15       1.123096012886e-10       3.486976320887e-16       1.366524928874e-13       9.824904589503e-18       5.038796607108e-10       4.608100949160e-11       6.209895778066e-15 
   16       1.136234295115e-10       3.774718031123e-16       1.442551400587e-13       1.114444658015e-17       4.529727273490e-10       4.186387093345e-11      -1.653509446117e-16 
   17       1.150348041681e-10       4.253987911929e-16       1.524478913672e-13       1.254828227923e-17       4.093115327438e-10       3.821974012839e-11      -4.912625979680e-15 
   18       1.165416489176e-10       4.922831758918e-16       1.610711780370e-13       1.403656282798e-17       3.714217663635e-10       3.498537074123e-11      -8.127514913162e-15 
   19       1.181560342041e-10       5.779892962179e-16       1.700060888870e-13       1.560942127294e-17       3.387025284297e-10       3.213711455579e-11      -9.919248020098e-15 
   20       1.198336269584e-10       6.818054051245e-16       1.790594493816e-13       1.726696862749e-17       3.098887388561e-10       2.962949868944e-11      -1.053906636052e-14 
   21       1.215858750477e-10       8.039396806406e-16       1.880926089940e-13       1.900930415047e-17       2.845268431437e-10       2.742104658667e-11      -1.032772513719e-14 
   22       1.234096150808e-10       9.446711962535e-16       1.969580882455e-13       2.083651070445e-17       2.620098681677e-10       2.543446950836e-11      -9.735744624478e-15 
   23       1.252957579943e-10       1.104696342025e-15       2.055525067645e-13       2.274866691656e-17       2.420275453815e-10       2.363860866000e-11      -9.073731218868e-15 
   24       1.272162231793e-10       1.284742685977e-15       2.137765241866e-13       2.474584249939e-17       2.241169846646e-10       2.199993341636e-11      -8.592234369715e-15 
   25       1.291889581777e-10       1.485714235977e-15       2.215637595799e-13       2.682811225250e-17       2.080671971244e-10       2.052532964919e-11      -8.242178080806e-15 
   26       1.312268769559e-10       1.708513002963e-15       2.288449792886e-13       2.899555051849e-17       1.935874747840e-10       1.921567599466e-11      -7.876181487781e-15 
   27       1.333110071151e-10       1.954098453097e-15       2.355192712827e-13       3.124824318257e-17       1.805038121731e-10       1.803967765980e-11      -7.455332596116e-15 
   28       1.354056247154e-10       2.223386749401e-15       2.414751409004e-13       3.358628383796e-17       1.685902623993e-10       1.695013795801e-11      -6.985867922068e-15 
   29       1.375200255698e-10       2.517216018316e-15       2.466485409998e-13       3.600978689319e-17       1.577858155400e-10       1.594405084350e-11      -6.540426341670e-15 
   30       1.396682231797e-10       2.836325747074e-15       2.509890820663e-13       3.851887955506e-17       1.479742842629e-10       1.502471620796e-11      -6.227926372292e-15 
   31       1.418540855827e-10       3.181451051844e-15       2.544393591298e-13       4.111370091626e-17       1.389553111448e-10       1.418716262133e-11      -6.144667968063e-15 
   32       1.440799711675e-10       3.553695751655e-15       2.569119386955e-13       4.379440894306e-17       1.306822411481e-10       1.342353776393e-11      -6.244457547411e-15 
   33       1.463386670934e-10       3.954298410681e-15       2.583022399253e-13       4.656117868258e-17       1.230965065768e-10       1.271801013260e-11      -6.416948337075e-15 
   34       1.486168896292e-10       4.384444475099e-15       2.585097967065e-13       4.941419890124e-17       1.160918637001e-10       1.205123873857e-11      -6.548236551643e-15 
   35       1.509204374997e-10       4.844941015385e-15       2.574950835433e-13       5.235366121261e-17       1.096324193572e-10       1.142413965968e-11      -6.623807902215e-15 
   36       1.532562237199e-10       5.336420150734e-15       2.552428650267e-13       5.537976937544e-17       1.036663069311e-10       1.084165219152e-11      -6.660973759778e-15 
   37       1.556260332527e-10       5.859474707980e-15       2.517396516619e-13       5.849273256704e-17       9.811582181650e-11       1.030594567632e-11      -6.679003656211e-15 
   38       1.580304579126e-10       6.414853960808e-15       2.469457011274e-13       6.169272825836e-17       9.296660330146e-11       9.815572919089e-12      -6.688411989686e-15 
   39       1.604650765000e-10       7.003326032193e-15       2.408139792640e-13       6.497992813311e-17       8.820229644427e-11       9.365527700774e-12      -6.698454449583e-15 
   40       1.629185525916e-10       7.625622726819e-15       2.332975085131e-13       6.835450841673e-17       8.377742480150e-11       8.947078719657e-12      -6.720121407050e-15 
   41       1.653780045872e-10       8.282458400780e-15       2.243497281937e-13       7.181663379195e-17       7.963323165572e-11       8.550466373794e-12      -6.762908761453e-15 
   42       1.678488115774e-10       8.974599137684e-15       2.139259950404e-13       7.536640213464e-17       7.575751220110e-11       8.174785969126e-12      -6.823634685363e-15 
   43       1.703401393971e-10       9.702812465359e-15       2.019823760360e-13       7.900388228700e-17       7.213998323549e-11       7.820805785622e-12      -6.894144461782e-15 
   44       1.728592207626e-10       1.046784757907e-14       1.884751327135e-13       8.272912807165e-17       6.875432958502e-11       7.488143092505e-12      -6.964191842931e-15 
   45       1.754108975159e-10       1.127037392881e-14       1.733651016516e-13       8.654216615369e-17       6.556760429977e-11       7.175655508876e-12      -7.024272858478e-15 
   46       1.779966700982e-10       1.211077681852e-14       1.566325902218e-13       9.044295727870e-17       6.257478809828e-11       6.882990419569e-12      -7.075448847919e-15 
   47       1.806149409521e-10       1.298929944933e-14       1.382667950595e-13       9.443142201781e-17       5.977239077963e-11       6.609328553335e-12      -7.122235388337e-15 
   48       1.832609450413e-10       1.390609417310e-14       1.182618971607e-13       9.850744960789e-17       5.714802741705e-11       6.352862864340e-12      -7.169929006819e-15 
   49       1.859264891623e-10       1.486121826315e-14       9.661723713733e-14       1.026708964610e-16       5.467975691799e-11       6.110726765701e-12      -7.224645872379e-15 
   50       1.886032174918e-10       1.585469243723e-14       7.333066695903e-14       1.069215910272e-16       5.234268972912e-11       5.879825687975e-12      -7.291892275519e-15 
   51       1.912940579969e-10       1.688670496529e-14       4.837607114032e-14       1.112593533970e-16       5.013245995794e-11       5.659764351561e-12      -7.371728855088e-15 
   52       1.940044324092e-10       1.795745565402e-14       2.172004687434e-14       1.156839784432e-16       4.804698115375e-11       5.450590016560e-12      -7.462360636835e-15 
   53       1.967389090449e-10       1.906709669112e-14      -6.671948129068e-15       1.201952287697e-16       4.607942222779e-11       5.251930041289e-12      -7.561460842979e-15 
   54       1.995011080583e-10       2.021573136912e-14      -3.683574149402e-14       1.247928335194e-16       4.421788809072e-11       5.062962625221e-12      -7.666140491788e-15 
   55       2.022936387443e-10       2.140339556328e-14      -6.880185332127e-14       1.294765194800e-16       4.244904903543e-11       4.882717160380e-12      -7.773198196959e-15 
   56       2.051181102652e-10       2.262999970058e-14      -1.025734655637e-13       1.342461161783e-16       4.077081633664e-11       4.711129685739e-12      -7.880011879267e-15 
   57       2.079749576318e-10       2.389537013933e-14      -1.381432352394e-13       1.391014748063e-16       3.918225615375e-11       4.548198384321e-12      -7.983815326505e-15 
   58       2.108633184240e-10       2.519926324635e-14      -1.754994394832e-13       1.440424382774e-16       3.767975475931e-11       4.393660889003e-12      -8.081418342464e-15 
   59       2.137809392917e-10       2.654136344889e-14      -2.146258588497e-13       1.490688412924e-16       3.625685302365e-11       4.246977867346e-12      -8.169187263386e-15 
   60       2.167240824571e-10       2.792128128658e-14      -2.555016606171e-13       1.541805104072e-16       3.490408089958e-11       4.107316606424e-12      -8.243025474417e-15 
   61       2.196890263779e-10       2.933856324442e-14      -2.981065297085e-13       1.593773016062e-16       3.361158731305e-11       3.973791887743e-12      -8.299412801232e-15 
   62       2.226771728764e-10       3.079272823791e-14      -3.424376712720e-13       1.646592227287e-16       3.237809408706e-11       3.846288928254e-12      -8.338840389737e-15 
   63       2.256909256626e-10       3.228323589779e-14      -3.884964348010e-13       1.700263387665e-16       3.120366725882e-11       3.724796868922e-12      -8.363115756873e-15 
   64       2.287321552622e-10       3.380947396852e-14      -4.362834521036e-13       1.754787380128e-16       3.008702372498e-11       3.609159696384e-12      -8.374385783779e-15 
   65       2.318021560995e-10       3.537075673402e-14      -4.857986871092e-13       1.810165333196e-16       2.902545442248e-11       3.499067991403e-12      -8.375150829557e-15 
   66       2.349016035805e-10       3.696632344341e-14      -5.370414856752e-13       1.866398633541e-16       2.801474750932e-11       3.394050677317e-12      -8.368278845032e-15 
   67       2.380305111765e-10       3.859533673670e-14      -5.900106253933e-13       1.923488938559e-16       2.704911154533e-11       3.293466768488e-12      -8.357019486515e-15 
   68       2.411886879216e-10       4.025691113669e-14      -6.447007133128e-13       1.981438061279e-16       2.612272240597e-11       3.196678205731e-12      -8.344294587113e-15 
   69       2.443773144847e-10       4.195020874727e-14      -7.010904201819e-13       2.040247569915e-16       2.523489971679e-11       3.103627474396e-12      -8.330371074329e-15 
   70       2.475976108207e-10       4.367436020710e-14      -7.591519406747e-13       2.099919129378e-16       2.438584611873e-11       3.014362741230e-12      -8.314739712383e-15 
   71       2.508503344343e-10       4.542843554835e-14      -8.188543917195e-13       2.160454630893e-16       2.357508168095e-11       2.928863567842e-12      -8.296792709128e-15 
   72       2.541357502610e-10       4.721144339133e-14      -8.801637689011e-13       2.221856201302e-16       2.280140860940e-11       2.847037290528e-12      -8.275819322322e-15 
   73       2.574536005488e-10       4.902233013927e-14      -9.430429028641e-13       2.284126212367e-16       2.206287595520e-11       2.768715400102e-12      -8.251001465919e-15 
   74       2.608030747401e-10       5.085997917288e-14      -1.007451415716e-12       2.347267290073e-16       2.135674432324e-11       2.693649921731e-12      -8.221409316348e-15 
   75       2.641827793525e-10       5.272321004513e-14      -1.073345677428e-12       2.411282323936e-16       2.067945058056e-11       2.621509794758e-12      -8.185996918795e-15 
   76       2.675913432759e-10       5.461077765992e-14      -1.140681467825e-12       2.476173987738e-16       2.002749250339e-11       2.551964972698e-12      -8.144073985127e-15 
   77       2.710294276693e-10       5.652137141540e-14      -1.209422619326e-12       2.541943180309e-16       1.940034697213e-11       2.484964430948e-12      -8.096830325955e-15 
   78       2.744980295620e-10       5.845361444062e-14      -1.279533878366e-12       2.608590315996e-16       1.879802227807e-11       2.420502513539e-12      -8.046082715144e-15 
   79       2.779978621410e-10       6.040606280502e-14      -1.350978351316e-12       2.676115787298e-16       1.822016923216e-11       2.358533918492e-12      -7.993828643635e-15 
   80       2.815293376629e-10       6.237720471282e-14      -1.423717516368e-12       2.744519964153e-16       1.766606473754e-11       2.298971876420e-12      -7.942251690422e-15 
   81       2.850925503643e-10       6.436545969731e-14      -1.497711235419e-12       2.813803193220e-16       1.713459536214e-11       2.241686329133e-12      -7.893726893530e-15 
   82       2.886872593738e-10       6.636917781528e-14      -1.572917765951e-12       2.883965797167e-16       1.662424091125e-11       2.186502108240e-12      -7.850826120996e-15 
   83       2.923128716228e-10       6.838663884133e-14      -1.649293772919e-12       2.955008073954e-16       1.613305800009e-11       2.133197113752e-12      -7.816323441841e-15 
   84       2.959687717400e-10       7.041609911376e-14      -1.726793972051e-12       3.026930481021e-16       1.565915250254e-11       2.081557729104e-12      -7.792381956762e-15 
   85       2.996554120037e-10       7.245594276003e-14      -1.805369965805e-12       3.099734224500e-16       1.520222287151e-11       2.031559611180e-12      -7.777947635787e-15 
   86       3.033733725892e-10       7.450455418074e-14      -1.884971235327e-12       3.173420766821e-16       1.476224373907e-11       1.983213671354e-12      -7.770931272735e-15 
   87       3.071230195602e-10       7.656027262239e-14      -1.965545497481e-12       3.247991652861e-16       1.433899169831e-11       1.936510657078e-12      -7.768980349238e-15 
   88       3.109044936112e-10       7.862139217260e-14      -2.047038710532e-12       3.323448512330e-16       1.393203709229e-11       1.891420292445e-12      -7.769470648745e-15 
   89       3.147176988110e-10       8.068616175533e-14      -2.129395079837e-12       3.399793062166e-16       1.354073580304e-11       1.847890418744e-12      -7.769497870521e-15 
   90       3.185622913451e-10       8.275278512611e-14      -2.212557063533e-12       3.477027108929e-16       1.316422104053e-11       1.805846135024e-12      -7.765869243640e-15 
   91       3.224376682588e-10       8.481942086724e-14      -2.296465378225e-12       3.555152551194e-16       1.280139513164e-11       1.765188938650e-12      -7.755095140988e-15 
   92       3.263429562000e-10       8.688418238306e-14      -2.381059004675e-12       3.634171381940e-16       1.245092130915e-11       1.725795865867e-12      -7.733380693258e-15 
   93       3.302772955607e-10       8.894516911665e-14      -2.466275906651e-12       3.714086260913e-16       1.211154098473e-11       1.687550659566e-12      -7.697552148115e-15 
   94       3.342407662361e-10       9.100056558123e-14      -2.552055298779e-12       3.794902324967e-16       1.178309798710e-11       1.650444501526e-12      -7.648013536058e-15 
   95       3.382335809342e-10       9.304855728362e-14      -2.638335731881e-12       3.876625655689e-16       1.146565390478e-11       1.614488911785e-12      -7.586221251566e-15 
   96       3.422557950777e-10       9.508730124783e-14      -2.725054425475e-12       3.959262743771e-16       1.115917263487e-11       1.579684657156e-12      -7.513793315571e-15 
   97       3.463072996018e-10       9.711492643896e-14      -2.812147283256e-12       4.042820499231e-16       1.086351663988e-11       1.546021331418e-12      -7.432513820542e-15 
   98       3.503878137521e-10       9.912953418691e-14      -2.899548908573e-12       4.127306261623e-16       1.057844320455e-11       1.513476935508e-12      -7.344337375584e-15 
   99       3.544968778821e-10       1.011291986102e-13      -2.987192619904e-12       4.212727810261e-16       1.030360069275e-11       1.482017457717e-12      -7.251393551524e-15 
  100       3.586338462512e-10       1.031119670398e-13      -3.075010466337e-12       4.299093374431e-16       1.003852480430e-11       1.451596453876e-12      -7.155991326008e-15 
  101       3.627978798223e-10       1.050758604429e-13      -3.162933243047e-12       4.386411643608e-16       9.782634831783e-12       1.422154627552e-12      -7.060623528587e-15 
  102       3.669879390599e-10       1.070188738467e-13      -3.250890506773e-12       4.474691777675e-16       9.535229917441e-12       1.393619410240e-12      -6.967971285815e-15 
  103       3.712027767274e-10       1.089389767621e-13      -3.338810591299e-12       4.563943417137e-16       9.295485309992e-12       1.365904541554e-12      -6.880908466333e-15 
