# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 6500, i.e. number of multipoles equal to 6499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.372498433942e-10       4.281123494839e-15       3.615923148690e-13       0.000000000000e+00       8.162995787875e-09       4.457198446525e-10      -1.853175257611e-12 
    3       1.299001615412e-10       5.731541477347e-15       4.147056957729e-13       0.000000000000e+00       5.046253364120e-09       3.162411607785e-10      -1.423220306277e-12 
    4       1.228740217210e-10       5.341312172442e-15       3.975390351991e-13       0.000000000000e+00       3.509078756004e-09       2.395295658821e-10      -9.685469421421e-13 
    5       1.175384313824e-10       3.988277301235e-15       3.486829479173e-13       0.000000000000e+00       2.616780456215e-09       1.892713897938e-10      -5.928294342521e-13 
    6       1.138035356546e-10       2.559340358417e-15       2.904077082091e-13       0.000000000000e+00       2.042526395896e-09       1.541154500061e-10      -3.175315823742e-13 
    7       1.113323011942e-10       1.508611017154e-15       2.359956421538e-13       0.000000000000e+00       1.647597488542e-09       1.283963950872e-10      -1.365372123165e-13 
    8       1.098180473259e-10       8.937810590055e-16       1.916900513197e-13       0.000000000000e+00       1.361846428429e-09       1.089060064504e-10      -3.111941352584e-14 
    9       1.090225405828e-10       5.902301234017e-16       1.594676860317e-13       0.000000000000e+00       1.146994951990e-09       9.370322543246e-11       2.081141367851e-14 
   10       1.087575856188e-10       4.548015096400e-16       1.388017870444e-13       0.000000000000e+00       9.807312856624e-10       8.158352382339e-11       3.936699134243e-14 
   11       1.089248254379e-10       3.921768674822e-16       1.278525535132e-13       0.000000000000e+00       8.247208152035e-10       7.203665589492e-11       4.010917561466e-14 
   12       1.094348512802e-10       3.574313001858e-16       1.242146693640e-13       0.000000000000e+00       7.204778336605e-10       6.375894439016e-11       3.282116971646e-14 
   13       1.102037696269e-10       3.367683745781e-16       1.255843878870e-13       0.000000000000e+00       6.349275911628e-10       5.696976473205e-11       2.348553214268e-14 
   14       1.111510269314e-10       3.296871408648e-16       1.301416701843e-13       0.000000000000e+00       5.637642967684e-10       5.104551218468e-11       1.416460731939e-14 
   15       1.122922561283e-10       3.388725105499e-16       1.366596795966e-13       0.000000000000e+00       5.038780410078e-10       4.608094720112e-11       6.210536990666e-15 
   16       1.136043652557e-10       3.663271082001e-16       1.442641042574e-13       0.000000000000e+00       4.529708954968e-10       4.186386939184e-11      -1.646634480776e-16 
   17       1.150132385382e-10       4.128503550901e-16       1.524590341048e-13       0.000000000000e+00       4.093102566463e-10       3.821990247251e-11      -4.912530299140e-15 
   18       1.165177111194e-10       4.782465853976e-16       1.610848676100e-13       0.000000000000e+00       3.714208374924e-10       3.498548884781e-11      -8.127951318992e-15 
   19       1.181299516606e-10       5.623800787355e-16       1.700226756375e-13       0.000000000000e+00       3.387015672509e-10       3.213713306391e-11      -9.919864342816e-15 
   20       1.198051633433e-10       6.645391276787e-16       1.790793209690e-13       0.000000000000e+00       3.098878589119e-10       2.962958516818e-11      -1.053943056828e-14 
   21       1.215548352439e-10       7.849318509211e-16       1.881161529273e-13       0.000000000000e+00       2.845261202969e-10       2.742131859651e-11      -1.032760910983e-14 
   22       1.233759927560e-10       9.238372714239e-16       1.969856910132e-13       0.000000000000e+00       2.620091880247e-10       2.543488042515e-11      -9.735246935501e-15 
   23       1.252594610427e-10       1.081951905241e-15       2.055846372399e-13       0.000000000000e+00       2.420268874843e-10       2.363897072315e-11      -9.073109709651e-15 
   24       1.271770076000e-10       1.260003508907e-15       2.138137356348e-13       0.000000000000e+00       2.241164884210e-10       2.199998097769e-11      -8.591822321195e-15 
   25       1.291466635556e-10       1.458896118829e-15       2.216065093797e-13       0.000000000000e+00       2.080668963460e-10       2.052506439214e-11      -8.242190741378e-15 
   26       1.311814959120e-10       1.679531779160e-15       2.288935987302e-13       0.000000000000e+00       1.935872355521e-10       1.921543885722e-11      -7.876613404185e-15 
   27       1.332625467005e-10       1.922870259396e-15       2.355742096121e-13       0.000000000000e+00       1.805035657573e-10       1.803970954739e-11      -7.455919987082e-15 
   28       1.353540590633e-10       2.189828118800e-15       2.415370250652e-13       0.000000000000e+00       1.685900687737e-10       1.695043837988e-11      -6.986125511690e-15 
   29       1.374653000640e-10       2.481243711457e-15       2.467179869055e-13       0.000000000000e+00       1.577857304270e-10       1.594452435898e-11      -6.540026070790e-15 
   30       1.396102487264e-10       2.797856708266e-15       2.510666180058e-13       0.000000000000e+00       1.479743089875e-10       1.502520806301e-11      -6.226877089490e-15 
   31       1.417927379291e-10       3.140402458101e-15       2.545254281754e-13       0.000000000000e+00       1.389553935927e-10       1.418748075332e-11      -6.143319945785e-15 
   32       1.440151233105e-10       3.509985208370e-15       2.570070176520e-13       0.000000000000e+00       1.306823369296e-10       1.342358948200e-11      -6.243172730872e-15 
   33       1.462702011434e-10       3.907844059783e-15       2.584068864584e-13       0.000000000000e+00       1.230966030284e-10       1.271787104493e-11      -6.415978242680e-15 
   34       1.485447052078e-10       4.335165036476e-15       2.586246482755e-13       0.000000000000e+00       1.160919798022e-10       1.205113740049e-11      -6.547694769799e-15 
   35       1.508444766626e-10       4.792755716037e-15       2.576207885381e-13       0.000000000000e+00       1.096325735782e-10       1.142424159875e-11      -6.623682238052e-15 
   36       1.531764862642e-10       5.281248728692e-15       2.553800579441e-13       0.000000000000e+00       1.036665059482e-10       1.084197236391e-11      -6.661108773205e-15 
   37       1.555425690921e-10       5.801237489847e-15       2.518889326541e-13       0.000000000000e+00       9.811606038934e-11       1.030635299163e-11      -6.679120597110e-15 
   38       1.579432930104e-10       6.353472089719e-15       2.471075710112e-13       0.000000000000e+00       9.296687417570e-11       9.815938371726e-12      -6.688299635136e-15 
   39       1.603741827945e-10       6.938721599548e-15       2.409888022853e-13       0.000000000000e+00       8.820259344941e-11       9.365775858422e-12      -6.698046855011e-15 
   40       1.628238346068e-10       7.557718868792e-15       2.334854849904e-13       0.000000000000e+00       8.377774330659e-11       8.947201979512e-12      -6.719532797994e-15 
   41       1.652793070419e-10       8.211179351161e-15       2.245509270593e-13       0.000000000000e+00       7.963356875385e-11       8.550521302808e-12      -6.762411977212e-15 
