# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 6000, i.e. number of multipoles equal to 5999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.372503077793e-10       4.281366164226e-15       3.615923106634e-13       2.426693794624e-19       8.162995787875e-09       4.457198446525e-10      -1.853175257611e-12 
    3       1.299010881430e-10       5.732026941191e-15       4.147056770413e-13       4.854637696789e-19       5.046253364120e-09       3.162411607785e-10      -1.423220306277e-12 
    4       1.228755612965e-10       5.342121553177e-15       3.975389814179e-13       8.093803746685e-19       3.509078756004e-09       2.395295658821e-10      -9.685469421421e-13 
    5       1.175407319557e-10       3.989491878144e-15       3.486828255159e-13       1.214575691839e-18       2.616780456215e-09       1.892713897938e-10      -5.928294342521e-13 
    6       1.138067419651e-10       2.561041598590e-15       2.904074678029e-13       1.701236913715e-18       2.042526395896e-09       1.541154500061e-10      -3.175315823742e-13 
    7       1.113365542262e-10       1.510880601367e-15       2.359952160741e-13       2.269576799534e-18       1.647597488542e-09       1.283963950872e-10      -1.365372123165e-13 
    8       1.098234839280e-10       8.967009018862e-16       1.916893514789e-13       2.919827985601e-18       1.361846428429e-09       1.089060064504e-10      -3.111941352584e-14 
    9       1.090292931851e-10       5.938823874592e-16       1.594666021469e-13       3.652236955133e-18       1.146994951990e-09       9.370322543246e-11       2.081141367851e-14 
   10       1.087657820505e-10       4.592686129048e-16       1.388001852305e-13       4.467057899942e-18       9.807312856624e-10       8.158352382339e-11       3.936699134243e-14 
   11       1.089345888442e-10       3.975414847234e-16       1.278502752454e-13       5.364546708265e-18       8.247208152035e-10       7.203665589492e-11       4.010917561466e-14 
   12       1.094463001371e-10       3.637763578489e-16       1.242115307969e-13       6.344955305313e-18       7.204778336605e-10       6.375894439016e-11       3.282116971646e-14 
   13       1.102170178454e-10       3.441770397691e-16       1.255801795077e-13       7.408526556009e-18       6.349275911628e-10       5.696976473205e-11       2.348553214268e-14 
   14       1.111661840424e-10       3.382428048560e-16       1.301361567687e-13       8.555489913613e-18       5.637642967684e-10       5.104551218468e-11       1.416460731939e-14 
   15       1.123094275361e-10       3.486587674109e-16       1.366526004309e-13       9.786057964577e-18       5.038780410078e-10       4.608094720112e-11       6.210536990666e-15 
   16       1.136236525463e-10       3.774277292491e-16       1.442551735821e-13       1.110042398047e-17       4.529708954968e-10       4.186386939184e-11      -1.646634480776e-16 
   17       1.150347398265e-10       4.253492599168e-16       1.524479417377e-13       1.249876054373e-17       4.093102566463e-10       3.821990247251e-11      -4.912530299140e-15 
   18       1.165415214268e-10       4.922278098832e-16       1.610712797257e-13       1.398121874359e-17       3.714208374924e-10       3.498548884781e-11      -8.127951318992e-15 
   19       1.181561632634e-10       5.779277428761e-16       1.700062355381e-13       1.554793158107e-17       3.387015672509e-10       3.213713306391e-11      -9.919864342816e-15 
   20       1.198338661910e-10       6.817373984336e-16       1.790596501414e-13       1.719901002865e-17       3.098878589119e-10       2.962958516818e-11      -1.053943056828e-14 
   21       1.215861172451e-10       8.038649095029e-16       1.880928518376e-13       1.893455333360e-17       2.845261202969e-10       2.742131859651e-11      -1.032760910983e-14 
   22       1.234099401440e-10       9.445892750766e-16       1.969583402212e-13       2.075464437300e-17       2.620091880247e-10       2.543488042515e-11      -9.735246935501e-15 
   23       1.252961585687e-10       1.104606954801e-15       2.055527982193e-13       2.265936183665e-17       2.420268874843e-10       2.363897072315e-11      -9.073109709651e-15 
   24       1.272165388056e-10       1.284645610735e-15       2.137769519218e-13       2.464877554489e-17       2.241164884210e-10       2.199998097769e-11      -8.591822321195e-15 
   25       1.291891108267e-10       1.485609153584e-15       2.215643074411e-13       2.672296046705e-17       2.080668963460e-10       2.052506439214e-11      -8.242190741378e-15 
   26       1.312269406304e-10       1.708399464387e-15       2.288454891698e-13       2.888199117556e-17       1.935872355521e-10       1.921543885722e-11      -7.876613404185e-15 
   27       1.333110691935e-10       1.953976117445e-15       2.355196882283e-13       3.112595385430e-17       1.805035657573e-10       1.803970954739e-11      -7.455919987082e-15 
   28       1.354057386155e-10       2.223255439572e-15       2.414755742310e-13       3.345494246082e-17       1.685900687737e-10       1.695043837988e-11      -6.986125511690e-15 
   29       1.375202146457e-10       2.517075520424e-15       2.466490770423e-13       3.586907182024e-17       1.577857304270e-10       1.594452435898e-11      -6.540026070790e-15 
   30       1.396684749128e-10       2.836175727271e-15       2.509897092469e-13       3.836846962361e-17       1.479743089875e-10       1.502520806301e-11      -6.226877089490e-15 
   31       1.418543508102e-10       3.181291062753e-15       2.544399723559e-13       4.095327550714e-17       1.389553935927e-10       1.418748075332e-11      -6.143319945785e-15 
   32       1.440801961041e-10       3.553525385646e-15       2.569124610504e-13       4.362364798276e-17       1.306823369296e-10       1.342358948200e-11      -6.243172730872e-15 
   33       1.463388049577e-10       3.954117363070e-15       2.583026722835e-13       4.637976268674e-17       1.230966030284e-10       1.271787104493e-11      -6.415978242680e-15 
   34       1.486169088378e-10       4.384252535750e-15       2.585102195332e-13       4.922180900984e-17       1.160919798022e-10       1.205113740049e-11      -6.547694769799e-15 
   35       1.509203463169e-10       4.844737936282e-15       2.574955924285e-13       5.214997913511e-17       1.096325735782e-10       1.142424159875e-11      -6.623682238052e-15 
   36       1.532560852954e-10       5.336205593152e-15       2.552435495400e-13       5.516447739610e-17       1.036665059482e-10       1.084197236391e-11      -6.661108773205e-15 
   37       1.556259577970e-10       5.859248257085e-15       2.517405790566e-13       5.826551353739e-17       9.811606038934e-11       1.030635299163e-11      -6.679120597110e-15 
   38       1.580305286875e-10       6.414615264748e-15       2.469468579333e-13       6.145326546344e-17       9.296687417570e-11       9.815938371726e-12      -6.688299635136e-15 
   39       1.604653195950e-10       7.003074858696e-15       2.408152393673e-13       6.472790523921e-17       8.820259344941e-11       9.365775858422e-12      -6.698046855011e-15 
   40       1.629189232926e-10       7.625358988496e-15       2.332986107614e-13       6.808960944950e-17       8.377774330659e-11       8.947201979512e-12      -6.719532797994e-15 
   41       1.653783949008e-10       8.282182126188e-15       2.243503147429e-13       7.153854308170e-17       7.963356875385e-11       8.550521302808e-12      -6.762411977212e-15 
   42       1.678491316069e-10       8.974310254737e-15       2.139258589355e-13       7.507480415745e-17       7.575786589346e-11       8.174826609250e-12      -6.823442784904e-15 
   43       1.703403474364e-10       9.702510713928e-15       2.019815654129e-13       7.869846157134e-17       7.214035234662e-11       7.820861065270e-12      -6.894328866126e-15 
   44       1.728593340646e-10       1.046753247187e-14       1.884740016707e-13       8.240956912713e-17       6.875471396707e-11       7.488210983433e-12      -6.964651879787e-15 
   45       1.754109874017e-10       1.127004478346e-14       1.733642631792e-13       8.620815341226e-17       6.556800474054e-11       7.175705715719e-12      -7.024753285757e-15 
   46       1.779968029993e-10       1.211043303386e-14       1.566325335393e-13       9.009417508923e-17       6.257520520598e-11       6.882996537588e-12      -7.075722628759e-15 
   47       1.806151584434e-10       1.298894060666e-14       1.382677431625e-13       9.406755459484e-17       5.977282460626e-11       6.609278969864e-12      -7.122167579255e-15 
   48       1.832612584775e-10       1.390572007221e-14       1.182637536802e-13       9.812818096062e-17       5.714847735869e-11       6.352763696909e-12      -7.169496220850e-15 
   49       1.859268740156e-10       1.486082896036e-14       9.661953029864e-14       1.022759103184e-16       5.468022160972e-11       6.110604960299e-12      -7.223956821677e-15 
   50       1.886036174280e-10       1.585428820016e-14       7.333260644826e-14       1.065105708336e-16       5.234316713624e-11       5.879725862468e-12      -7.291172094119e-15 
   51       1.912944219778e-10       1.688628594686e-14       4.837698655397e-14       1.108319825521e-16       5.013294813081e-11       5.659724501467e-12      -7.371180667477e-15 
   52       1.940047272164e-10       1.795702177440e-14       2.171954314821e-14       1.152399403574e-16       4.804747848997e-11       5.450632897716e-12      -7.462118426383e-15 
   53       1.967391227182e-10       1.906664759622e-14      -6.673939557853e-15       1.197342068495e-16       4.607992755271e-11       5.252060327670e-12      -7.561576047689e-15 
   54       1.995012535064e-10       2.021526638704e-14      -3.683890897590e-14       1.243145111536e-16       4.421840074212e-11       5.063163925022e-12      -7.666567924242e-15 
   55       2.022937511557e-10       2.140291374864e-14      -6.880554567641e-14       1.289805801170e-16       4.244956882344e-11       4.882954246106e-12      -7.773805230794e-15 
   56       2.051182237164e-10       2.262950017252e-14      -1.025770492439e-13       1.337322437080e-16       4.077134308319e-11       4.711368207797e-12      -7.880665751889e-15 
   57       2.079750976332e-10       2.389485219523e-14      -1.381462091659e-13       1.385693537127e-16       3.918278955544e-11       4.548411196122e-12      -7.984410547600e-15 
   58       2.108635003131e-10       2.519872639342e-14      -1.755014610305e-13       1.434917537082e-16       3.768029436916e-11       4.393829462332e-12      -8.081882111803e-15 
   59       2.137811665520e-10       2.654080743731e-14      -2.146267710582e-13       1.484992791322e-16       3.625739823213e-11       4.247093774662e-12      -8.169485145654e-15 
   60       2.167243449607e-10       2.792070614402e-14      -2.555015206331e-13       1.535917573533e-16       3.490463091474e-11       4.107383070090e-12      -8.243167331057e-15 
   61       2.196893018529e-10       2.933796924715e-14      -2.981055902315e-13       1.587690452350e-16       3.361214118895e-11       3.973822712105e-12      -8.299448675183e-15 
   62       2.226774390620e-10       3.079211567159e-14      -3.424362059226e-13       1.640311515241e-16       3.237865091166e-11       3.846298742398e-12      -8.338823032117e-15 
   63       2.256911640528e-10       3.228260498376e-14      -3.884946865534e-13       1.693781421826e-16       3.120422621683e-11       3.724798218236e-12      -8.363089446149e-15 
