# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.375419138916e-10       4.660047552583e-15       3.719209104245e-13       2.240700813718e-19       8.105263713608e-09       4.470211090839e-10      -1.955079568152e-12 
    3       1.301553086217e-10       6.380200433115e-15       4.287465045757e-13       4.482462697822e-19       5.055918546988e-09       3.178987628496e-10      -1.537259257696e-12 
    4       1.230922485591e-10       5.921215777245e-15       4.097696977264e-13       7.473104163659e-19       3.523618548411e-09       2.409031440675e-10      -1.061075261547e-12 
    5       1.177385984703e-10       4.253356449290e-15       3.560536080338e-13       1.121397138383e-18       2.631350124104e-09       1.903711375422e-10      -6.414781899867e-13 
    6       1.140149872504e-10       2.529229339894e-15       2.918082962964e-13       1.570668993376e-18       2.054432838947e-09       1.549333453764e-10      -3.139577090088e-13 
    7       1.115810472655e-10       1.374828206090e-15       2.317151845705e-13       2.095312954284e-18       1.655512978698e-09       1.289423400307e-10      -8.698756594280e-14 
    8       1.101252416669e-10       8.259687666281e-16       1.829563748834e-13       2.695536450009e-18       1.367012689912e-09       1.092488181915e-10       4.709210280736e-14 
    9       1.094052060114e-10       6.314696499119e-16       1.480486124124e-13       3.371563101766e-18       1.151045861353e-09       9.392630166882e-11       1.053636037892e-13 
   10       1.092198926641e-10       5.501059230733e-16       1.265771007772e-13       4.123628293888e-18       9.843561410799e-10       8.175477625619e-11       1.095171045154e-13 
   11       1.094683232041e-10       4.746744020828e-16       1.163890636029e-13       4.951974720950e-18       8.277828996009e-10       7.218505448736e-11       8.189233897634e-14 
   12       1.100558778627e-10       4.037084837253e-16       1.146019391876e-13       5.856848051003e-18       7.231719923716e-10       6.394002262630e-11       4.157649326831e-14 
   13       1.108923486364e-10       3.635436858822e-16       1.182698145606e-13       6.838492837454e-18       6.373149621013e-10       5.718951788335e-11       3.107593269657e-15 
   14       1.118990787052e-10       3.609204404585e-16       1.249384980029e-13       7.897148800055e-18       5.658927184920e-10       5.129000349053e-11      -2.528916905813e-14 
   15       1.130905791800e-10       3.822784826076e-16       1.329555582041e-13       9.033047579034e-18       5.057847252102e-10       4.632892176408e-11      -3.996792507570e-14 
   16       1.144435100992e-10       4.137115361907e-16       1.412473495561e-13       1.024641004625e-17       4.546875526525e-10       4.209603440583e-11      -4.191847215024e-14 
   17       1.158863344576e-10       4.536205643014e-16       1.492823617925e-13       1.153744423428e-17       4.108614138758e-10       3.842254856758e-11      -3.477372215051e-14 
   18       1.174201269412e-10       5.102008594139e-16       1.571274099453e-13       1.290634363634e-17       3.728269295626e-10       3.515181308899e-11      -2.345243976005e-14 
   19       1.190567513915e-10       5.889151353470e-16       1.650309940707e-13       1.435328786843e-17       3.399814389833e-10       3.226842683681e-11      -1.171904551091e-14 
   20       1.207505062321e-10       6.927313955651e-16       1.732717363245e-13       1.587843944423e-17       3.110556614452e-10       2.973565958899e-11      -3.212681785765e-15 
   21       1.225136357638e-10       8.196441240329e-16       1.820202733553e-13       1.748194855294e-17       2.855944859864e-10       2.751308230709e-11       8.831024877299e-16 
   22       1.243443563234e-10       9.656024460447e-16       1.913407495612e-13       1.916394943740e-17       2.629886932334e-10       2.552095995721e-11       5.577379877495e-16 
   23       1.262331015945e-10       1.130729003920e-15       2.009925857556e-13       2.092456687802e-17       2.429269917323e-10       2.372515648207e-11      -3.072739882117e-15 
   24       1.281509781951e-10       1.316148937595e-15       2.105837006905e-13       2.276391252084e-17       2.249449227865e-10       2.208858284625e-11      -8.195889520991e-15 
   25       1.301173690874e-10       1.521665822870e-15       2.198293245570e-13       2.468209329385e-17       2.088307627570e-10       2.061650756752e-11      -1.319113439078e-14 
   26       1.321473829319e-10       1.746625153076e-15       2.284394811068e-13       2.667920696608e-17       1.942927230529e-10       1.930850030524e-11      -1.648758140454e-14 
   27       1.342232184286e-10       1.991471926748e-15       2.361210079942e-13       2.875534990835e-17       1.811561566329e-10       1.813158312918e-11      -1.761949731830e-14 
   28       1.363099012797e-10       2.257163967197e-15       2.426018349219e-13       3.091061410900e-17       1.691942721451e-10       1.703703803696e-11      -1.661436563457e-14 
   29       1.384169133574e-10       2.545507650279e-15       2.478416973670e-13       3.314509823472e-17       1.583458455643e-10       1.602261832041e-11      -1.406340918438e-14 
   30       1.405581175847e-10       2.858800322023e-15       2.519020139470e-13       3.545889941529e-17       1.484942614764e-10       1.509344709520e-11      -1.093474711704e-14 
   31       1.427369950530e-10       3.199356126629e-15       2.548771456941e-13       3.785211318225e-17       1.394384078170e-10       1.424663823899e-11      -8.286290146002e-15 
   32       1.449553345815e-10       3.568331046205e-15       2.568381285933e-13       4.032484513002e-17       1.311314564001e-10       1.347559251346e-11      -6.500842362514e-15 
   33       1.472050910307e-10       3.966450266787e-15       2.578722698365e-13       4.287720432537e-17       1.235146145444e-10       1.276561309309e-11      -5.772764014913e-15 
   34       1.494722117762e-10       4.394345856249e-15       2.580539948112e-13       4.550930150141e-17       1.164812269439e-10       1.209819881837e-11      -6.198452966159e-15 
   35       1.517630644328e-10       4.852719134163e-15       2.572855248866e-13       4.822125151703e-17       1.099952612623e-10       1.147318327970e-11      -7.406097616967e-15 
   36       1.540856409522e-10       5.342219982974e-15       2.553983994246e-13       5.101317267442e-17       1.040046482971e-10       1.089351662840e-11      -8.782324782213e-15 
   37       1.564427424671e-10       5.863461221644e-15       2.522164636264e-13       5.388518354294e-17       9.843137931539e-11       1.035936271866e-11      -9.708877050925e-15 
   38       1.588350671709e-10       6.417241089017e-15       2.476360946316e-13       5.683739238033e-17       9.326103575515e-11       9.868962394923e-12      -1.007762101464e-14 
   39       1.612579506844e-10       7.004387344720e-15       2.415707119962e-13       5.986990486319e-17       8.847719626057e-11       9.417531127375e-12      -9.941370077625e-15 
   40       1.636996760832e-10       7.625694939278e-15       2.339288489345e-13       6.298282728980e-17       8.403420359923e-11       8.996642728370e-12      -9.378409439687e-15 
   41       1.661469412966e-10       8.281882745519e-15       2.246384461446e-13       6.617626004929e-17       7.987306800289e-11       8.596908236000e-12      -8.499466342755e-15 
   42       1.686050224571e-10       8.973452073978e-15       2.137300599011e-13       6.945027478179e-17       7.598153384773e-11       8.217784145881e-12      -7.466787609866e-15 
   43       1.710830397247e-10       9.700778415493e-15       2.012801702324e-13       7.280493026634e-17       7.234927449773e-11       7.860451039079e-12      -6.484466777070e-15 
   44       1.735881349407e-10       1.046414362424e-14       1.873902155335e-13       7.624027841883e-17       6.894986841513e-11       7.525015546572e-12      -5.796113256834e-15 
   45       1.761250651999e-10       1.126382425452e-14       1.721517081914e-13       7.975635726601e-17       6.575023622096e-11       7.210759875781e-12      -5.616125025877e-15 
   46       1.786954337255e-10       1.210039985584e-14       1.555259660052e-13       8.335316780102e-17       6.274533557237e-11       6.917205126785e-12      -5.893751624072e-15 
   47       1.812977995186e-10       1.297452833385e-14       1.374307199380e-13       8.703068989216e-17       5.993165918845e-11       6.643202887608e-12      -6.482287437368e-15 
   48       1.839275567145e-10       1.388686097307e-14       1.177725074517e-13       9.078888795720e-17       5.729677024301e-11       6.386543542555e-12      -7.202095744261e-15 
   49       1.865766732035e-10       1.483804280849e-14       9.644593480936e-14       9.462771038352e-17       5.481863837039e-11       6.143880349635e-12      -7.838751562236e-15 
   50       1.892369446451e-10       1.582860194952e-14       7.335461117490e-14       9.854708877001e-17       5.247227328932e-11       5.911688445384e-12      -8.198913011481e-15 
   51       1.919114041927e-10       1.685858127351e-14       4.848236128427e-14       1.025469367560e-16       5.025328890080e-11       5.689624881218e-12      -8.300122838739e-15 
