# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 5000, i.e. number of multipoles equal to 4999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.375403680428e-10       4.620879558219e-15       3.710239688584e-13       2.440851078970e-19       8.286650729422e-09       4.487465584289e-10      -1.943955640469e-12 
    3       1.301426979726e-10       6.288219333123e-15       4.260126289456e-13       4.882902687933e-19       5.059403554072e-09       3.175185832894e-10      -1.525330150720e-12 
    4       1.230864180659e-10       5.803302376058e-15       4.063913790938e-13       8.140805207487e-19       3.499326511724e-09       2.402154488714e-10      -1.048772368180e-12 
    5       1.177445633230e-10       4.143724999340e-15       3.525142854325e-13       1.221606656372e-18       2.602413824920e-09       1.896175357830e-10      -6.301046998359e-13 
    6       1.140339905842e-10       2.451005387922e-15       2.884626587182e-13       1.711049475686e-18       2.026930080921e-09       1.541816760162e-10      -3.047926872562e-13 
    7       1.116120711831e-10       1.330444003183e-15       2.288191764368e-13       2.282615092521e-18       1.631117673023e-09       1.282217984067e-10      -8.072053057083e-14 
    8       1.101663775484e-10       8.038271930284e-16       1.806320168415e-13       2.936529712666e-18       1.345101607812e-09       1.085548966614e-10       5.033414323861e-14 
    9       1.094543739465e-10       6.181140746480e-16       1.463186846766e-13       3.673034079422e-18       1.130500305130e-09       9.324865277039e-11       1.059519483350e-13 
   10       1.092753747282e-10       5.381313880595e-16       1.253904727993e-13       4.492377792983e-18       9.646574293149e-10       8.109026456998e-11       1.081694647656e-13 
   11       1.095290019720e-10       4.631758543895e-16       1.156281467751e-13       5.394813712451e-18       8.249564773740e-10       7.201394094291e-11       7.950730080382e-14 
   12       1.101205243378e-10       3.943588200132e-16       1.141126891109e-13       6.380592643210e-18       7.206883877126e-10       6.378342053101e-11       3.900182704430e-14 
   13       1.109604511219e-10       3.570721969043e-16       1.179336843953e-13       7.449958498120e-18       6.351104466123e-10       5.704576339685e-11       1.046227457679e-15 
   14       1.119701890733e-10       3.563601135513e-16       1.246784536507e-13       8.603144099135e-18       5.639259804832e-10       5.115754459494e-11      -2.641069643331e-14 
   15       1.131646039230e-10       3.783256536547e-16       1.327021985799e-13       9.840367757405e-18       5.040235947149e-10       4.620649029574e-11      -4.004882666417e-14 
   16       1.145195322944e-10       4.100046173525e-16       1.409954642442e-13       1.116183073588e-17       4.531022649903e-10       4.198212948093e-11      -4.114460027747e-14 
   17       1.159650518546e-10       4.506952668314e-16       1.490496505076e-13       1.256771566031e-17       4.094277017334e-10       3.831662103405e-11      -3.350824948261e-14 
   18       1.175011983481e-10       5.087958375784e-16       1.569292134466e-13       1.405818544143e-17       3.715306987101e-10       3.505392487225e-11      -2.210605138610e-14 
   19       1.191398634600e-10       5.892073285443e-16       1.649035513577e-13       1.563338592969e-17       3.387966103737e-10       3.217795480338e-11      -1.063686800445e-14 
   20       1.208359336804e-10       6.941414293775e-16       1.732702975404e-13       1.729344213099e-17       3.099733422641e-10       2.965201003780e-11      -2.600882187655e-15 
   21       1.226010078030e-10       8.216858793023e-16       1.821448903690e-13       1.903846689247e-17       2.846053056850e-10       2.743532892354e-11       9.704958798286e-16 
   22       1.244328386667e-10       9.681842578864e-16       1.915222822922e-13       2.086855664744e-17       2.620798705364e-10       2.544819394451e-11       2.321111537237e-16 
   23       1.263251153125e-10       1.133827320379e-15       2.012103721835e-13       2.278380238383e-17       2.420941393912e-10       2.365859297544e-11      -3.639635666375e-15 
   24       1.282506856085e-10       1.319676729477e-15       2.108857940737e-13       2.478428467855e-17       2.241903648015e-10       2.203040157029e-11      -8.805997468573e-15 
   25       1.302148897853e-10       1.525345067614e-15       2.201789601675e-13       2.687008469719e-17       2.081246859113e-10       2.055899873768e-11      -1.361518104604e-14 
   26       1.322197545068e-10       1.750050088936e-15       2.286932272226e-13       2.904128101645e-17       1.935816967280e-10       1.923559576334e-11      -1.651384068718e-14 
   27       1.342743633939e-10       1.994718270177e-15       2.362401033512e-13       3.129796577406e-17       1.804854534479e-10       1.805026131820e-11      -1.727957678848e-14 
