# ell    alpha     beta
2.000000000000000000e+00 1.476572734103578810e+00 7.891408255415829670e-11
3.000000000000000000e+00 2.619211914446117007e+00 2.418418741940319611e-10
4.000000000000000000e+00 3.479965825000813417e+00 1.313761080506341989e-10
5.000000000000000000e+00 4.576248993070477944e+00 2.374511847207941253e-10
6.000000000000000000e+00 5.052405754752974154e+00 6.697857068965821622e-11
7.000000000000000000e+00 6.534300385066615036e+00 1.308941074567387861e-10
8.000000000000000000e+00 7.245200009272464214e+00 5.954305163195654548e-11
9.000000000000000000e+00 7.705303614717804450e+00 5.685602824549046113e-11
1.000000000000000000e+01 8.925797184263233319e+00 6.025052468865090864e-11
1.100000000000000000e+01 9.907610886885905188e+00 6.036792029134268781e-11
1.200000000000000000e+01 1.051929126511992330e+01 4.738571739468133880e-11
1.300000000000000000e+01 1.100838263980480569e+01 3.294421742608617749e-11
1.400000000000000000e+01 1.165296894541041439e+01 4.105575218757545183e-11
1.500000000000000000e+01 1.375526287307026152e+01 5.280890051802786343e-11
1.600000000000000000e+01 1.311677807590008804e+01 2.698645938971050019e-11
1.700000000000000000e+01 1.486680305759239396e+01 4.519361500599344111e-11
1.800000000000000000e+01 1.459789295490864447e+01 2.573479124638273550e-11
1.900000000000000000e+01 1.658512955773328201e+01 3.694739582658114027e-11
2.000000000000000000e+01 1.607824872795699278e+01 2.250580669869026403e-11
2.100000000000000000e+01 1.550871916372976855e+01 1.795460759579261427e-11
2.200000000000000000e+01 1.691354309676731305e+01 1.791650223163881661e-11
2.300000000000000000e+01 1.833698843920466715e+01 2.209042512026378719e-11
2.400000000000000000e+01 1.836154400801117959e+01 2.307371951481710140e-11
2.500000000000000000e+01 1.866471054703155730e+01 2.068541503680458191e-11
2.600000000000000000e+01 2.051801077122345873e+01 2.108791976878617435e-11
2.700000000000000000e+01 2.304703946019849781e+01 2.682168262839848646e-11
2.800000000000000000e+01 2.312600564485020271e+01 2.872067051006089896e-11
2.900000000000000000e+01 2.345617331605443567e+01 2.322618276928553046e-11
