ell R_ell F_ell N_ell
2 0.0008616676991664647 0.0008364684820375743 1.3640874578001636e-05
3 0.0002096572685611915 0.00018132286150688163 1.6974299190942838e-05
4 0.00011828527964885481 0.0001065772072298178 1.307058711040548e-05
5 6.287652283546389e-05 4.549134643558561e-05 1.3961060615611116e-05
6 7.645682743946208e-05 6.494285316064283e-05 1.3384249692148182e-05
7 6.34742170475684e-05 5.148440524668714e-05 1.2732432950788725e-05
8 3.606231870852192e-05 2.1749937848425427e-05 1.3156872674764028e-05
9 2.8917836457678066e-05 1.7445166251873918e-05 1.2500250158864881e-05
10 3.405926743445077e-05 2.130223393287668e-05 1.273325997811053e-05
11 2.7739824094342717e-05 1.4800628008263117e-05 1.3157666594042952e-05
12 2.94993379507283e-05 1.7002796859759053e-05 1.2149624538104607e-05
13 2.348683307565743e-05 1.1690045516101786e-05 1.3181172699954285e-05
14 2.241766355050987e-05 1.0772219134881384e-05 1.2669248429958268e-05
15 2.4983599502726197e-05 1.104430456473542e-05 1.3445483794843768e-05
16 2.144338455240628e-05 8.105794046151669e-06 1.3300692013450601e-05
17 2.21888308510246e-05 8.358694350958227e-06 1.305155003797643e-05
18 2.007081422542353e-05 6.880477768541002e-06 1.3202881440621526e-05
19 1.693537074158365e-05 4.683649321856574e-06 1.2656795058155739e-05
20 1.9333343194053457e-05 6.980969150436327e-06 1.2514826306511349e-05
21 1.7537163898314356e-05 4.683766310176668e-06 1.2860359237614003e-05
22 1.6948353664094525e-05 3.1194900156831887e-06 1.3778266501832754e-05
23 1.7934216877188268e-05 5.016604934912701e-06 1.2896398091184484e-05
24 1.5360925544983203e-05 1.859495764848372e-06 1.322982949564986e-05
25 1.6043176841809634e-05 3.5419995491740874e-06 1.2639134362807749e-05
26 1.4505634098397453e-05 2.41996823907061e-06 1.2252358287251215e-05
27 1.623677544584092e-05 3.040792151510012e-06 1.3406427358974574e-05
28 1.5303771301404123e-05 1.7401781703686722e-06 1.3566518239114828e-05
29 1.5305187163759727e-05 2.448901609038567e-06 1.2906771567023007e-05
30 1.530133195278671e-05 2.082287697775427e-06 1.321040756197914e-05
31 1.5266192943525773e-05 1.7120485039392146e-06 1.357263607595575e-05
32 1.4948247841439944e-05 1.8915792765600453e-06 1.3024226441852366e-05
33 1.4747461932606064e-05 1.9363683946281682e-06 1.2874718554276964e-05
34 1.4599408247613577e-05 1.899342682537443e-06 1.2896728363603444e-05
35 1.474538272473745e-05 1.7508691406453581e-06 1.2934356955230477e-05
36 1.484155141894651e-05 1.377380191721181e-06 1.336135160399968e-05
37 1.435523931335283e-05 1.6617304404079603e-06 1.2797534416506463e-05
38 1.4693048006605384e-05 1.6273599118012043e-06 1.2896758661613244e-05
39 1.4136886895230227e-05 2.294397917680275e-06 1.2198396357673027e-05
40 1.2871032205246986e-05 1.4553339608291383e-06 1.1507957060137606e-05
41 1.3343908394009601e-05 2.0550193495647796e-06 1.1300080225692724e-05
42 1.1762888396153614e-05 9.668381553138742e-07 1.0842400034216243e-05
43 1.100396597165383e-05 1.1468114878801151e-06 9.910701111772243e-06
44 1.094214635366135e-05 1.259688277997949e-06 9.685860313253474e-06
