ell R_ell F_ell N_ell
2 0.0006987598722478361 0.0006803531320672265 1.512172240608617e-05
3 0.00016457390099070527 0.00013254380671935687 1.9689750069839082e-05
4 9.209651006441843e-05 7.596441373154701e-05 1.4965966637921843e-05
5 4.324316877641107e-05 2.5427616510813455e-05 1.5993708527080604e-05
6 4.841506592669698e-05 3.449280207568876e-05 1.5925807110795025e-05
7 4.721396536926809e-05 3.33588508622045e-05 1.4720215010288724e-05
8 3.133298980326219e-05 1.4577839340751271e-05 1.5170108050699732e-05
9 2.7835270969012457e-05 1.3681634039844119e-05 1.4999679343541406e-05
10 2.447591161516584e-05 1.0043318292753875e-05 1.4687121978273617e-05
11 2.4687180510345382e-05 1.0082300191470563e-05 1.4961316932453946e-05
12 2.6932011730232354e-05 1.2879721860078014e-05 1.4156795670163948e-05
13 2.3475757203489483e-05 9.906680719758534e-06 1.543217184514386e-05
14 2.0129369569219553e-05 6.38411190494349e-06 1.4816259429667129e-05
15 2.250343834246094e-05 6.1853367738728626e-06 1.582302004421913e-05
16 2.198396005295385e-05 6.987731871449008e-06 1.542300942063041e-05
17 2.068253493292084e-05 4.631533240853703e-06 1.5091933787437946e-05
18 2.0434296301262647e-05 5.2350727292300615e-06 1.5193473606253873e-05
19 1.8162715584864052e-05 3.734172541060103e-06 1.5085640841147553e-05
20 1.916034208873645e-05 4.158020962697428e-06 1.4712341284477591e-05
21 1.7937395733972784e-05 3.2780783487642603e-06 1.456823070146074e-05
22 1.7596856441956497e-05 1.8295426619268392e-06 1.5545020265308723e-05
23 1.8511285854408618e-05 3.4731932023356967e-06 1.526083542322061e-05
24 1.7262100362127817e-05 1.4435700002055464e-06 1.54575833889477e-05
25 1.6823821962819624e-05 2.2787159834205925e-06 1.4576380860901721e-05
26 1.636713683221361e-05 2.390516589980742e-06 1.4031665489726035e-05
27 1.7935873039957097e-05 2.60648506506702e-06 1.5568875429658212e-05
28 1.7939827401820885e-05 1.9341039826295014e-06 1.581401088022466e-05
29 1.635388547550759e-05 1.6529668346086822e-06 1.5039929742987795e-05
30 1.6640765033287855e-05 1.3219476403700575e-06 1.5326789293488317e-05
31 1.6939653786079428e-05 1.0820505589699808e-06 1.591748293403453e-05
32 1.650433272113727e-05 1.2009925433234556e-06 1.5281081181700232e-05
33 1.67184011607963e-05 1.5113094496132162e-06 1.5150198830975837e-05
