ell R_ell F_ell N_ell
2 6.712831012681003e-05 8.301418258107804e-06 5.882689186870222e-05
3 2.2552917192468507e-05 2.4855023022369285e-06 2.006741489023158e-05
4 2.933534501363818e-05 5.427781161587513e-06 2.3907563852050665e-05
5 2.5380689591555094e-05 5.779194017043495e-06 1.9601495574511597e-05
6 2.0020012387032912e-05 1.5070465773124556e-06 1.8512965809720456e-05
7 1.9416492981695717e-05 1.3140447693075821e-06 1.8102448212388134e-05
8 2.046027389892991e-05 2.975149402655421e-06 1.748512449627449e-05
9 1.9121208700577167e-05 4.054746426030386e-06 1.5066462274546782e-05
10 1.6940195583560578e-05 3.5531197032480167e-06 1.3387075880312561e-05
11 1.6245359125589263e-05 2.9165794553870393e-06 1.3328779670202225e-05
12 1.407353364754789e-05 2.1182998450209944e-06 1.1955233802526894e-05
13 1.417308576093455e-05 1.2112496279319313e-06 1.296183613300262e-05
14 1.3890924732472925e-05 2.597485713566882e-06 1.1293439018906044e-05
15 1.3917679116156006e-05 2.7691034077515288e-06 1.1148575708404478e-05
16 1.147723506718919e-05 1.1830957051044916e-06 1.0294139362084698e-05
17 1.2792749010371045e-05 3.5058443436637223e-06 9.286904666707322e-06
18 1.08360701093427e-05 1.7966906163242888e-06 9.039379493018411e-06
19 9.38072971421493e-06 1.623401042289126e-06 7.757328671925803e-06
20 9.55454755892713e-06 1.8767271513562857e-06 7.677820407570844e-06
21 9.458389528021348e-06 1.8275234894586493e-06 7.630866038562698e-06
22 9.615745803505491e-06 2.308946108118713e-06 7.306799695386778e-06
23 8.663166117535758e-06 2.0106180740882456e-06 6.652548043447513e-06
24 8.02360474354211e-06 1.1110720117025457e-06 6.9125327318395635e-06
25 7.716548228165881e-06 1.4423601326056152e-06 6.274188095560266e-06
26 7.91706797037167e-06 1.852171463856951e-06 6.064896506514719e-06
27 7.321023055925292e-06 1.2162081057896068e-06 6.104814950135685e-06
28 6.812689397005652e-06 1.104525766702644e-06 5.708163630303008e-06
29 6.317686993947957e-06 8.10256435982517e-07 5.50743055796544e-06
30 6.448008522270912e-06 9.214406418857408e-07 5.5265678803851706e-06
31 6.224375516393417e-06 8.645045234542984e-07 5.359870992939118e-06
32 6.314096452795536e-06 1.0527908778435886e-06 5.261305574951948e-06
33 6.210555018967409e-06 1.1742049138154895e-06 5.036350105151919e-06
34 5.885301425956088e-06 1.0868812647281628e-06 4.798420161227925e-06
35 5.586424436994937e-06 9.77780498892978e-07 4.608643938101959e-06
36 5.642553484247008e-06 8.751118626326448e-07 4.767441621614363e-06
37 5.6000055354109465e-06 1.0035812506533262e-06 4.59642428475762e-06
38 5.42174242209336e-06 7.709138669128919e-07 4.650828555180468e-06
39 5.26709267905311e-06 1.000626874478047e-06 4.266465804575063e-06
40 5.027277139388813e-06 8.800634213585891e-07 4.147213718030224e-06
41 4.757242012051111e-06 6.368232855491348e-07 4.120418726501976e-06
42 4.684346829868978e-06 6.06537151648533e-07 4.0778096782204445e-06
43 4.5957570294774005e-06 6.29624460103069e-07 3.966132569374332e-06
44 4.816975598281146e-06 8.123525468929981e-07 4.004623051388148e-06
45 4.546806757680986e-06 7.755060850460955e-07 3.7713006726348903e-06
46 4.113749090352723e-06 3.448119551571781e-07 3.768937135195545e-06
