ell R_ell F_ell N_ell
2 0.00010397003341209078 8.301418258107806e-06 9.566861515398298e-05
3 2.9753375226798744e-05 2.4855023022369285e-06 2.7267872924561816e-05
4 3.741238829744253e-05 5.427781161587513e-06 3.198460713585502e-05
5 3.185779356861514e-05 5.779194017043494e-06 2.6078599551571645e-05
6 2.5852933726934268e-05 1.5070465773124556e-06 2.4345887149621812e-05
7 2.4688964779933178e-05 1.3140447693075821e-06 2.3374920010625595e-05
8 2.543175896438847e-05 2.975149402655421e-06 2.245660956173305e-05
9 2.3569227631136912e-05 4.054746426030386e-06 1.9514481205106527e-05
10 2.108009961365561e-05 3.5531197032480167e-06 1.7526979910407593e-05
11 1.9901168687434153e-05 2.9165794553870393e-06 1.6984589232047115e-05
12 1.7439305262593053e-05 2.1182998450209944e-06 1.532100541757206e-05
13 1.7902213192367713e-05 1.2112496279319311e-06 1.6690963564435782e-05
14 1.7041833275573483e-05 2.597485713566882e-06 1.44443475620066e-05
15 1.7124508027002032e-05 2.7691034077515288e-06 1.4355404619250501e-05
16 1.4366192754720677e-05 1.1830957051044916e-06 1.3183097049616186e-05
17 1.5306130729590973e-05 3.5058443436637223e-06 1.1800286385927252e-05
18 1.33542264876891e-05 1.7966906163242888e-06 1.1557535871364812e-05
19 1.1528531197799491e-05 1.623401042289126e-06 9.905130155510365e-06
20 1.1666432420878037e-05 1.8767271513562857e-06 9.789705269521751e-06
21 1.1571343009719354e-05 1.8275234894586493e-06 9.743819520260704e-06
22 1.158136147790921e-05 2.308946108118713e-06 9.272415369790497e-06
23 1.0500735145360859e-05 2.0106180740882456e-06 8.490117071272613e-06
24 9.92899610564577e-06 1.1110720117025457e-06 8.817924093943224e-06
25 9.45269999381769e-06 1.4423601326056152e-06 8.010339861212074e-06
26 9.576992840131477e-06 1.852171463856951e-06 7.724821376274526e-06
27 8.979182817958234e-06 1.2162081057896068e-06 7.762974712168628e-06
28 8.378609911622609e-06 1.104525766702644e-06 7.2740841449199655e-06
29 7.790497309154528e-06 8.10256435982517e-07 6.980240873172011e-06
30 7.904137016482952e-06 9.214406418857408e-07 6.982696374597211e-06
31 7.636576623222406e-06 8.645045234542983e-07 6.772072099768107e-06
32 7.731051725503759e-06 1.0527908778435886e-06 6.67826084766017e-06
33 7.53907060224694e-06 1.1742049138154895e-06 6.3648656884314505e-06
34 7.177511972399821e-06 1.0868812647281628e-06 6.090630707671658e-06
35 6.812436886990734e-06 9.77780498892978e-07 5.834656388097756e-06
36 6.920390742307841e-06 8.751118626326448e-07 6.045278879675196e-06
37 6.815096629616354e-06 1.0035812506533262e-06 5.811515378963028e-06
38 6.696628700592252e-06 7.709138669128919e-07 5.92571483367936e-06
39 6.433643521710414e-06 1.000626874478047e-06 5.433016647232367e-06
40 6.131823895851055e-06 8.800634213585896e-07 5.251760474492466e-06
41 5.865570931030217e-06 6.368232855491348e-07 5.228747645481082e-06
42 5.795743800017739e-06 6.06537151648533e-07 5.189206648369206e-06
43 5.679310203382766e-06 6.29624460103069e-07 5.049685743279698e-06
44 5.8907927400082144e-06 8.123525468929981e-07 5.078440193115217e-06
45 5.5613979140053e-06 7.755060850460955e-07 4.785891828959205e-06
46 5.117852699422887e-06 3.448119551571781e-07 4.7730407442657094e-06
47 5.5241093772355385e-06 6.746938716735191e-07 4.849415505562019e-06
48 5.405408370804863e-06 7.788853432106846e-07 4.626523027594179e-06
49 5.3310631247980145e-06 6.24134004257912e-07 4.7069291205401025e-06
50 5.299394890385412e-06 6.455551819926598e-07 4.653839708392752e-06
51 5.033585140790057e-06 5.313223423021619e-07 4.502262798487894e-06
52 4.998875991379466e-06 4.720450299605482e-07 4.5268309614189175e-06
53 5.200958920075892e-06 4.4846231873707e-07 4.752496601338822e-06
54 5.052574426077957e-06 5.524542430529395e-07 4.500120183025018e-06
55 5.100159449944706e-06 4.751087596758464e-07 4.625050690268859e-06
56 4.860652484513816e-06 3.8794022339760815e-07 4.472712261116208e-06
57 5.1198220391260085e-06 5.23410046157573e-07 4.596411992968436e-06
58 4.672833967419524e-06 3.433335824505461e-07 4.329500384968978e-06
59 4.962719893860174e-06 5.074545900689104e-07 4.455265303791263e-06
60 4.8604385903169255e-06 4.614200878782418e-07 4.399018502438684e-06
61 4.771420716566133e-06 4.471416295807669e-07 4.324279086985366e-06
62 4.719273452692261e-06 3.280732763505779e-07 4.391200176341683e-06
63 4.92763229142074e-06 4.761316385757679e-07 4.451500652844972e-06
64 4.728282416490567e-06 3.5493439044837764e-07 4.373348026042189e-06
65 4.649883189541018e-06 3.874153916698955e-07 4.262467797871122e-06
66 4.731520704017973e-06 4.417616826097839e-07 4.28975902140819e-06
67 4.64280143892037e-06 3.7615439655663347e-07 4.266647042363736e-06
68 4.598158609477572e-06 3.068171274518566e-07 4.291341482025715e-06
69 4.575074072394775e-06 3.049247993186469e-07 4.270149273076128e-06
70 4.5013314605448436e-06 3.0554196427489184e-07 4.195789496269952e-06
71 4.661891693556022e-06 3.301889151878101e-07 4.331702778368211e-06
72 4.63561985069752e-06 3.5777851089511923e-07 4.2778413398024e-06
73 4.599771673985106e-06 3.610939798285865e-07 4.238677694156519e-06
74 4.454484112072315e-06 3.062122266450076e-07 4.148271885427307e-06
75 4.5292552075451875e-06 3.770814095835451e-07 4.152173797961643e-06
76 4.55122338798918e-06 3.034416649977911e-07 4.247781722991389e-06
77 4.433416622366633e-06 4.06129694491466e-07 4.027286927875167e-06
78 4.638733348911697e-06 2.855327264824264e-07 4.35320062242927e-06
79 4.5336043972409985e-06 3.5418063217065827e-07 4.17942376507034e-06
80 4.592968519876957e-06 3.507932848794106e-07 4.242175234997546e-06
81 4.429582305818565e-06 3.2842519250090586e-07 4.101157113317659e-06
82 4.380715351414911e-06 2.6853306113340623e-07 4.112182290281505e-06
83 4.411290593571535e-06 2.869556372983121e-07 4.124334956273223e-06
84 4.357535615130182e-06 3.375235711634377e-07 4.020012043966744e-06
85 4.466990941735518e-06 2.6624518608392614e-07 4.200745755651592e-06
86 4.363856521984443e-06 2.9620531944065035e-07 4.0676512025437924e-06
87 4.427500853786941e-06 3.0116838387181025e-07 4.126332469915131e-06
88 4.316463823550007e-06 2.8877752659770006e-07 4.027686296952307e-06
89 4.219676096373051e-06 2.463097610133014e-07 3.97336633535975e-06
90 4.3253435388501535e-06 2.390281243149622e-07 4.086315414535191e-06
91 4.332247458863075e-06 2.2782973473059475e-07 4.10441772413248e-06
92 4.2778644431982345e-06 2.578319819879734e-07 4.020032461210261e-06
93 4.3117392361526686e-06 3.0677729164023845e-07 4.00496194451243e-06
94 4.383908707575399e-06 2.7930082748380203e-07 4.104607880091597e-06
95 4.341624520771831e-06 2.737732274297891e-07 4.067851293342042e-06
96 4.155305733011033e-06 2.2129867171757905e-07 3.934007061293454e-06
97 4.220804131093144e-06 2.505595509446635e-07 3.970244580148481e-06
98 4.295991028693402e-06 2.40596474795544e-07 4.055394553897858e-06
99 4.26330532757056e-06 2.793789419631611e-07 3.983926385607399e-06
100 4.137563094296537e-06 2.126300360259746e-07 3.924933058270562e-06
101 4.310809299843862e-06 2.581928187728366e-07 4.052616481071025e-06
102 4.239032551516475e-06 2.5256617215544804e-07 3.9864663793610274e-06
103 4.30967157095376e-06 2.939586407591641e-07 4.015712930194596e-06
104 4.42216091822453e-06 3.1265395341199987e-07 4.10950696481253e-06
105 4.197935299338424e-06 2.4915558604606813e-07 3.948779713292356e-06
106 4.168429806398784e-06 2.1523805439324523e-07 3.953191752005538e-06
107 4.373816462756574e-06 3.109657029444284e-07 4.062850759812146e-06
108 4.171148454818168e-06 2.0399363357065688e-07 3.967154821247511e-06
109 4.305892764938732e-06 2.793911046500656e-07 4.026501660288666e-06
110 4.27303026350067e-06 2.2479466987701695e-07 4.048235593623653e-06
111 4.364956827468191e-06 2.1535938600740875e-07 4.149597441460782e-06
112 4.28356908391325e-06 2.5537531931659647e-07 4.028193764596654e-06
113 4.2970935420626275e-06 2.031818836587926e-07 4.093911658403835e-06
114 4.278097064378109e-06 2.3482271837392772e-07 4.043274346004181e-06
115 4.120054042139341e-06 2.2414774902106591e-07 3.895906293118275e-06
116 4.380387498482268e-06 2.2568994175595978e-07 4.154697556726308e-06
117 4.3315630572907766e-06 1.9225624001687009e-07 4.139306817273907e-06
118 4.292877266924047e-06 2.833365808314843e-07 4.009540686092563e-06
119 4.196990431021374e-06 2.0162480311867382e-07 3.995365627902701e-06
120 4.187391542889004e-06 2.1226553816732828e-07 3.975126004721676e-06
121 4.3268603208991976e-06 1.9857083569724382e-07 4.128289485201954e-06
122 4.378092330789044e-06 2.313040769930326e-07 4.146788253796011e-06
123 4.307453994323002e-06 1.896649874712141e-07 4.117789006851788e-06
124 4.297528874425326e-06 2.1748419728789275e-07 4.080044677137433e-06
125 4.375370992420597e-06 2.874272096018532e-07 4.087943782818744e-06
126 4.379171135420582e-06 2.76962792230298e-07 4.102208343190284e-06
127 4.41207772884661e-06 3.560253708516311e-07 4.056052357994978e-06
128 4.517137310710947e-06 4.353272804611531e-07 4.081810030249794e-06
