ell R_ell F_ell N_ell
2 0.0005892145956303231 0.0005501192406790923 1.8663419653526106e-05
3 0.00016216302715587477 0.0001353335696468356 1.8897926395309316e-05
4 9.991382058102306e-05 8.398452136346903e-05 1.632541908624194e-05
5 4.324572010379676e-05 2.666203520492279e-05 1.6285929930614827e-05
6 5.924251492656777e-05 4.527348231669586e-05 1.493588620095172e-05
7 5.393103948131342e-05 3.968680168806791e-05 1.409561943885978e-05
8 2.9511533804105786e-05 1.565673418091873e-05 1.4512590626822468e-05
9 2.926546541924675e-05 1.6324151651117785e-05 1.3636710820623375e-05
10 3.54041362456417e-05 2.045658542203045e-05 1.4108769724104346e-05
11 2.541738900575347e-05 1.0370282816602044e-05 1.4554540453660508e-05
12 2.6262935311712625e-05 1.3370557994647184e-05 1.3312032097314467e-05
13 2.2503646581665997e-05 8.902426123698905e-06 1.3904192568427361e-05
14 2.024224039166828e-05 7.479869436865964e-06 1.3153235841939315e-05
15 2.1381802466955343e-05 7.967474223020685e-06 1.3403160673266677e-05
16 1.9562251847140083e-05 6.700447985803735e-06 1.2962922816832573e-05
17 2.023619984846081e-05 7.393455669766796e-06 1.2774194393570084e-05
18 1.8626854394096618e-05 5.8141893821208724e-06 1.2786833357253621e-05
19 1.6187676592319598e-05 4.037151274113006e-06 1.2295574739879163e-05
20 1.7033441287289592e-05 5.221578750043271e-06 1.2020323695597207e-05
21 1.4920935366159731e-05 3.4260486419481217e-06 1.1310138648566664e-05
22 1.4738633635878572e-05 2.613882699073801e-06 1.209132180448599e-05
23 1.601260406875753e-05 4.456961640635948e-06 1.1619174458917366e-05
24 1.2435355594320284e-05 1.149800057567665e-06 1.126592373628877e-05
25 1.332980209210572e-05 2.641998184930778e-06 1.0726143814829901e-05
26 1.2042419918800382e-05 1.6633702603736952e-06 1.058320647403621e-05
27 1.2809837299745973e-05 2.295445463763882e-06 1.0650930271974021e-05
28 1.1883612625919703e-05 1.3706265455222664e-06 1.0536610911831316e-05
29 1.165322808874341e-05 1.7898245067862799e-06 1.0029417032653824e-05
30 1.1255948477344987e-05 1.4632667173790537e-06 9.897650114734904e-06
31 1.0984037440217452e-05 1.3684338833925708e-06 9.751033530825096e-06
32 1.1107072850600656e-05 1.5239094188377952e-06 9.571361653986166e-06
33 1.0629007045407978e-05 1.5608322993528027e-06 9.156894617971771e-06
34 1.0271387687327002e-05 1.4969601755028232e-06 8.81434324033018e-06
35 1.0235193814062885e-05 1.2932312421185268e-06 8.827004643667389e-06
36 9.532877015327119e-06 9.116719893945626e-07 8.589857922385066e-06
37 9.460161453697814e-06 1.1319888306569787e-06 8.429032133282566e-06
38 9.37038480066381e-06 1.070062079594371e-06 8.272395160852897e-06
39 9.513178243221586e-06 1.6020333900537771e-06 8.016604845420017e-06
40 8.716990510142485e-06 1.0814383511917327e-06 7.69964732619346e-06
41 8.802104864802314e-06 1.4288588380133202e-06 7.395078961479887e-06
42 8.035065752836625e-06 6.929105887677696e-07 7.328765494730224e-06
43 7.779403833046518e-06 7.830185938748511e-07 6.987661228078314e-06
44 7.8964743787281e-06 1.0077386205546383e-06 6.91494692734894e-06
45 7.644869765492488e-06 9.64440338927306e-07 6.754594607303528e-06
46 7.605746687629912e-06 7.846234672906094e-07 6.821947744379646e-06
47 7.099689630598807e-06 6.99079791158448e-07 6.389764680374803e-06
48 7.082117824898983e-06 9.119128161989169e-07 6.129493019225537e-06
49 6.577974081188582e-06 5.913237941576224e-07 5.994780625128716e-06
50 6.696824778749464e-06 6.54589573262902e-07 6.039877720585082e-06
51 6.542719410355079e-06 8.472518275604444e-07 5.7272013545079636e-06
52 6.3647196604939904e-06 7.269637753198534e-07 5.661939851450074e-06
53 5.99697209522347e-06 5.08229352558372e-07 5.485768677932745e-06
54 6.292757768677804e-06 8.615448658893949e-07 5.475856264037376e-06
55 5.9174350407856564e-06 7.385179926095494e-07 5.157868609144175e-06
56 5.782933466827991e-06 6.026768130458184e-07 5.15874960437079e-06
