# units: uK_CMB^2
ell R_ell F_ell N_ell
2 0.0005771241744939042 0.0005719083987562631 1.1430642399572167e-05
3 0.00014339482066839357 0.00012669385445666174 1.3642660348121459e-05
4 6.586687125666738e-05 5.6924590429312564e-05 1.1619096133248885e-05
5 2.7338638859268033e-05 1.6605720919567157e-05 1.1691591362755762e-05
6 3.770795738027018e-05 2.832920137912745e-05 1.1266329873953986e-05
7 3.528302712250303e-05 2.6413671704718315e-05 1.0712656460936087e-05
8 2.1452876907352678e-05 1.116833859560764e-05 1.1061421366456217e-05
9 2.460868864814504e-05 1.4009253605107859e-05 1.0795495396319345e-05
10 2.1581762607462302e-05 1.0808894479016411e-05 1.1035772038239841e-05
11 1.9474739454030085e-05 8.423150710364292e-06 1.1404089169009707e-05
12 2.222542541980864e-05 1.2608493793258558e-05 1.0824612329365767e-05
13 1.9907118702513033e-05 9.343826060519221e-06 1.121508013669736e-05
14 1.5789180915234404e-05 5.515360777464572e-06 1.0776623700172153e-05
15 1.6921558232464322e-05 6.115128388779085e-06 1.1344008036935599e-05
16 1.6967738314744044e-05 6.611965177242802e-06 1.0984218285041969e-05
17 1.57571612122789e-05 4.636088134059633e-06 1.1066162935916733e-05
18 1.5245292097427296e-05 4.317018326689919e-06 1.1263390666360129e-05
19 1.4103260912637116e-05 3.3166486859795653e-06 1.1206187164247187e-05
20 1.4174003845466077e-05 3.6618656799481523e-06 1.1026751460125627e-05
21 1.3962088059080564e-05 3.44364970426588e-06 1.0415187924625718e-05
22 1.3349879173043435e-05 2.1338888904894382e-06 1.1380833842210656e-05
23 1.4647725535479373e-05 3.5292013698072667e-06 1.144222951829219e-05
24 1.2267378195161321e-05 1.4837082860982282e-06 1.0907224393569377e-05
25 1.299767374994016e-05 2.205923909652462e-06 1.092695676326053e-05
26 1.2612932834140916e-05 2.027291023254209e-06 1.0800310806955244e-05
27 1.3248951197308897e-05 2.324532701767685e-06 1.1215683373305375e-05
28 1.2892877404472437e-05 1.6537953930223636e-06 1.1385098381778949e-05
29 1.277211346433039e-05 1.9324117114945463e-06 1.1260912972809719e-05
30 1.2497423605118386e-05 1.4478362808278926e-06 1.1372761969717695e-05
31 1.2192194178196688e-05 1.1439235345443523e-06 1.1366404285204145e-05
32 1.2358591873517625e-05 1.311405444208448e-06 1.1228834993415712e-05
33 1.2486039621048281e-05 1.6150123064154063e-06 1.1146098868279848e-05
34 1.1981958030218082e-05 1.453443330633232e-06 1.0813889177336795e-05
35 1.2124629887546516e-05 1.1750410451560551e-06 1.1135311901527596e-05
36 1.1916548579116414e-05 9.941135471239938e-07 1.1052565779463212e-05
37 1.164155945630676e-05 9.056776295106406e-07 1.1050180892604175e-05
38 1.1379197173819134e-05 8.579899659361428e-07 1.0623132413277503e-05
39 1.0902126099117703e-05 1.0639726752283834e-06 1.0127430782458102e-05
40 1.0636433638678987e-05 1.0969938990457623e-06 9.739238746659506e-06
41 9.874924995261866e-06 8.622791142313102e-07 9.20058035412689e-06
42 9.1348222160581e-06 4.612771286003591e-07 8.763497425453728e-06
43 8.702617971945172e-06 8.32417333038655e-07 7.990303162129786e-06
44 8.365769381352123e-06 8.877080231793587e-07 7.640988421226575e-06
45 7.71597288859225e-06 7.507474956742712e-07 7.1151613996874896e-06
46 7.427126114165954e-06 6.450044655977864e-07 6.920322327283208e-06
47 6.844917880728642e-06 6.853138879110667e-07 6.224564938110056e-06
48 6.267802879539691e-06 6.386783475104001e-07 5.709411735603686e-06
49 5.756616121637266e-06 5.822254795431581e-07 5.302596634041831e-06
50 5.502789060936875e-06 3.9135668536878165e-07 5.153146225425283e-06
51 5.416742527843686e-06 7.965988333065257e-07 4.765664177688615e-06
52 5.102245179033863e-06 6.513997577707017e-07 4.5360262719697904e-06
53 4.8038392523921645e-06 5.65529406987899e-07 4.331683913870943e-06
54 4.941066910884317e-06 8.791978566852898e-07 4.208666902286008e-06
55 4.486763523514396e-06 6.521009386990931e-07 3.929534111918574e-06
56 4.443951815385271e-06 5.257967249149475e-07 3.992704905388803e-06
57 4.3187829274458956e-06 5.054113068487736e-07 3.912113825140276e-06
58 4.1545168022171966e-06 4.206880955150389e-07 3.8091659678624644e-06
