ell R_ell F_ell N_ell
2 0.00020604333700563544 3.2690283553266142e-06 0.00020277430865030884
3 3.9235610376345854e-05 -3.750370623557485e-08 3.927311408258143e-05
4 4.5832534089630247e-05 1.3027772194945731e-06 4.452975687013567e-05
5 3.910551914816932e-05 3.720413771211705e-06 3.5385105376957615e-05
6 3.358434785757074e-05 3.5157697932691992e-06 3.0068578064301542e-05
7 3.01726093453609e-05 6.169407675268027e-07 2.9555668577834098e-05
8 3.009454264383642e-05 1.4884005232935214e-06 2.86061421205429e-05
9 3.0034620477488712e-05 2.846284289426868e-06 2.7188336188061843e-05
10 2.443064252016833e-05 1.839994453459818e-06 2.2590648066708515e-05
11 2.128448782885613e-05 1.4833309830206254e-06 1.9801156845835503e-05
12 2.0629117203232835e-05 5.771424583115651e-07 2.005197474492127e-05
13 2.0972340570378118e-05 4.0636653366123577e-07 2.056597403671688e-05
14 2.0402529002057967e-05 1.4907292792668687e-06 1.8911799722791098e-05
15 1.9803262330126893e-05 1.3313049432709151e-06 1.8471957386855977e-05
16 1.7705399905713576e-05 9.795174593569569e-07 1.6725882446356618e-05
17 1.77591648126403e-05 1.861564003103074e-06 1.5897600809537223e-05
18 1.548638328669303e-05 9.725851742609213e-07 1.4513798112432109e-05
19 1.3885754694863557e-05 1.0345645441936603e-06 1.2851190150669896e-05
20 1.3706838688772894e-05 1.1456348543372344e-06 1.256120383443566e-05
21 1.2761403364729014e-05 5.614390778655545e-07 1.2199964286863459e-05
22 1.3160899902935767e-05 1.3751458848515277e-06 1.1785754018084239e-05
23 1.2242705263734299e-05 1.212074331970447e-06 1.1030630931763851e-05
24 1.158344412460333e-05 5.153550467658614e-07 1.1068089077837467e-05
25 1.1520145025171378e-05 1.0071154527589388e-06 1.051302957241244e-05
26 1.1326981466656671e-05 1.1959540593910516e-06 1.013102740726562e-05
27 1.0743965819098456e-05 7.342897344753633e-07 1.0009676084623094e-05
28 1.0397470345304014e-05 7.767556716257578e-07 9.620714673678257e-06
29 9.534695089348208e-06 4.498678521736493e-07 9.084827237174559e-06
30 9.522337542815269e-06 5.229754704946892e-07 8.99936207232058e-06
31 9.49167080584015e-06 7.418088327684146e-07 8.749861973071735e-06
32 9.565179708803645e-06 7.601519664512226e-07 8.805027742352423e-06
33 8.956201909407339e-06 6.553287167549138e-07 8.300873192652424e-06
34 8.429059616333387e-06 5.105982016867743e-07 7.918461414646613e-06
35 7.953565046194142e-06 4.186048966680966e-07 7.534960149526045e-06
36 8.557949674537155e-06 5.13568780423105e-07 8.04438089411405e-06
37 7.907530511298234e-06 3.679589523298254e-07 7.539571558968409e-06
38 8.209736717043523e-06 5.595766711802558e-07 7.650160045863267e-06
39 7.645208741503609e-06 5.437106224574875e-07 7.101498119046122e-06
40 7.68474429797799e-06 3.9355477382081657e-07 7.291189524157172e-06
41 7.433335830211825e-06 4.389240097818563e-07 6.994411820429969e-06
42 7.508952508013054e-06 4.844625798375506e-07 7.024489928175504e-06
43 7.122073975979806e-06 3.0575610631766135e-07 6.816317869662145e-06
44 7.1857457252031696e-06 4.1957631816579425e-07 6.7661694070373755e-06
45 6.981579769098937e-06 5.214386478288452e-07 6.4601411212700915e-06
46 6.5743463222558565e-06 1.8601388152020905e-07 6.3883324407356475e-06
47 6.72885832944075e-06 1.948200995295963e-07 6.534038229911154e-06
48 6.7292957927641525e-06 4.33694333274628e-07 6.295601459489525e-06
49 6.762815302083949e-06 3.272092247747187e-07 6.43560607730923e-06
50 6.814174960029516e-06 3.928770166821553e-07 6.421297943347361e-06
51 6.44877065846135e-06 3.6844159241716096e-07 6.080329066044189e-06
52 6.371171511553607e-06 2.603426153416929e-07 6.110828896211914e-06
53 6.875693484948047e-06 3.4159762978860283e-07 6.534095855159444e-06
54 6.46786152098019e-06 3.5722692226054647e-07 6.110634598719643e-06
55 6.464474275383054e-06 2.576811168217318e-07 6.206793158561322e-06
56 6.308825346439402e-06 2.2514970084807488e-07 6.083675645591327e-06
57 6.4908643822169876e-06 3.271718610767292e-07 6.163692521140259e-06
58 6.161360679772372e-06 2.375074376198479e-07 5.923853242152524e-06
59 6.406835087140967e-06 2.682299370431648e-07 6.138605150097802e-06
60 6.107663274356105e-06 2.702386871296916e-07 5.837424587226413e-06
61 6.13029757141826e-06 2.4697344191100006e-07 5.88332412950726e-06
62 6.265222018454603e-06 2.06064827520348e-07 6.059157190934256e-06
63 6.248777398933721e-06 1.9141850068698429e-07 6.057358898246736e-06
64 6.174937993895112e-06 1.9009013875941223e-07 5.9848478551357e-06
65 5.9984533034045005e-06 1.7309124279180164e-07 5.825362060612699e-06
66 6.089987977681553e-06 2.6078886084501446e-07 5.829199116836539e-06
67 5.964644491312823e-06 1.8797153826528585e-07 5.776672953047537e-06
68 5.961957517570031e-06 1.5382200874776015e-07 5.808135508822271e-06
69 5.9421395522510425e-06 1.7253941517170854e-07 5.769600137079334e-06
70 5.904537690844234e-06 1.648257213199995e-07 5.739711969524234e-06
71 6.001184707937152e-06 2.244745940809104e-07 5.776710113856242e-06
72 5.8893956789466284e-06 2.0872194567662876e-07 5.680673733269999e-06
73 6.085944993897747e-06 2.086205646693229e-07 5.8773244292284245e-06
74 5.783692392732371e-06 1.483239362372712e-07 5.6353684564950994e-06
75 5.886391701509269e-06 1.9117578209978887e-07 5.69521591940948e-06
76 5.868294088056089e-06 1.7717695559050772e-07 5.691117132465581e-06
77 5.671055515806384e-06 2.032813766321588e-07 5.467774139174225e-06
78 6.021969125494554e-06 1.691548710719244e-07 5.85281425442263e-06
79 5.772158975135328e-06 1.6748985893839952e-07 5.6046691161969285e-06
80 5.940253349208803e-06 1.7291494987776239e-07 5.767338399331041e-06
81 5.6677843746116506e-06 1.7501506359542057e-07 5.49276931101623e-06
82 5.703112021531242e-06 1.483777280279227e-07 5.554734293503319e-06
83 5.733691468032418e-06 1.461135460190092e-07 5.587577922013409e-06
84 5.660965246941355e-06 1.9023985914650817e-07 5.470725387794847e-06
85 5.8429332825413165e-06 1.4966653286626045e-07 5.693266749675056e-06
86 5.768169880502884e-06 1.8823109867906822e-07 5.579938781823816e-06
87 5.845366924003878e-06 2.2074745211081066e-07 5.624619471893068e-06
88 5.559544832826815e-06 1.3810587815431653e-07 5.421438954672498e-06
89 5.563234146159754e-06 1.4663740580751384e-07 5.41659674035224e-06
90 5.725686879789457e-06 1.4398530574984e-07 5.581701574039617e-06
91 5.7723347375275905e-06 1.3445660829002787e-07 5.637878129237563e-06
92 5.653488487175292e-06 1.686364843146596e-07 5.484852002860633e-06
93 5.632300881722526e-06 1.1911584569934887e-07 5.513185036023178e-06
94 5.7291823262799755e-06 1.5290050674998267e-07 5.576281819529992e-06
95 5.71235612241551e-06 1.3718873093986985e-07 5.57516739147564e-06
96 5.572773322700103e-06 1.478378566783995e-07 5.4249354660217036e-06
97 5.617654700149758e-06 1.2050509019317252e-07 5.497149609956586e-06
98 5.7900178771691576e-06 2.0643788252051822e-07 5.5835799946486395e-06
99 5.64253213983007e-06 1.5950717149515578e-07 5.483024968334914e-06
100 5.51281753206338e-06 1.5292870079307759e-07 5.359888831270302e-06
101 5.714292491859003e-06 1.6386711840539187e-07 5.5504253734536106e-06
102 5.5493275567373455e-06 1.3656569552864198e-07 5.4127618612087035e-06
103 5.6548618645755695e-06 1.7399918395234196e-07 5.480862680623228e-06
104 5.778917499794482e-06 1.4189943641095745e-07 5.637018063383524e-06
105 5.530166466206364e-06 1.2321511991049926e-07 5.406951346295865e-06
106 5.619501530710548e-06 1.405190387460335e-07 5.478982491964515e-06
107 5.7400462754467814e-06 1.7569069777190874e-07 5.564355577674872e-06
108 5.53848866066844e-06 1.2197256897798032e-07 5.4165160916904595e-06
109 5.679121140126274e-06 1.3194055367748315e-07 5.547180586448792e-06
110 5.681895939554366e-06 1.2288885063712944e-07 5.559007088917236e-06
111 5.819534122215618e-06 1.1071707685678106e-07 5.708817045358837e-06
112 5.687710784531591e-06 1.519955692483995e-07 5.535715215283192e-06
113 5.753691337336503e-06 1.0896288925460627e-07 5.644728448081897e-06
114 5.7114302295480146e-06 1.1827658623833155e-07 5.593153643309683e-06
115 5.564348578261424e-06 1.3040582670709364e-07 5.43394275155433e-06
116 5.835044418839516e-06 1.44425051150841e-07 5.690619367688676e-06
117 5.778899105338162e-06 1.4402861272882984e-07 5.634870492609332e-06
118 5.651488673451984e-06 1.5649534148965952e-07 5.494993331962325e-06
119 5.668051027107107e-06 1.4529885217909863e-07 5.522752174928008e-06
120 5.686637835621259e-06 1.5324582758098146e-07 5.533392008040277e-06
121 5.8348736555926966e-06 1.2728063201157817e-07 5.707593023581119e-06
122 5.8270941638170935e-06 1.4485896209661595e-07 5.6822352017204774e-06
123 5.754602916491407e-06 1.0925046424020779e-07 5.6453524522511996e-06
124 5.7526761601755915e-06 1.3731588282467014e-07 5.615360277350922e-06
125 5.761696519277238e-06 1.5702025026688957e-07 5.604676269010348e-06
126 5.861557149160171e-06 1.908769624858991e-07 5.670680186674272e-06
127 5.956420472124497e-06 3.5677982519011045e-07 5.599640646934387e-06
128 5.94487788491137e-06 3.814050459375434e-07 5.563472838973826e-06
