ell R_ell F_ell N_ell
2 0.000659228374037433 0.0006413471648091534 1.2361003418593385e-05
3 0.0001614349767528853 0.00013556032821659988 1.5196138086969839e-05
4 7.562119035652744e-05 6.364549685443762e-05 1.170807741560124e-05
5 3.4664202223609906e-05 2.104540813650932e-05 1.2437521510517464e-05
6 4.0790581455079235e-05 3.03353863818787e-05 1.172162619222952e-05
7 3.985354319687172e-05 2.9366207566455495e-05 1.0897465023318712e-05
8 2.5908318388329397e-05 1.337511565655244e-05 1.1523161085448065e-05
9 2.4243915555280876e-05 1.3448874729498054e-05 1.1179703502489962e-05
10 2.1083844144051326e-05 9.906810000961335e-06 1.0940478868125404e-05
11 2.0086447876487332e-05 8.619400829529883e-06 1.1545518076926235e-05
12 2.2776070143527356e-05 1.214689485377372e-05 1.090053936614247e-05
13 1.951562569864855e-05 9.187128830014218e-06 1.167818327640443e-05
14 1.5763705847456914e-05 5.731310752111162e-06 1.0890386310486893e-05
15 1.7630615065435824e-05 5.758280283238636e-06 1.1579375504468989e-05
16 1.7745340652864302e-05 6.531767849962638e-06 1.153515583493707e-05
17 1.67538569098193e-05 4.253352579661502e-06 1.1623561778683431e-05
18 1.663668800469379e-05 5.057872539223309e-06 1.168760586578857e-05
19 1.4182740127441735e-05 3.31110420310764e-06 1.1301076214214512e-05
20 1.4903841678179948e-05 3.8336831785814746e-06 1.0813635024623393e-05
21 1.4176347193567354e-05 3.1704564700307602e-06 1.100200172531978e-05
22 1.3741952584539563e-05 1.8039006927819518e-06 1.1668382774942072e-05
23 1.4627546034047676e-05 3.3408617214995254e-06 1.142763711086915e-05
24 1.3299081154832335e-05 1.4439480955280348e-06 1.1605373344192435e-05
25 1.3208060153213695e-05 2.1236339179588023e-06 1.1119137035172097e-05
26 1.265179713734825e-05 2.0941211113322246e-06 1.0653173651321766e-05
27 1.3796876881864956e-05 2.302468915933792e-06 1.1732450511951751e-05
28 1.3711411853404335e-05 1.6961182738174095e-06 1.1890837261253493e-05
29 1.2741528405276312e-05 1.5818035135267717e-06 1.1414335705214457e-05
30 1.2821797171141457e-05 1.2368957433557336e-06 1.1573883257461456e-05
31 1.2825815196000516e-05 1.0131263533108413e-06 1.1881580511704772e-05
32 1.2398096953558037e-05 1.089923832693812e-06 1.131344501651302e-05
33 1.2784772021429644e-05 1.3435967961608824e-06 1.1388785454803022e-05
34 1.2413871256035924e-05 1.4733139479349283e-06 1.1235236917495508e-05
35 1.2574757411679843e-05 1.2249569477388712e-06 1.1229132796937531e-05
36 1.2461150785004506e-05 8.705490293835796e-07 1.1454159532559977e-05
37 1.201691076676465e-05 9.507869752072927e-07 1.113170422072313e-05
38 1.200712117427352e-05 8.910648171446376e-07 1.0952242230278834e-05
39 1.1360800893189122e-05 1.1169434327439315e-06 1.041812701731177e-05
40 1.0830515603876351e-05 1.0079981611453046e-06 9.890410747802102e-06
41 1.0297740682087905e-05 7.341078491046999e-07 9.634957857011476e-06
42 9.637987406724058e-06 4.77710808696333e-07 9.192894458113136e-06
43 8.809561850105604e-06 6.817814449394804e-07 8.14362392504908e-06
44 8.751013621879894e-06 8.463317019676487e-07 7.904577906763936e-06
45 8.315716861572386e-06 7.875887442191957e-07 7.541493906761925e-06
46 7.77217557527955e-06 7.604529984069144e-07 7.046199707135611e-06
47 7.356613380038393e-06 6.510682681732318e-07 6.684213164296923e-06
48 6.855720861760305e-06 6.277644356557317e-07 6.2220791587587316e-06
49 6.296977606767198e-06 5.913665184602184e-07 5.696814899520564e-06
50 6.15677233977064e-06 5.058925410518008e-07 5.627553529404502e-06
51 6.064330124266437e-06 9.455577988992538e-07 5.184367058543042e-06
52 5.743851794956489e-06 6.525015428506768e-07 5.0692441365644675e-06
53 5.1715412797344655e-06 5.188011455456651e-07 4.6374294702864515e-06
54 5.4290868886480794e-06 9.392712135626803e-07 4.630768951009429e-06
55 5.160967892803661e-06 7.081261946492783e-07 4.501841266422159e-06
56 4.902954850008422e-06 4.121467190594844e-07 4.473214413037594e-06
57 4.896718608087256e-06 4.733700863304814e-07 4.430180540957288e-06
58 4.85949108726987e-06 4.798840795162401e-07 4.384889285051064e-06
59 4.872156392298584e-06 4.6902034104014186e-07 4.381131881385061e-06
60 4.846990950202323e-06 6.096401910745734e-07 4.273663843179953e-06
61 4.822303165254022e-06 5.295466314037509e-07 4.340582614777227e-06
62 4.740391693921737e-06 3.337813585199063e-07 4.355849424150579e-06
63 4.838743148243173e-06 4.7238635750143274e-07 4.384794929438194e-06
64 4.7455086495011784e-06 3.6596164226016946e-07 4.447515159145787e-06
65 4.771317283235067e-06 3.608033178415811e-07 4.401088729505138e-06
66 4.685774101835556e-06 4.231786745518111e-07 4.287723929370619e-06
67 5.002650966718714e-06 5.461798247047682e-07 4.4243039824748445e-06
68 4.819005037065638e-06 3.530774924035383e-07 4.4941903284920115e-06
69 4.801319804291475e-06 3.6547540247091793e-07 4.47743805681806e-06
70 4.745498219974311e-06 3.702541643078154e-07 4.400414984529801e-06
71 4.926936040131855e-06 4.4426228328060545e-07 4.480543259252137e-06
72 4.8416686176113966e-06 3.39229225984603e-07 4.448750719323096e-06
73 4.773509018821086e-06 3.2946956973784974e-07 4.452462547989878e-06
74 4.621340489510289e-06 2.960805727840298e-07 4.343996745297321e-06
75 4.806219942695287e-06 4.373649670128894e-07 4.396074136466597e-06
76 4.6178954260705574e-06 2.8652135718249616e-07 4.3475460092291315e-06
77 4.5651679791507066e-06 2.973664809705776e-07 4.273208476147503e-06
78 4.590844475646848e-06 3.025700864981478e-07 4.287448518237762e-06
