ell R_ell F_ell N_ell
2 0.000834041696932941 0.0008088788767227186 1.2906272428020855e-05
3 0.0002056719939109183 0.00017899018936864104 1.5688475968524142e-05
4 0.00011266177256181648 0.00010202994384701641 1.2121963250127609e-05
5 5.982641761702732e-05 4.3847232942036864e-05 1.2941714987948335e-05
6 7.19956969068132e-05 6.13282590200698e-05 1.2290444910292824e-05
7 6.089143288158882e-05 4.981615034507916e-05 1.1659409193641205e-05
8 3.3893255144361126e-05 2.0807652833925186e-05 1.213507470127102e-05
9 2.8076724975999277e-05 1.7455167371380574e-05 1.1504690032662732e-05
10 3.2829816475581874e-05 2.0910895161895087e-05 1.1705250028905153e-05
11 2.606478676147452e-05 1.3999417492384367e-05 1.2217163794397267e-05
12 2.829888963159462e-05 1.6814408245771256e-05 1.1272927623830127e-05
13 2.2228407677540944e-05 1.1299924397593487e-05 1.2174725771119788e-05
14 2.096050393858673e-05 1.0341291347095236e-05 1.1599573734301274e-05
15 2.3228962473470543e-05 1.053217335744829e-05 1.22614709183499e-05
16 2.0326287596680718e-05 8.050647901935874e-06 1.2195564746299997e-05
17 2.0871765661564705e-05 8.062799391324349e-06 1.2063757288594378e-05
18 1.9035768163432507e-05 6.818155382970146e-06 1.2235647334682598e-05
19 1.5836949307201074e-05 4.520088640881197e-06 1.1652574334795474e-05
20 1.80801848004056e-05 6.78401796429734e-06 1.145053100161427e-05
21 1.6411183730475017e-05 4.593351278043863e-06 1.1858368223714162e-05
22 1.5826573418497486e-05 3.0558707851558863e-06 1.2680448880892367e-05
23 1.68546361894293e-05 4.904011955386833e-06 1.1884585938927769e-05
24 1.4277708020432841e-05 1.838351414698069e-06 1.2193987655848692e-05
25 1.4929553481268982e-05 3.39145955173939e-06 1.1683169422424266e-05
26 1.3446878414760889e-05 2.330622712490197e-06 1.1314527457557588e-05
27 1.500170980789836e-05 2.861625242476732e-06 1.2353159215549113e-05
28 1.4171445812066485e-05 1.6945554981538641e-06 1.2478496794559976e-05
29 1.4220917437084833e-05 2.353218330255774e-06 1.1902534563792717e-05
30 1.418744324957739e-05 1.9981841240081393e-06 1.2162217852020188e-05
31 1.4121066267466506e-05 1.6712904147911903e-06 1.248535199243944e-05
32 1.37718656599675e-05 1.7936011181367343e-06 1.1948043068899504e-05
33 1.3610823558962236e-05 1.8267643211017747e-06 1.1838245852905582e-05
34 1.3532583948491885e-05 1.8246011846767435e-06 1.1898176062723203e-05
35 1.3623159997180662e-05 1.6820956517541922e-06 1.1883822351899863e-05
36 1.365570969603939e-05 1.3478019259315276e-06 1.2227217413083396e-05
37 1.3249336104342025e-05 1.6105424766333962e-06 1.1745961564963526e-05
38 1.3553342370920928e-05 1.6065065277361666e-06 1.179282185861596e-05
39 1.3014927905773649e-05 2.2050748304437244e-06 1.1129210968791312e-05
40 1.1727463206894277e-05 1.4024284305310745e-06 1.041355645777213e-05
41 1.211343547360017e-05 1.9539716147495204e-06 1.0182183517346126e-05
42 1.0609307068071343e-05 9.087735523816193e-07 9.733489918028532e-06
43 9.917966760788057e-06 1.1066705071374997e-06 8.848388406033778e-06
44 9.774067754708855e-06 1.1856165298150459e-06 8.588244355544489e-06
45 9.406182344408042e-06 1.1848804758796163e-06 8.264760551966697e-06
46 8.71108687133573e-06 9.61102370687348e-07 7.794358053744022e-06
47 8.227401809059384e-06 8.352776794123884e-07 7.368523508133088e-06
48 7.991971756898706e-06 1.0975690678739472e-06 6.86196015746741e-06
49 7.111050641892992e-06 7.342806800426502e-07 6.434783339661112e-06
50 7.158536594264205e-06 8.38490265047908e-07 6.31743182691918e-06
51 6.854241519327155e-06 1.0493190769927222e-06 5.834334895036216e-06
52 6.573422551016164e-06 8.952965571537722e-07 5.717565642649869e-06
53 6.091575548864585e-06 6.141527109953577e-07 5.4356364070324275e-06
54 6.363455824690746e-06 1.0561373922325462e-06 5.439287187522769e-06
55 6.136849359778201e-06 9.260718226075382e-07 5.2355368799821454e-06
56 5.919616821719475e-06 7.574378289797889e-07 5.1624876529933535e-06
57 5.98436964806139e-06 8.683746803687852e-07 5.150546612973828e-06
58 5.970843279488116e-06 8.330925958201017e-07 5.109857818036552e-06
59 6.018009149706465e-06 8.754052983513108e-07 5.077164053213836e-06
60 5.885443818056313e-06 8.855271128135401e-07 5.053797619698952e-06
61 6.01143350281283e-06 9.335860753119165e-07 5.047442695456919e-06
62 5.689533174402533e-06 5.484829994316252e-07 5.089550493880496e-06
63 5.908378398699863e-06 7.901592436803907e-07 5.135087306422508e-06
64 5.658833364876146e-06 6.362706006462533e-07 5.121454716781915e-06
65 5.692780257260154e-06 5.144885084016796e-07 5.149504234119446e-06
66 5.831686909260339e-06 7.941908452876855e-07 5.058019419368178e-06
67 5.901296004483171e-06 7.503854131213574e-07 5.126410633774149e-06
68 5.8119023306330224e-06 6.407109845727133e-07 5.249409504045317e-06
69 5.726898857183775e-06 5.454970641491825e-07 5.208247670696488e-06
70 5.7315498191525825e-06 5.950789769028445e-07 5.132313148279487e-06
71 5.814049318899016e-06 6.319789971643071e-07 5.173245857735865e-06
72 5.728527074437569e-06 4.793735654594371e-07 5.1762742857433685e-06
73 5.683077487186242e-06 5.142906486319284e-07 5.177259593584756e-06
74 5.613741409922337e-06 5.207009202987451e-07 5.102787070378061e-06
75 5.618379142466539e-06 5.929807767745931e-07 5.0631167330645315e-06
76 5.425804202616252e-06 4.5360895036787864e-07 5.007654411060134e-06
77 5.433510230243577e-06 4.5804531666232254e-07 4.994489514579108e-06
78 5.43784942563691e-06 5.208421262818237e-07 4.963975156658428e-06
79 5.500383894729565e-06 5.536582119314136e-07 4.906069261586102e-06
80 5.290068956831652e-06 5.718513192412051e-07 4.753053563332435e-06
81 5.2324668065157494e-06 4.986548671050832e-07 4.7141979476027715e-06
82 4.9827259174805e-06 4.3116457295130495e-07 4.5444108818111705e-06
83 4.848932061908179e-06 4.1370674340494724e-07 4.450720881427924e-06
84 4.9269908340842595e-06 4.987826493778148e-07 4.44430276910841e-06
85 4.937438436143202e-06 5.699614571264149e-07 4.340880667641809e-06
86 4.7600805745362265e-06 4.783869355154388e-07 4.253820737237516e-06
87 4.7185954025594365e-06 5.505231548485564e-07 4.15967948308845e-06
88 4.5395140359029936e-06 4.834485731770215e-07 4.0350699073526e-06
89 4.510690410545496e-06 5.291998775013144e-07 4.029215069560724e-06
90 4.3246869533725995e-06 4.741360841719148e-07 3.881219971127739e-06
91 4.451915578461032e-06 5.065545732134392e-07 3.885198135811341e-06
92 4.115960639597264e-06 4.2051243951533935e-07 3.6889849281751454e-06
93 4.088821479206864e-06 4.696814076500549e-07 3.6053104775747134e-06
94 4.1152094572019215e-06 5.315827470408386e-07 3.646843992158309e-06
95 3.9215965717552224e-06 4.173015095004246e-07 3.5305894102443047e-06
96 4.06276477719044e-06 5.76670658930254e-07 3.450612784100076e-06
97 3.891811867492299e-06 5.290685991419571e-07 3.3903420971898447e-06
98 3.85293739707151e-06 6.05162025718873e-07 3.2800569673406385e-06
99 3.76119887310706e-06 5.146219638151309e-07 3.2523276415554935e-06
100 3.7577700154461094e-06 5.631236264235525e-07 3.1869905424789335e-06
101 3.7419610640361752e-06 6.445465432444557e-07 3.1193341693113673e-06
102 3.449730067525131e-06 4.47579344145934e-07 3.0336312646233108e-06
103 3.5273328289289573e-06 5.470987678634584e-07 2.986608284329187e-06
104 3.6688459493820534e-06 6.762366843604384e-07 2.9988416918503547e-06
105 3.403445484349728e-06 5.457131196876338e-07 2.8718959806127773e-06
106 3.496002907492245e-06 6.862422471858059e-07 2.8105609226230607e-06
107 3.334319094082821e-06 5.452961952304522e-07 2.7886367488787617e-06
108 3.3038758791067123e-06 6.048082037579117e-07 2.724090993040781e-06
109 3.2846444601668327e-06 5.368189792743199e-07 2.7372070877906347e-06
110 3.3014841102084783e-06 6.024015341760329e-07 2.737540602204472e-06
