ell R_ell F_ell N_ell
2 0.0001338809665457394 8.301418258107804e-06 0.0001255795482876316
3 2.54762112711705e-05 2.4855023022369285e-06 2.299070896893357e-05
4 3.412058827327676e-05 5.427781161587514e-06 2.8692807111689246e-05
5 2.9374941922787577e-05 5.779194017043495e-06 2.359574790574408e-05
6 2.2845118757101736e-05 1.5070465773124556e-06 2.133807217978928e-05
7 2.125071859839899e-05 1.3140447693075821e-06 1.9936673829091408e-05
8 2.178039860258859e-05 2.975149402655421e-06 1.880524919993317e-05
9 2.0464735009921483e-05 4.054746426030386e-06 1.6409988583891097e-05
10 1.8158313772489587e-05 3.5531197032480167e-06 1.4605194069241571e-05
11 1.6532440030372708e-05 2.9165794553870393e-06 1.3615860574985668e-05
12 1.4486448568247613e-05 2.1182998450209944e-06 1.2368148723226618e-05
13 1.600197771887268e-05 1.2112496279319313e-06 1.4790728090940746e-05
14 1.4110637949961855e-05 2.597485713566882e-06 1.1513152236394973e-05
15 1.4864654853720251e-05 2.7691034077515288e-06 1.2095551445968723e-05
16 1.2001111345942993e-05 1.1830957051044916e-06 1.0818015640838502e-05
17 1.3017544775098792e-05 3.5058443436637223e-06 9.511700431435069e-06
18 1.0981494694024362e-05 1.7966906163242888e-06 9.184804077700074e-06
19 9.48865555904109e-06 1.623401042289126e-06 7.865254516751963e-06
20 9.566495421251865e-06 1.8767271513562857e-06 7.68976826989558e-06
21 9.687570914693122e-06 1.8275234894586493e-06 7.860047425234473e-06
22 9.719007419184102e-06 2.308946108118713e-06 7.41006131106539e-06
23 9.018482583605791e-06 2.0106180740882456e-06 7.007864509517547e-06
24 7.991514186161909e-06 1.1110720117025457e-06 6.880442174459363e-06
25 7.740927888554466e-06 1.4423601326056152e-06 6.2985677559488516e-06
26 8.19022269327591e-06 1.852171463856951e-06 6.338051229418959e-06
27 7.452564104056672e-06 1.2162081057896068e-06 6.236355998267065e-06
28 6.778618873964397e-06 1.104525766702644e-06 5.674093107261753e-06
29 6.391484204208951e-06 8.10256435982517e-07 5.581227768226434e-06
30 6.446527596866849e-06 9.214406418857408e-07 5.525086954981108e-06
31 6.2532896922763295e-06 8.645045234542984e-07 5.3887851688220315e-06
32 6.411023192494236e-06 1.0527908778435886e-06 5.358232314650647e-06
33 6.2780465656669115e-06 1.1742049138154895e-06 5.103841651851422e-06
34 5.8576876968070505e-06 1.0868812647281628e-06 4.770806432078887e-06
35 5.517232463359007e-06 9.77780498892978e-07 4.539451964466029e-06
36 5.5361319144723375e-06 8.751118626326448e-07 4.6610200518396925e-06
37 5.601024265810422e-06 1.0035812506533262e-06 4.597443015157096e-06
38 5.393984568677156e-06 7.709138669128919e-07 4.623070701764264e-06
39 5.362440891917163e-06 1.000626874478047e-06 4.361814017439116e-06
40 4.986780397718265e-06 8.800634213585886e-07 4.106716976359676e-06
41 4.658704960121807e-06 6.368232855491348e-07 4.021881674572672e-06
42 4.735680272131885e-06 6.06537151648533e-07 4.129143120483352e-06
43 4.57517959773667e-06 6.29624460103069e-07 3.945555137633601e-06
44 4.793557373537716e-06 8.123525468929981e-07 3.981204826644718e-06
45 4.506130082175059e-06 7.755060850460955e-07 3.7306239971289638e-06
46 4.009935369702535e-06 3.448119551571781e-07 3.6651234145453574e-06
47 4.421791335260758e-06 6.746938716735191e-07 3.747097463587239e-06
48 4.436206654595213e-06 7.788853432106846e-07 3.657321311384529e-06
49 4.357966637267057e-06 6.24134004257912e-07 3.7338326330091457e-06
50 4.333777890896396e-06 6.455551819926598e-07 3.6882227089037366e-06
51 4.0889723913713185e-06 5.313223423021619e-07 3.5576500490691562e-06
52 4.023858881830928e-06 4.720450299605482e-07 3.55181385187038e-06
53 4.19040124255272e-06 4.4846231873707e-07 3.74193892381565e-06
