ell R_ell F_ell N_ell
2 0.00015465866723448176 0.00015070788831012097 1.032796378984442e-06
3 2.0326939184987693e-05 1.912550353867361e-05 1.0413566850526365e-06
4 2.7916897214678324e-05 2.669947733350879e-05 9.6976696236844e-07
5 2.536157911938309e-05 2.386856704188602e-05 9.29365499238762e-07
6 2.345641512492178e-05 2.2223317061330197e-05 9.901870877477087e-07
7 1.9192456376067544e-05 1.7929431790972095e-05 1.0643683856259753e-06
8 1.8170006283275065e-05 1.705731747244592e-05 9.758879332062324e-07
9 1.8918350899719936e-05 1.792120192929305e-05 9.932076469233609e-07
10 1.5464474584219792e-05 1.4389349414577178e-05 1.009296813504184e-06
11 1.2892866341850026e-05 1.2192456518551216e-05 9.782048896326483e-07
12 1.257060022162371e-05 1.1609887635973541e-05 9.63718655259751e-07
13 1.3223919639880053e-05 1.2296359986732966e-05 9.873244058947816e-07
14 1.1808614483527449e-05 1.0916519720967961e-05 1.003550755077624e-06
15 1.2050097891465362e-05 1.1172774635363559e-05 1.0144239249419107e-06
16 1.0568408623071623e-05 9.560989005483402e-06 9.99266246558178e-07
17 1.1197134313699902e-05 1.0370114036650281e-05 1.0074516520794126e-06
18 9.524023093094698e-06 8.602225895120714e-06 1.0059840681552853e-06
19 8.603510588366414e-06 7.761976902907312e-06 1.002552458924135e-06
20 8.22071067312444e-06 7.487845554115303e-06 9.704799892700915e-07
21 7.971104729507033e-06 7.190970259377586e-06 9.598341485830563e-07
22 8.079878475330267e-06 7.116206100881023e-06 1.017268627690281e-06
23 7.5295234849192244e-06 6.6811304065971886e-06 9.724247212928225e-07
24 6.7118873359779296e-06 5.8573775052304184e-06 1.0226685246834352e-06
25 6.775292368296124e-06 5.983408043427643e-06 1.0032599272410395e-06
26 7.169754970243815e-06 6.3565878708911275e-06 1.0222808670962038e-06
27 6.4391074668097335e-06 5.531983988794112e-06 1.0277778816974468e-06
28 6.288984487100961e-06 5.582091336219619e-06 1.0008024259856001e-06
29 5.854822261298062e-06 4.942180526676231e-06 1.0421595065375e-06
30 5.5416968839196885e-06 4.661759657705384e-06 1.0397652969004895e-06
31 5.6294217110888355e-06 4.6851957562962285e-06 1.0476848393131067e-06
32 5.700715495941398e-06 4.935545359416446e-06 9.870909494657296e-07
33 5.56049849247364e-06 4.810926820773875e-06 9.836539735172707e-07
34 5.009855464562906e-06 4.18578611464681e-06 1.0239795925315292e-06
35 4.66343825945521e-06 3.7813259622471016e-06 1.0005067373003964e-06
36 4.9039328745257985e-06 4.1080938945621256e-06 9.969801858439658e-07
37 4.758807280574927e-06 3.931589168080805e-06 1.0228125127148325e-06
38 5.004291218271026e-06 4.079028626220288e-06 1.0135501081767127e-06
39 4.654827356614112e-06 3.860578436293224e-06 1.0515880652950307e-06
40 4.473131969831961e-06 3.6999753936936807e-06 1.0119044038180248e-06
41 4.497656559174511e-06 3.6097456013069563e-06 1.0214389347366504e-06
42 4.484145012077461e-06 3.7578705076324582e-06 9.89252381144474e-07
43 4.2258641300471905e-06 3.3494044843197188e-06 1.0180335818204876e-06
44 4.242652829612846e-06 3.4028347227935168e-06 1.0423500634944089e-06
45 4.160903400316126e-06 3.389463430524425e-06 1.0206542246456752e-06
46 3.876976666313848e-06 3.048315579891663e-06 1.0092513312999062e-06
47 3.8491679045131994e-06 2.9874427838422598e-06 1.0442892870594815e-06
48 4.036909547633208e-06 3.1542392769723112e-06 1.030015732354836e-06
49 4.012645707838793e-06 3.151141889922825e-06 1.0381701215611403e-06
50 4.060567201283346e-06 3.171862836104883e-06 1.032541844944356e-06
51 3.8600625848407525e-06 3.0665388806676777e-06 1.0473848380637036e-06
52 3.7762121884754312e-06 2.929003766266369e-06 1.0343941938733632e-06
53 4.030973927137541e-06 3.0974192129487226e-06 1.0516657013488658e-06
54 3.909980803594666e-06 3.0199847461110768e-06 1.0454435755130417e-06
55 3.865716756723777e-06 2.948663957962004e-06 1.0768956421670939e-06
56 3.769158420034796e-06 2.8172853963123198e-06 1.057679181064589e-06
57 3.878160802619301e-06 2.984985247230044e-06 1.0582855796291771e-06
58 3.7175425120930767e-06 2.8141812663890703e-06 1.0371027499343166e-06
59 3.832787943393904e-06 2.8722294907928277e-06 1.0587356155227394e-06
60 3.666687623528892e-06 2.804955842248622e-06 1.0505635472616031e-06
61 3.6959507055891886e-06 2.789772039464402e-06 1.0753816530823546e-06
62 3.7045259225658736e-06 2.747418885844755e-06 1.076386866984742e-06
63 3.6873977426402545e-06 2.7639405797479854e-06 1.063361142782056e-06
64 3.6709163917015264e-06 2.730817838512289e-06 1.0640090421331842e-06
65 3.6504647979346176e-06 2.7000584963538755e-06 1.0627493439446708e-06
66 3.691038731724671e-06 2.775785588319348e-06 1.0585897905597297e-06
67 3.6059179008418675e-06 2.676614568467711e-06 1.0682996969401007e-06
68 3.5931623709445864e-06 2.6861248598866233e-06 1.075386471498612e-06
69 3.570664305831167e-06 2.644156862025921e-06 1.095795429113395e-06
70 3.6179427062515004e-06 2.6442262644645205e-06 1.0892982997331614e-06
71 3.742210045224012e-06 2.760709163190582e-06 1.0949656752100205e-06
72 3.6569383048236973e-06 2.6471289680881063e-06 1.1167733003581655e-06
73 3.690904377753228e-06 2.6767261993269475e-06 1.1200955046316474e-06
74 3.5748959571527826e-06 2.6422485157876633e-06 1.088482059778163e-06
75 3.5957241027393405e-06 2.653966721825388e-06 1.1023171136892427e-06
76 3.6255611147640003e-06 2.6582241044579695e-06 1.1068570654736675e-06
77 3.572866302091883e-06 2.663415159202167e-06 1.09881513619015e-06
78 3.634110291032177e-06 2.6150802364707153e-06 1.1054050414265101e-06
79 3.5618509297470152e-06 2.5489285111078955e-06 1.1333877061392477e-06
80 3.6450126522859846e-06 2.6012083135211867e-06 1.1337957308564795e-06
81 3.5792817856665083e-06 2.541585244537011e-06 1.1289702071522298e-06
82 3.6398828358712684e-06 2.6395747173179836e-06 1.1096396394802224e-06
83 3.6137543360884743e-06 2.616495985146248e-06 1.131776996866245e-06
84 3.6190402913886045e-06 2.6392126154233075e-06 1.1485096755845185e-06
85 3.654984079518628e-06 2.6074140706499464e-06 1.1302956018932342e-06
86 3.6903522186514217e-06 2.6479511622262636e-06 1.1558400937646135e-06
87 3.694972447783225e-06 2.6565352443181475e-06 1.1532221092245208e-06
88 3.597247699380706e-06 2.5625825685303e-06 1.1432980270325852e-06
89 3.5830963765306713e-06 2.5392347555421766e-06 1.140848554200957e-06
90 3.6926049780512494e-06 2.6151696128105956e-06 1.1712450692714105e-06
91 3.6894278460252663e-06 2.602755702915104e-06 1.1790341239551515e-06
92 3.682566985279799e-06 2.606761480659533e-06 1.1873851142589575e-06
93 3.671282879079961e-06 2.630516235132913e-06 1.1536474371261722e-06
94 3.6690790153040433e-06 2.5762277199054895e-06 1.2019947023705773e-06
95 3.7605838523602405e-06 2.657933986650734e-06 1.1900542907930706e-06
96 3.6514643692635826e-06 2.590509154141375e-06 1.1931713294374016e-06
