# units: uK_CMB^2
ell R_ell F_ell N_ell
2 0.0006946418624372375 0.0006805818109057442 1.2025811382374655e-05
3 0.00018282122230347332 0.00016569604835234213 1.3340861259350998e-05
4 9.71013484185378e-05 8.777024732280432e-05 1.1616724229166103e-05
5 4.6421804935722685e-05 3.638913379105705e-05 1.1566479804267835e-05
6 6.449536443369694e-05 5.502846721239306e-05 1.1392179276244087e-05
7 5.5850338158300246e-05 4.685706583062886e-05 1.0661789869946378e-05
8 2.8162890761511006e-05 1.8383371412022197e-05 1.099864013084927e-05
9 2.6113774351047004e-05 1.6743546650959598e-05 1.0760033491156097e-05
10 3.273197187851917e-05 2.2201941262709597e-05 1.118789931140254e-05
11 2.4261229256500936e-05 1.274451908967633e-05 1.1437489565857191e-05
12 2.57448727842338e-05 1.613145551417183e-05 1.0700584648786753e-05
13 2.149999133928945e-05 1.1107921832761484e-05 1.1175725679386765e-05
14 2.0301779730914138e-05 1.043437602161046e-05 1.0778013750253732e-05
15 2.1422847787857043e-05 1.0522985256611308e-05 1.1327878669752079e-05
16 1.824729954030611e-05 7.78368743441447e-06 1.0899049761742907e-05
17 1.8477255628692814e-05 7.76495741872235e-06 1.1071563851751769e-05
18 1.7245983814523878e-05 6.392844046252913e-06 1.1220028861712297e-05
19 1.50352206074089e-05 4.6730328316352546e-06 1.097120587536348e-05
20 1.6944549154629874e-05 6.501766738783664e-06 1.1039603864277266e-05
21 1.4877733347912285e-05 4.177648545486127e-06 1.0571192095231099e-05
22 1.4269670411559168e-05 2.9113641903611216e-06 1.1523540542496453e-05
23 1.503396540916731e-05 4.056045444927769e-06 1.117100947216006e-05
24 1.274708483133994e-05 1.8561978604248147e-06 1.0978817292499395e-05
25 1.3868129258990322e-05 3.0915464518936918e-06 1.0901649076588406e-05
26 1.2582800636141761e-05 2.0705282255617244e-06 1.0843442300015834e-05
27 1.400534529788107e-05 2.9899037142536572e-06 1.124779276890878e-05
28 1.3026727813975547e-05 1.7419158991631965e-06 1.1374836378588032e-05
29 1.3157681951035284e-05 2.3538607488959313e-06 1.1131607354905517e-05
30 1.3274190128553345e-05 2.2482710803943013e-06 1.1317372887847055e-05
31 1.267131517811664e-05 1.5987983252810593e-06 1.1292344139397993e-05
32 1.2943922403631254e-05 1.8996170266854317e-06 1.1251923100468968e-05
33 1.2536591887714488e-05 1.7070598890776117e-06 1.1085859888198463e-05
34 1.250047439011658e-05 1.81899905799203e-06 1.0955845291698888e-05
35 1.2761447641394435e-05 1.6724423856448288e-06 1.1183474778209561e-05
36 1.2651441648393026e-05 1.680261638867491e-06 1.101262754130768e-05
37 1.228388228976959e-05 1.679828816042229e-06 1.0935582257078165e-05
38 1.2166093339018774e-05 1.703406662058737e-06 1.0673465673137882e-05
39 1.2048835557733226e-05 2.222374360791756e-06 1.0221345268007934e-05
40 1.0589784918741424e-05 1.1542594585552972e-06 9.645625441865258e-06
41 1.0538766248593557e-05 1.7347283782989905e-06 9.10991272647159e-06
42 9.446540822072156e-06 9.111965586988517e-07 8.663090840513144e-06
43 8.973479167920342e-06 1.0975125849681171e-06 7.96361611695195e-06
44 8.776364140683673e-06 1.2540466905843832e-06 7.676930834877723e-06
45 8.120491620943242e-06 1.1059449779290552e-06 7.153590618672572e-06
46 7.683230124197436e-06 9.612763358739968e-07 6.894764513203661e-06
47 6.964627248759132e-06 8.530846034680459e-07 6.200757819856722e-06
48 6.676223449572773e-06 9.997865718755846e-07 5.707439117261248e-06
49 5.979891022078248e-06 7.687526745994164e-07 5.315758440923584e-06
50 5.847543529649847e-06 7.868297614494889e-07 5.147483305882102e-06
51 5.740434610342481e-06 1.0933435693408166e-06 4.74975743343528e-06
52 5.322790739345781e-06 9.263372211125372e-07 4.536074345290852e-06
53 4.95059924448786e-06 6.725468879573674e-07 4.3624966069897325e-06
54 5.063650867736247e-06 9.080483458186691e-07 4.2617624653821306e-06
55 4.669880389784863e-06 7.520769189463717e-07 3.9726960006683335e-06
56 4.800061221726504e-06 8.543893240183176e-07 3.989651316888701e-06
57 4.48928367617076e-06 6.957144800792198e-07 3.883384060608287e-06
58 4.6215702282140596e-06 9.083701872805393e-07 3.822735287302661e-06
59 4.6099097982927565e-06 8.061362137468324e-07 3.858251082770379e-06
60 4.503138452235702e-06 7.623260908504205e-07 3.82823674741946e-06
61 4.735724299085641e-06 9.182648706395816e-07 3.859013901260915e-06
62 4.2842440448945325e-06 4.34713935923243e-07 3.875330220251816e-06
63 4.576348106864102e-06 7.446100050155016e-07 3.885694711531199e-06
64 4.36837684576226e-06 5.261615612790981e-07 3.965122192163678e-06
65 4.346796779812652e-06 4.934879649645257e-07 3.899286005555651e-06
66 4.392583953115897e-06 6.501469146342976e-07 3.8177339599637184e-06
67 4.54256055312867e-06 6.525084538367407e-07 3.928007787778341e-06
68 4.554356241818646e-06 6.623978184423112e-07 3.972774305429263e-06
69 4.429792757765775e-06 5.412764661123732e-07 3.964228589068303e-06
70 4.350073021714399e-06 5.526045445276774e-07 3.885086083874197e-06
71 4.5432806266292345e-06 6.394315997762111e-07 3.968621084725431e-06
72 4.422314807992779e-06 4.6493306195258427e-07 3.963229341689468e-06
73 4.395752715739991e-06 5.283726763482529e-07 3.916882752010669e-06
74 4.335211321381703e-06 5.042811301185769e-07 3.866865852906359e-06
75 4.2510618694739746e-06 5.442645155436004e-07 3.790021173569877e-06
76 4.136108172866659e-06 4.0586220219844754e-07 3.7837635917070665e-06
77 4.146147206899181e-06 4.2165292219612797e-07 3.7753693669438072e-06
78 4.177090131328908e-06 5.496888684879653e-07 3.712256267772295e-06
79 4.2012205983096465e-06 5.41558965916744e-07 3.7075529722724748e-06
80 4.051696924637416e-06 4.925275101765206e-07 3.624489919345377e-06
81 3.9798889871573675e-06 4.4688018399713964e-07 3.5586826183320053e-06
82 3.859472737301769e-06 4.518535218115238e-07 3.4522441705571847e-06
