# ell  TT    EE    TE
5.010000000000000000e+02 6.073169269605545317e-02 2.043918307597858083e-04 -1.428982104272370117e-03
5.020000000000000000e+02 6.067726942942652107e-02 2.010024841477839677e-04 -1.399739018227122824e-03
5.030000000000000000e+02 6.061807298202567806e-02 1.977322093260660261e-04 -1.370223957567421463e-03
5.040000000000000000e+02 6.055400378793762001e-02 1.945824944907157371e-04 -1.340456668083078945e-03
5.050000000000000000e+02 6.048498529169708121e-02 1.915544936453591302e-04 -1.310456366663582733e-03
5.060000000000000000e+02 6.041102733357039262e-02 1.886480240207744107e-04 -1.280240154598033140e-03
5.070000000000000000e+02 6.033217899007524421e-02 1.858625686545439348e-04 -1.249824604275782914e-03
5.080000000000000000e+02 6.024847300053872562e-02 1.831976105851576173e-04 -1.219226288085581769e-03
5.090000000000000000e+02 6.015994760161731680e-02 1.806526328516392071e-04 -1.188461778416600957e-03
5.100000000000000000e+02 6.006663566712081709e-02 1.782271184937370525e-04 -1.157547647657816790e-03
5.110000000000000000e+02 5.996858606520199392e-02 1.759205505517709303e-04 -1.126500468198125132e-03
5.120000000000000000e+02 5.986583168829701096e-02 1.737324120666248366e-04 -1.095336812426809777e-03
5.130000000000000000e+02 5.975840546261557140e-02 1.716621860798811831e-04 -1.064073252732579671e-03
5.140000000000000000e+02 5.964635615183120493e-02 1.697093556336877387e-04 -1.032726361504573758e-03
5.150000000000000000e+02 5.952971147171473576e-02 1.678734037707676314e-04 -1.001312711131931415e-03
5.160000000000000000e+02 5.940852006632275917e-02 1.661538135344817712e-04 -9.698488740035522996e-04
5.170000000000000000e+02 5.928280974951164600e-02 1.645500679687331418e-04 -9.383514225083821507e-04
5.180000000000000000e+02 5.915262909980106149e-02 1.630616501180462733e-04 -9.068369290356935930e-04
5.190000000000000000e+02 5.901800600738553448e-02 1.616880430274724551e-04 -8.753219659741488454e-04
5.200000000000000000e+02 5.887898384622134579e-02 1.604287297426689103e-04 -8.438231057131227730e-04
5.210000000000000000e+02 5.873560083164734713e-02 1.592831933098562945e-04 -8.123569206414245044e-04
5.220000000000000000e+02 5.858790020521771613e-02 1.582509167757768461e-04 -7.809399831480954039e-04
5.230000000000000000e+02 5.843591008427289485e-02 1.573313831877557248e-04 -7.495888656221708730e-04
5.240000000000000000e+02 5.827967373474859242e-02 1.565240755936422477e-04 -7.183201404526154063e-04
5.250000000000000000e+02 5.811922936142382978e-02 1.558284770418365609e-04 -6.871503800285964610e-04
5.260000000000000000e+02 5.795461517979553362e-02 1.552440705812823752e-04 -6.560961567390809169e-04
5.270000000000000000e+02 5.778586942680630223e-02 1.547703392614260918e-04 -6.251740429729414367e-04
5.280000000000000000e+02 5.761303026457717524e-02 1.544067661322600889e-04 -5.944006111193965436e-04
5.290000000000000000e+02 5.743613593008443235e-02 1.541528342442823626e-04 -5.637924335672739058e-04
5.300000000000000000e+02 5.725522463898478909e-02 1.540080266485227372e-04 -5.333660827057838064e-04
5.310000000000000000e+02 5.707033459625820287e-02 1.539718263964861070e-04 -5.031381309237884999e-04
5.320000000000000000e+02 5.688150400694804570e-02 1.540437165401955610e-04 -4.731251506104032392e-04
5.330000000000000000e+02 5.668877108681547039e-02 1.542231801322018695e-04 -4.433437141546021139e-04
5.340000000000000000e+02 5.649217404094080547e-02 1.545097002254946334e-04 -4.138103939454840599e-04
5.350000000000000000e+02 5.629174632941966183e-02 1.549027598735939538e-04 -3.845417623718829793e-04
5.360000000000000000e+02 5.608753569279875673e-02 1.554018421304786577e-04 -3.555543918229600955e-04
5.370000000000000000e+02 5.587957558854278473e-02 1.560064300506285007e-04 -3.268648546878122297e-04
