# ell  TT    EE    TE
5.010000000000000000e+02 6.071838392508118604e-02 2.147594842957393840e-04 -1.428982104272370117e-03
5.020000000000000000e+02 6.066387678508251141e-02 2.113483264565603351e-04 -1.399739018227122824e-03
5.030000000000000000e+02 6.060459681103579077e-02 2.080562286330387724e-04 -1.370223957567421463e-03
5.040000000000000000e+02 6.054044448557380914e-02 2.048847790988574623e-04 -1.340456668083078945e-03
5.050000000000000000e+02 6.047134224754475984e-02 2.018352319345775088e-04 -1.310456366663582733e-03
5.060000000000000000e+02 6.039730536076624856e-02 1.989072044472553339e-04 -1.280240154598033140e-03
5.070000000000000000e+02 6.031837304525076299e-02 1.961003797501014779e-04 -1.249824604275782914e-03
5.080000000000000000e+02 6.023458352102164376e-02 1.934141409565909243e-04 -1.219226288085581769e-03
5.090000000000000000e+02 6.014597400813492811e-02 1.908479711800960168e-04 -1.188461778416600957e-03
5.100000000000000000e+02 6.005258372659303540e-02 1.884013535340837769e-04 -1.157547647657816790e-03
5.110000000000000000e+02 5.995444989642140232e-02 1.860737711319694013e-04 -1.126500468198125132e-03
5.120000000000000000e+02 5.985161173767184623e-02 1.838647070871155301e-04 -1.095336812426809777e-03
5.130000000000000000e+02 5.974410747037296743e-02 1.817736445129727592e-04 -1.064073252732579671e-03
5.140000000000000000e+02 5.963197431451699310e-02 1.798000665229528971e-04 -1.032726361504573758e-03
5.150000000000000000e+02 5.951525049018731306e-02 1.779435562304451809e-04 -1.001312711131931415e-03
5.160000000000000000e+02 5.939397521736815289e-02 1.762033967488850679e-04 -9.698488740035522996e-04
5.170000000000000000e+02 5.926818671610736139e-02 1.745791711916642617e-04 -9.383514225083821507e-04
5.180000000000000000e+02 5.913778320643222480e-02 1.730704626722164518e-04 -9.068369290356935930e-04
5.190000000000000000e+02 5.900280590837098799e-02 1.716765543039284417e-04 -8.753219659741488454e-04
5.200000000000000000e+02 5.886343204195682716e-02 1.703971292002250918e-04 -8.438231057131227730e-04
5.210000000000000000e+02 5.871969982721429726e-02 1.692314704745325621e-04 -8.123569206414245044e-04
5.220000000000000000e+02 5.857164858418056896e-02 1.681791612402424208e-04 -7.809399831480954039e-04
5.230000000000000000e+02 5.841931533285781714e-02 1.672397846107783555e-04 -7.495888656221708730e-04
5.240000000000000000e+02 5.826273869330262506e-02 1.664126236995431890e-04 -7.183201404526154063e-04
5.250000000000000000e+02 5.810195668554413162e-02 1.656973616199510207e-04 -6.871503800285964610e-04
5.260000000000000000e+02 5.793700772958842310e-02 1.650932814854254088e-04 -6.560961567390809169e-04
5.270000000000000000e+02 5.776792994548974464e-02 1.645999664093638032e-04 -6.251740429729414367e-04
5.280000000000000000e+02 5.759476135326992152e-02 1.642169995051863136e-04 -5.944006111193965436e-04
5.290000000000000000e+02 5.741754037293920337e-02 1.639436638863004791e-04 -5.637924335672739058e-04
5.300000000000000000e+02 5.723630512455003122e-02 1.637795426661326436e-04 -5.333660827057838064e-04
5.310000000000000000e+02 5.705109372811741075e-02 1.637241189580765095e-04 -5.031381309237884999e-04
5.320000000000000000e+02 5.686194440367253744e-02 1.637768758755412291e-04 -4.731251506104032392e-04
5.330000000000000000e+02 5.666889547126637700e-02 1.639372965319658515e-04 -4.433437141546021139e-04
5.340000000000000000e+02 5.647198495089101461e-02 1.642048640407354327e-04 -4.138103939454840599e-04
5.350000000000000000e+02 5.627125116259863030e-02 1.645790615152778003e-04 -3.845417623718829793e-04
5.360000000000000000e+02 5.606673222640651960e-02 1.650593720689963332e-04 -3.555543918229600955e-04
5.370000000000000000e+02 5.585846636234990253e-02 1.656452788153170701e-04 -3.268648546878122297e-04
5.380000000000000000e+02 5.564649169046916033e-02 1.663362648676223565e-04 -2.984897233552508957e-04
5.390000000000000000e+02 5.543084663078118313e-02 1.671317133393620223e-04 -2.704455702143876059e-04
5.400000000000000000e+02 5.521156910329941964e-02 1.680313073439227637e-04 -2.427489676542481393e-04
5.410000000000000000e+02 5.498869742808523697e-02 1.690343299947231245e-04 -2.154164880638720174e-04
