# ell  TT    EE    TE     PP     TP
2.000000000000000000e+00 1.448128859557886315e-10 4.894175174934706242e-15 3.898178099238230744e-13 8.542623218019098773e-09 4.724860979080455346e-10
3.000000000000000000e+00 6.847864238482243502e-11 3.346415535297344225e-15 2.245415394185967102e-13 2.664734017735094985e-09 1.681055784514771897e-10
4.000000000000000000e+00 3.883348754409332474e-11 1.861418362448813657e-15 1.287139491833237301e-13 1.114962030180175850e-09 7.646395536850099038e-11
5.000000000000000000e+00 2.475008716396311770e-11 8.904798027908923228e-16 7.455366385406911804e-14 5.553857143412502358e-10 4.028335995454953022e-11
6.000000000000000000e+00 1.711155599659828714e-11 3.779158894283999039e-16 4.365006235294393928e-14 3.098559728794298165e-10 2.341782653854854938e-11
7.000000000000000000e+00 1.255863644574236190e-11 1.540505841943948335e-16 2.600254157968197822e-14 1.873551832011907503e-10 1.462040931088155843e-11
8.000000000000000000e+00 9.637289621592841653e-12 7.205880977369901481e-17 1.597255273974485229e-14 1.203951350363415940e-10 9.634902585319624557e-12
9.000000000000000000e+00 7.657430087104810491e-12 4.411717914524654663e-17 1.034150156954421296e-14 8.114259171823408231e-11 6.622947489569218485e-12
1.000000000000000000e+01 6.254042314440548348e-12 3.144140458696249916e-17 7.233162499285291745e-15 5.679604522049012182e-11 4.712480624444293448e-12
1.100000000000000000e+01 5.222187054681271055e-12 2.259682111601128715e-17 5.541868504687860888e-15 3.981042760601917104e-11 3.464070184368309456e-12
1.200000000000000000e+01 4.442696713088519783e-12 1.626248992724101043e-17 4.617545284262360151e-15 2.943753421266670929e-11 2.597968126142913406e-12
1.300000000000000000e+01 3.836519287013574873e-12 1.256338608280631747e-17 4.085198924199226896e-15 2.224275166705609189e-11 1.988856034846429035e-12
1.400000000000000000e+01 3.354500488147542038e-12 1.081877720089227515e-17 3.741222686998370044e-15 1.712105682198837750e-11 1.544814637753234003e-12
1.500000000000000000e+01 2.965908126378645488e-12 1.002635020830167929e-17 3.484589256079733863e-15 1.339286643818486114e-11 1.219937253995477620e-12
1.600000000000000000e+01 2.648360056538879569e-12 9.566743167855240036e-18 3.266147134281926892e-15 1.062575791260540874e-11 9.778392392000388874e-13
1.700000000000000000e+01 2.383169469580815813e-12 9.313661520336967701e-18 3.068495071128404946e-15 8.536504456016269146e-12 7.932801508242236985e-13
1.800000000000000000e+01 2.160331906703822500e-12 9.363440418840865390e-18 2.889193166711943080e-15 6.932207495107770498e-12 6.486955302832581023e-13
1.900000000000000000e+01 1.971552963590444281e-12 9.719993648476378168e-18 2.730309853999798538e-15 5.690354397592677021e-12 5.349508833131145255e-13
2.000000000000000000e+01 1.809185817386481111e-12 1.033938791485968649e-17 2.593553570505116963e-15 4.711181416194307899e-12 4.452028139890926886e-13
2.100000000000000000e+01 1.668655871737112082e-12 1.111981285316966614e-17 2.476895342612367444e-15 3.932946928571342157e-12 3.740281204578253423e-13
2.200000000000000000e+01 1.546289065495332203e-12 1.196336223864235602e-17 2.376972747369240335e-15 3.307214571637791333e-12 3.167227383764517817e-13
2.300000000000000000e+01 1.438941251838348772e-12 1.284562347714864450e-17 2.288826975612011614e-15 2.800746894375469086e-12 2.700389593738462017e-13
2.400000000000000000e+01 1.343862148797175507e-12 1.375823634347116813e-17 2.207328590207993210e-15 2.386270853886576947e-12 2.313679555992282084e-13
2.500000000000000000e+01 1.259347019496560367e-12 1.468355645751905280e-17 2.128262028394022005e-15 2.045172127680709676e-12 1.992000653075381752e-13
2.600000000000000000e+01 1.183980104004586754e-12 1.560506981208514128e-17 2.048162526476387178e-15 1.762054900893471536e-12 1.723629976995115343e-13
2.700000000000000000e+01 1.116456005100338691e-12 1.652006804648255248e-17 1.965654642692418414e-15 1.525738668765825442e-12 1.499347796508738125e-13
2.800000000000000000e+01 1.055586543067743382e-12 1.743071989051302764e-17 1.880246697703187236e-15 1.326861353514797086e-12 1.310970603347606007e-13
2.900000000000000000e+01 1.000542045508934408e-12 1.834489678940739531e-17 1.792892739960438360e-15 1.159119275168062459e-12 1.151956604389708295e-13
3.000000000000000000e+01 9.505824668556166348e-13 1.927189586725439604e-17 1.704908249860437932e-15 1.016973353208758776e-12 1.016174435299340242e-13
3.100000000000000000e+01 9.050162814091961079e-13 2.021878557179032595e-17 1.617505196360629267e-15 8.953514177124081745e-13 8.982558549150573225e-14
3.200000000000000000e+01 8.633460429473687287e-13 2.118371964520931662e-17 1.531481502660222102e-15 7.910489411322468428e-13 7.958851147673541720e-14
3.300000000000000000e+01 8.251228251180690637e-13 2.216262315336319948e-17 1.447531580520613278e-15 7.013283065149438026e-13 7.075095895626552536e-14
3.400000000000000000e+01 7.899277745272791799e-13 2.315159714256716988e-17 1.366106641658307738e-15 6.236472950405717215e-13 6.315065960942029511e-14
3.500000000000000000e+01 7.574623296139849970e-13 2.414744658111876515e-17 1.286685097622916662e-15 5.562452804240920460e-13 5.659732195162828234e-14
3.600000000000000000e+01 7.274580017769197345e-13 2.514715241778616813e-17 1.208502159921027155e-15 4.975570345159822492e-13 5.089364870713965269e-14
3.700000000000000000e+01 6.996585236974723807e-13 2.614816151789677677e-17 1.130905844528568271e-15 4.461417890231431646e-13 4.586394002112792627e-14
3.800000000000000000e+01 6.738565131920062794e-13 2.714978441302707373e-17 1.053695385305442590e-15 4.010566150872328138e-13 4.141888572255676801e-14
3.900000000000000000e+01 6.498568093601953609e-13 2.815179755129086899e-17 9.767828205816939553e-16 3.614830437084039634e-13 3.749077306117076054e-14
4.000000000000000000e+01 6.274642513016307565e-13 2.915397738081321378e-17 9.000801886864639493e-16 3.266026058866906344e-13 3.401188928678797680e-14
4.100000000000000000e+01 6.065003941616048665e-13 3.015580640039635915e-17 8.235829633262255216e-16 2.956650605170913280e-13 3.091892562626677738e-14
4.200000000000000000e+01 5.868536572707099362e-13 3.115559131153446870e-17 7.476203597141706893e-16 2.681930780745047242e-13 2.816618921461466392e-14
4.300000000000000000e+01 5.684291760045291261e-13 3.215134486640567893e-17 6.726050284386215191e-16 2.437775569288007990e-13 2.571239116389723821e-14
4.400000000000000000e+01 5.511320857397041093e-13 3.314107981718525441e-17 5.989496200891563390e-16 2.220093954497858894e-13 2.351624258617494287e-14
4.500000000000000000e+01 5.348708164115003185e-13 3.412319631904092565e-17 5.269588447118416331e-16 2.025124519812336430e-13 2.154011117091756145e-14
4.600000000000000000e+01 5.195669761916778172e-13 3.509764413928531554e-17 4.565056501806147243e-16 1.850424247627462316e-13 1.976099091726912516e-14
4.700000000000000000e+01 5.051454678115019330e-13 3.606476044816718946e-17 3.873550438256333233e-16 1.693879720077546009e-13 1.815953240179527134e-14
4.800000000000000000e+01 4.915311940016639552e-13 3.702488241600292068e-17 3.192720329777859708e-16 1.553377519297974109e-13 1.671638620105490045e-14
4.900000000000000000e+01 4.786490574935000954e-13 3.797834721304441770e-17 2.520216249677252394e-16 1.426804227423464009e-13 1.541220289160592214e-14
5.000000000000000000e+01 4.664306687006871765e-13 3.892517553336599552e-17 1.854250966850704050e-16 1.312228522300105967e-13 1.422912529466836307e-14
5.100000000000000000e+01 4.548344687678928763e-13 3.986412216601084292e-17 1.195288032557978074e-16 1.208447464619652354e-13 1.315526521008762643e-14
5.200000000000000000e+01 4.438256065219698326e-13 4.079362542382569646e-17 5.443536936492875317e-17 1.114440210784820342e-13 1.218022668236298721e-14
5.300000000000000000e+01 4.333692307901569595e-13 4.171212361964011031e-17 -9.752580302525083901e-18 1.029185917198700836e-13 1.129361375599773415e-14
5.400000000000000000e+01 4.234304903998594255e-13 4.261805506627929375e-17 -7.293242106151347447e-17 9.516637402640392819e-14 1.048503047549445073e-14
5.500000000000000000e+01 4.139757737719867706e-13 4.351011969192739593e-17 -1.350277520317207109e-16 8.809347878235862000e-14 9.744953437361838593e-15
5.600000000000000000e+01 4.049764277014664264e-13 4.438806388627460196e-17 -1.960670675515289706e-16 8.163879734802085854e-14 9.067349446135252303e-15
5.700000000000000000e+01 3.964050385771058202e-13 4.525189565436532827e-17 -2.561050857641151588e-16 7.574941622761520885e-14 8.447057858360916676e-15
5.800000000000000000e+01 3.882341927879705201e-13 4.610162300124701736e-17 -3.151965248122557969e-16 7.037242192544209285e-14 7.878918030583141170e-15
5.900000000000000000e+01 3.804364767228704271e-13 4.693725393198571771e-17 -3.733961028395484871e-16 6.545490094573763712e-14 7.357769319345159235e-15
6.000000000000000000e+01 3.729844767704594879e-13 4.775879645159308342e-17 -4.307585379887361996e-16 6.094393979276658181e-14 6.878451081193295082e-15
6.100000000000000000e+01 3.658528462086779747e-13 4.856610909619557485e-17 -4.873209560668115330e-16 5.679134959946314566e-14 6.436245489214131673e-15
6.200000000000000000e+01 3.590245058719122161e-13 4.935845252602008140e-17 -5.430501135360228580e-16 5.296784001356400066e-14 6.028205982684205061e-15
6.300000000000000000e+01 3.524844434835498665e-13 5.013493793238315998e-17 -5.978951745229319240e-16 4.944884531144506825e-14 5.651828817416714426e-15
6.400000000000000000e+01 3.462176467668110138e-13 5.089467650655843624e-17 -6.518053031534606151e-16 4.620979976954980265e-14 5.304610249229874524e-15
6.500000000000000000e+01 3.402091034451558118e-13 5.163677943983571359e-17 -7.047296635540280939e-16 4.322613766425724918e-14 4.984046533942162803e-15
6.600000000000000000e+01 3.344438012420510284e-13 5.236035792352712395e-17 -7.566174198506429209e-16 4.047329327197225205e-14 4.687633927371219731e-15
6.700000000000000000e+01 3.289067278809144084e-13 5.306452314888938173e-17 -8.074177361696685454e-16 3.792670086910354932e-14 4.412868685331567406e-15
6.800000000000000000e+01 3.235839178603933640e-13 5.374851623160078736e-17 -8.570928050536570149e-16 3.556400792047490670e-14 4.157462887219460736e-15
6.900000000000000000e+01 3.184655927815853015e-13 5.441209798461848320e-17 -9.056569327112466639e-16 3.337171464462918216e-14 3.919991906739957046e-15
7.000000000000000000e+01 3.135430210207885169e-13 5.505515914530410152e-17 -9.531374537673622443e-16 3.133853444848727326e-14 3.699246941172840596e-15
7.100000000000000000e+01 3.088074709543982922e-13 5.567759045097204770e-17 -9.995617028468671737e-16 2.945318073902945038e-14 3.494019187801127607e-15
7.200000000000000000e+01 3.042502109587986504e-13 5.627928263896012178e-17 -1.044957014574791812e-15 2.770436692316952394e-14 3.303099843905320598e-15
7.300000000000000000e+01 2.998625094103895687e-13 5.686012644663112700e-17 -1.089350723575949387e-15 2.608080640787019165e-14 3.125280106767879644e-15
7.400000000000000000e+01 2.956356346856081321e-13 5.742001261128316767e-17 -1.132770164475174029e-15 2.457121260009302473e-14 2.959351173670200253e-15
7.500000000000000000e+01 2.915608551608371017e-13 5.795883187027258822e-17 -1.175242671897965471e-15 2.316429890676712804e-14 2.804104241894466399e-15
7.600000000000000000e+01 2.876299193769556593e-13 5.847644279277695158e-17 -1.216787312936090087e-15 2.184978416524403241e-14 2.658446109417275104e-15
7.700000000000000000e+01 2.838364965324831356e-13 5.897257527530120687e-17 -1.257390084548621571e-15 2.062140893449689385e-14 2.521745977007661989e-15
