# ell  TT    EE    TE     PP     TP
2.000000000000000000e+00 1.448128877765886102e+02 4.907484174934706629e-03 3.898178099238230332e-01 8.112262321801909422e-08 4.724860979080455379e-04
3.000000000000000000e+00 6.847864420572243205e+01 3.362354535297344335e-03 2.245415394185967251e-01 3.423223401773509666e-08 1.681055784514771923e-04
4.000000000000000000e+00 3.883348936519332995e+01 1.873080362448813858e-03 1.287139491833237392e-01 1.904196203018017485e-08 7.646395536850098776e-05
5.000000000000000000e+00 2.475008898536312074e+01 9.029458027908925143e-04 7.455366385406911323e-02 1.225871904767458327e-08 4.028335995454953189e-05
6.000000000000000000e+00 1.711155781829828726e+01 3.883588894283999601e-04 4.365006235294393439e-02 8.531998830022284933e-09 2.341782653854855123e-05
7.000000000000000000e+00 1.255863826774236180e+01 1.639488841943948080e-04 2.600254157968198004e-02 6.317533754629762310e-09 1.462040931088156047e-05
8.000000000000000000e+00 9.637291443992841877e+00 8.119970977369902251e-05 1.597255273974485315e-02 4.850950690591897418e-09 9.634902585319624730e-06
9.000000000000000000e+00 7.657431910004810938e+00 5.261427914524655818e-05 1.034150156954421161e-02 3.858253702829345157e-09 6.622947489569218363e-06
1.000000000000000000e+01 6.254044137840549134e+00 3.987170458696249635e-05 7.233162499285290641e-03 3.132796045220490201e-09 4.712480624444292712e-06
1.100000000000000000e+01 5.222188878681271795e+00 3.030362111601128227e-05 5.541868504687861088e-03 2.584810427606019307e-09 3.464070184368309673e-06
1.200000000000000000e+01 4.442698537688520410e+00 2.361228992724101185e-05 4.617545284262359988e-03 2.167065739340871975e-09 2.597968126142913669e-06
1.300000000000000000e+01 3.836521112213574725e+00 1.941468608280631769e-05 4.085198924199226651e-03 1.843011982436286950e-09 1.988856034846429115e-06
1.400000000000000000e+01 3.354502314047542288e+00 1.749067720089227677e-05 3.741222686998370729e-03 1.588406771107702769e-09 1.544814637753234067e-06
1.500000000000000000e+01 2.965909953078645689e+00 1.642285020830167982e-05 3.484589256079733549e-03 1.385684533104851621e-09 1.219937253995477686e-06
1.600000000000000000e+01 2.648361884038879843e+00 1.589754316785524095e-05 3.266147134281926784e-03 1.222169875559664292e-09 9.778392392000390252e-07
1.700000000000000000e+01 2.383171297880815498e+00 1.518226152033696798e-05 3.068495071128404458e-03 1.088373105763205754e-09 7.932801508242237083e-07
1.800000000000000000e+01 2.160333735903822383e+00 1.499134041884086466e-05 2.889193166711942831e-03 9.771953653898444608e-10 6.486955302832581042e-07
1.900000000000000000e+01 1.971554793790444071e+00 1.481649364847637660e-05 2.730309853999798170e-03 8.832166701870663058e-10 5.349508833131146057e-07
2.000000000000000000e+01 1.809187648586481290e+00 1.541748791485968696e-05 2.593553570505116850e-03 8.022588004638133099e-10 4.452028139890926838e-07
2.100000000000000000e+01 1.668657703937111991e+00 1.596321285316966985e-05 2.476895342612367087e-03 7.312489642445887555e-10 3.740281204578253622e-07
2.200000000000000000e+01 1.546290898795332325e+00 1.665956223864235606e-05 2.376972747369240479e-03 6.685641315676852167e-10 3.167227383764518017e-07
2.300000000000000000e+01 1.438943086338348776e+00 1.723032347714864449e-05 2.288826975612011632e-03 6.130724860248103353e-10 2.700389593738462337e-07
2.400000000000000000e+01 1.343863984497175368e+00 1.816313634347116633e-05 2.207328590207992876e-03 5.637529375205533163e-10 2.313679555992282239e-07
2.500000000000000000e+01 1.259348856496560254e+00 1.884085645751905355e-05 2.128262028394022065e-03 5.198451721276807025e-10 1.992000653075381627e-07
2.600000000000000000e+01 1.183981942304586976e+00 1.966506981208513799e-05 2.048162526476387298e-03 4.806366987755373496e-10 1.723629976995115272e-07
2.700000000000000000e+01 1.116457844700338820e+00 2.049216804648255170e-05 1.965654642692418654e-03 4.455469026899298524e-10 1.499347796508738194e-07
