# ell  TT    EE    TE     PP     TP
2.000000000000000000e+00 1.075720839413703743e+03 3.636895638427001948e-02 2.895703225802083391e+00 5.072893289032089490e-07 3.154357017356247510e-03
3.000000000000000000e+00 5.086833420998563611e+02 2.487428567822991266e-02 1.667973200475517670e+00 2.303212603972127440e-07 1.587153513282656830e-03
4.000000000000000000e+00 2.884687487276375464e+02 1.383892955805123524e-02 9.561322965944302199e-01 1.349379036054119609e-07 9.320043596790386718e-04
5.000000000000000000e+00 1.838523179933472136e+02 6.627261865681676259e-03 5.538107275287903475e-01 9.019578347526259263e-08 6.013571801180884763e-04
6.000000000000000000e+00 1.271106330869198899e+02 2.817734591714427146e-03 3.242479515920067001e-01 6.467519805446763843e-08 4.136351300635675884e-04
7.000000000000000000e+00 9.328995200338938787e+01 1.154239995613078789e-03 1.931559862440660191e-01 4.900893818965382587e-08 2.981945701641615419e-04
8.000000000000000000e+00 7.158916459228159113e+01 5.444189775971595459e-04 1.186497161374218540e-01 3.839140688408003078e-08 2.228228694304725378e-04
9.000000000000000000e+00 5.688207452480254744e+01 3.362149587328869607e-04 7.682029576949914174e-02 3.103512229155916174e-08 1.712453363300783077e-04
1.000000000000000000e+01 4.645721861338502379e+01 2.419880656239139919e-04 5.373046445985651953e-02 2.557464297913832403e-08 1.347076024460001735e-04
1.100000000000000000e+01 3.879223633718838471e+01 1.755639017863277400e-04 4.116694029226520418e-02 2.124568305076657426e-08 1.084725461824762955e-04
1.200000000000000000e+01 3.300190906394528412e+01 1.281532711166432324e-04 3.430074366673662584e-02 1.802336946785021497e-08 8.843869063052372647e-05
1.300000000000000000e+01 2.849901083001710944e+01 1.001765321490608306e-04 3.034628844987505639e-02 1.548841128193811746e-08 7.312825794417900506e-05
1.400000000000000000e+01 2.491840636565591538e+01 8.703756632494242683e-05 2.779111248227001535e-02 1.346810124599874068e-08 6.101438099894486580e-05
1.500000000000000000e+01 2.203180619876184565e+01 8.087574107642532409e-05 2.588474947154720610e-02 1.183665078232935242e-08 5.150973327608945684e-05
1.600000000000000000e+01 1.967294791558060041e+01 7.739591900262326855e-05 2.426208488147993392e-02 1.050256235122852709e-08 4.395396917117576498e-05
1.700000000000000000e+01 1.770301935345301914e+01 7.505373988301049151e-05 2.279385612874045355e-02 9.396983831029053060e-09 3.782104177608481172e-05
1.800000000000000000e+01 1.604770388844631768e+01 7.518281497615665501e-05 2.146193878224295429e-02 8.467158181108733153e-09 3.269641559289259217e-05
1.900000000000000000e+01 1.464538778017531762e+01 7.730001724865791430e-05 2.028169788653686606e-02 7.675995125117073417e-09 2.842182058728041848e-05
2.000000000000000000e+01 1.343926775007932228e+01 8.188269480219493104e-05 1.926582431385007871e-02 6.989835676577671857e-09 2.486730564249612906e-05
2.100000000000000000e+01 1.239536209418234414e+01 8.744526458779610409e-05 1.839924613751841437e-02 6.386882794676333651e-09 2.191146568454394318e-05
2.200000000000000000e+01 1.148637859954451912e+01 9.356424487625950210e-05 1.765698610216348205e-02 5.853383059617878010e-09 1.941782972517347317e-05
2.300000000000000000e+01 1.068896144232871137e+01 9.980649036788301755e-05 1.700220843649423441e-02 5.380462710386540801e-09 1.729187752879636364e-05
2.400000000000000000e+01 9.982680564683034774e+00 1.066058983815831418e-04 1.639680988490369376e-02 4.958933304272326833e-09 1.544631974500613143e-05
2.500000000000000000e+01 9.354872584114028555e+00 1.132319002821007546e-04 1.580947577068624044e-02 4.582795235050050947e-09 1.384179271157756604e-05
2.600000000000000000e+01 8.795020739877497107e+00 1.199799242398701002e-04 1.521446861559150321e-02 4.245820666801236336e-09 1.244683066238081293e-05
2.700000000000000000e+01 8.293428084201101669e+00 1.266889516031056582e-04 1.460157115645788900e-02 3.943325687441518682e-09 1.123594151230746035e-05
2.800000000000000000e+01 7.841268402193906972e+00 1.333575924563724176e-04 1.396713102694514472e-02 3.670850319982968531e-09 1.018162633339479589e-05
2.900000000000000000e+01 7.432378596391803427e+00 1.399574186518186313e-04 1.331823523310830641e-02 3.425293497037189744e-09 9.260659830527977117e-06
3.000000000000000000e+01 7.061261349412535360e+00 1.468464924834931239e-04 1.266465562407784531e-02 3.203678261128680447e-09 8.446094289950262807e-06
3.100000000000000000e+01 6.722779765860072310e+00 1.538835208569050547e-04 1.201539512976178108e-02 3.002683145633645232e-09 7.710846879916321352e-06
3.200000000000000000e+01 6.413238641164597631e+00 1.610545891224205448e-04 1.137638100315643656e-02 2.820144040518386179e-09 7.049016509720022304e-06
3.300000000000000000e+01 6.129303193146514950e+00 1.683296272419413232e-04 1.075277157804319268e-02 2.654093993575444019e-09 6.459143682793959957e-06
3.400000000000000000e+01 5.867862031991657901e+00 1.756794724218881045e-04 1.014791861308915119e-02 2.502382564886121164e-09 5.937417089895914107e-06
3.500000000000000000e+01 5.626697337953627809e+00 1.830805908477151978e-04 9.557947566598466727e-03 2.363519565334211313e-09 5.475544852887721861e-06
3.600000000000000000e+01 5.403814683664082352e+00 1.905104559494499525e-04 8.977177321774901242e-03 2.236089534056879246e-09 5.062463284898432208e-06
3.700000000000000000e+01 5.197310425522749355e+00 1.979500021485088967e-04 8.400764712930251094e-03 2.118660442539400741e-09 4.687164627368828957e-06
3.800000000000000000e+01 5.005644056333968805e+00 2.053943078319557731e-04 7.827218378857530787e-03 2.010202430774273950e-09 4.345789629666608507e-06
3.900000000000000000e+01 4.827365852375009148e+00 2.128416123780809061e-04 7.255884909463732393e-03 1.909924892932767647e-09 4.035830157268066858e-06
4.000000000000000000e+01 4.661026090122532217e+00 2.202902551652581923e-04 6.686110894649140678e-03 1.816861706841365995e-09 3.754039751996091967e-06
4.100000000000000000e+01 4.505299218795456362e+00 2.277363920133359122e-04 6.117862711520107542e-03 1.730050818203091743e-09 3.496931736364371403e-06
4.200000000000000000e+01 4.359356378100292417e+00 2.351674445079349023e-04 5.553585885987850565e-03 1.649007370891502534e-09 3.262369526981947598e-06
4.300000000000000000e+01 4.222492880280537264e+00 2.425686506762008798e-04 4.996345731153290816e-03 1.573337653390210642e-09 3.048240428658784535e-06
4.400000000000000000e+01 4.094004037687552611e+00 2.499252485452580679e-04 4.449207560126689116e-03 1.502611050491631456e-09 2.851981559345730569e-06
4.500000000000000000e+01 3.973209635908072190e+00 2.572253539073467111e-04 3.914434865854919503e-03 1.436287603006823313e-09 2.671033281922671983e-06
4.600000000000000000e+01 3.859527352985193893e+00 2.644686936164711332e-04 3.391083860645581743e-03 1.374129816420027774e-09 2.504279219327104220e-06
4.700000000000000000e+01 3.752399340003937489e+00 2.716575722913328311e-04 2.877408936640904295e-03 1.315899698332694725e-09 2.350825513687031934e-06
4.800000000000000000e+01 3.651267748245059064e+00 2.787946945511359117e-04 2.371664485988544870e-03 1.261269297500115756e-09 2.209567336545768398e-06
4.900000000000000000e+01 3.555574728894105530e+00 2.858823650146052908e-04 1.872104900834408239e-03 1.209927446678996598e-09 2.079188891203195130e-06
5.000000000000000000e+01 3.464812259950416973e+00 2.929209374045731889e-04 1.377402563316816814e-03 1.161534739496122766e-09 1.958368793908739240e-06
5.100000000000000000e+01 3.378671627980593950e+00 2.999010618579172130e-04 8.879018155474063768e-04 1.115923945985334759e-09 1.846428751537983255e-06
5.200000000000000000e+01 3.296893946063876424e+00 3.068111376154819851e-04 4.043649896308108859e-04 1.072908630956067002e-09 1.742774367932567122e-06
5.300000000000000000e+01 3.219220327482370081e+00 3.136395639179845166e-04 -7.244558232840729833e-05 1.032355275813883771e-09 1.646697900423182584e-06
5.400000000000000000e+01 3.145391885619418293e+00 3.203747400061095641e-04 -5.417675682253988816e-04 9.940191784652237729e-10 1.557378260728514007e-06
5.500000000000000000e+01 3.075158941893081366e+00 3.270071084910587287e-04 -1.003033435561770425e-03 9.577251095544421542e-10 1.474012997198713103e-06
5.600000000000000000e+01 3.008308650160295361e+00 3.335345854666238799e-04 -1.456454850263167204e-03 9.233568597211503598e-10 1.396233265738418695e-06
5.700000000000000000e+01 2.944637372615503512e+00 3.399574303970785976e-04 -1.902438277862136297e-03 8.907955244952863249e-10 1.323741181331404939e-06
5.800000000000000000e+01 2.883941471355068842e+00 3.462755027467189850e-04 -2.341390183888251899e-03 8.599523838723919263e-10 1.256182593468364749e-06
5.900000000000000000e+01 2.826017308273453654e+00 3.524890619799796263e-04 -2.773717033877185541e-03 8.306718504102906385e-10 1.193147086496439424e-06
6.000000000000000000e+01 2.770661245763962111e+00 3.585980675608905956e-04 -3.199825293358263354e-03 8.028417523720616197e-10 1.134167979934659431e-06
6.100000000000000000e+01 2.717684999297444559e+00 3.646015686462517101e-04 -3.619990745829138479e-03 7.763341876435968351e-10 1.078796550437986897e-06
6.200000000000000000e+01 2.666961698949745774e+00 3.704938731612743546e-04 -4.033966446647843651e-03 7.510490461018673302e-10 1.026834352586278038e-06
6.300000000000000000e+01 2.618379828172138435e+00 3.762684787237529369e-04 -4.441374769141214797e-03 7.269658438986038674e-10 9.781274511370191755e-07
6.400000000000000000e+01 2.571827870614652234e+00 3.819188829511624590e-04 -4.841838086631335136e-03 7.040253971706066699e-10 9.324946133618865802e-07
6.500000000000000000e+01 2.527194309729098975e+00 3.874383834610984722e-04 -5.234978772443980681e-03 6.821632767171826555e-10 8.897273091732692643e-07
6.600000000000000000e+01 2.484367629167340219e+00 3.928203778713222280e-04 -5.620419199901878667e-03 6.612947600449775384e-10 8.495897112398866493e-07
6.700000000000000000e+01 2.443236312480872474e+00 3.980582637991832520e-04 -5.997781742330392241e-03 6.413574907679184282e-10 8.118186950918799439e-07
6.800000000000000000e+01 2.403696618934232809e+00 4.031465039861407496e-04 -6.366785552693533974e-03 6.222767384760895009e-10 7.761641317054889637e-07
6.900000000000000000e+01 2.365675911255487485e+00 4.080832216670651313e-04 -6.727536902519821137e-03 6.040133549047811925e-10 7.425144709921060388e-07
7.000000000000000000e+01 2.329109327885530156e+00 4.128675052008094933e-04 -7.080238842977149873e-03 5.865236553575475831e-10 7.107840998018705888e-07
7.100000000000000000e+01 2.293932007165972120e+00 4.174988429458757863e-04 -7.425094425232952287e-03 5.697878298465284299e-10 6.808742259728682761e-07
7.200000000000000000e+01 2.260079087538344300e+00 4.219761232609400966e-04 -7.762306700455908620e-03 5.537701570060036748e-10 6.526728783745528785e-07
7.300000000000000000e+01 2.227485707644294877e+00 4.262986345048639910e-04 -8.092078719813084950e-03 5.384203700264659351e-10 6.260549069494887091e-07
7.400000000000000000e+01 2.196087005625745991e+00 4.304656650360284094e-04 -8.414613534471700879e-03 5.237087922725746436e-10 6.008819827503503909e-07
7.500000000000000000e+01 2.165818120224217935e+00 4.344763032132473624e-04 -8.730114195603919103e-03 5.095898019373585656e-10 5.770025979748913423e-07
7.600000000000000000e+01 2.136617756511288491e+00 4.383295984388353218e-04 -9.038722340245632786e-03 4.960196549764996158e-10 5.542761683143367659e-07
7.700000000000000000e+01 2.108438887176195209e+00 4.420233442894275265e-04 -9.340333948904273875e-03 4.829645730688361889e-10 5.326478605465900047e-07
7.800000000000000000e+01 2.081238051540756029e+00 4.455554953856570685e-04 -9.634783587956045892e-03 4.704168981617225681e-10 5.120806966744419378e-07
7.900000000000000000e+01 2.054971789124755421e+00 4.489237063476963141e-04 -9.921905823779815156e-03 4.583568380674212732e-10 4.925320817782553100e-07
8.000000000000000000e+01 2.029596639348027587e+00 4.521257317961811600e-04 -1.020153522275993839e-02 4.467439046152476127e-10 4.739538040288235391e-07
8.100000000000000000e+01 2.005069141532252797e+00 4.551594263513854136e-04 -1.047350635126759362e-02 4.355853120903170334e-10 4.562920347015926105e-07
8.200000000000000000e+01 1.981345835196313576e+00 4.580224446338160261e-04 -1.073765377568591979e-02 4.248283792429916425e-10 4.394873281883970899e-07
8.300000000000000000e+01 1.958383259761008910e+00 4.607125412637874283e-04 -1.099381206238477134e-02 4.144663360201621357e-10 4.234746220093769232e-07
8.400000000000000000e+01 1.936140868661607506e+00 4.632279716356411145e-04 -1.124185803615297512e-02 4.044741466604584851e-10 4.081922050539242440e-07
8.500000000000000000e+01 1.914589771986697997e+00 4.655683942391075311e-04 -1.148183755535986394e-02 3.948291233007873883e-10 3.936094713801912965e-07
8.600000000000000000e+01 1.893703993841073574e+00 4.677339683377817743e-04 -1.171383873677895107e-02 3.855202357080771932e-10 3.797015014396059545e-07
8.700000000000000000e+01 1.873457558228476261e+00 4.697248531951417924e-04 -1.193794969719525617e-02 3.765440078315357886e-10 3.664403061247254320e-07
8.800000000000000000e+01 1.853824489353194549e+00 4.715413080748855523e-04 -1.215425855337635974e-02 3.678794345587523321e-10 3.537948267744419359e-07
