# ell  TT    EE    TE     PP     TP
2.000000000000000000e+00 1.448123959770809728e-10 4.893936496068719411e-15 3.898178141666486724e-13 8.542623218019098773e-09 4.724860979080455346e-10
3.000000000000000000e+00 6.847815358672528864e-11 3.346176800104172689e-15 2.245415488720679032e-13 2.664734017735094985e-09 1.681055784514771897e-10
4.000000000000000000e+00 3.883300030101124769e-11 1.861179552740729271e-15 1.287139654798329640e-13 1.114962030180175850e-09 7.646395536850099038e-11
5.000000000000000000e+00 2.474960183435182665e-11 8.902409008820899481e-16 7.455368860135786965e-14 5.553857143412502358e-10 4.028335995454953022e-11
6.000000000000000000e+00 1.711107291949097165e-11 3.776768782613480261e-16 4.365009710619931743e-14 3.098559728794298165e-10 2.341782653854854938e-11
7.000000000000000000e+00 1.255815593776593893e-11 1.538114474619985382e-16 2.600258782896360949e-14 1.873551832011907503e-10 1.462040931088155843e-11
8.000000000000000000e+00 9.636811974317027442e-12 7.181953204097579160e-17 1.597261190071672143e-14 1.203951350363415940e-10 9.634902585319624557e-12
9.000000000000000000e+00 7.656955564823570519e-12 4.387774596814722437e-17 1.034157497620061437e-14 8.114259171823408231e-11 6.622947489569218485e-12
1.000000000000000000e+01 6.253571152494394880e-12 3.120180262681602437e-17 7.233251398177822314e-15 5.679604522049012182e-11 4.712480624444293448e-12
1.100000000000000000e+01 5.221719458288555497e-12 2.235703824894641535e-17 5.541974050615208622e-15 3.981042760601917104e-11 3.464070184368309456e-12
1.200000000000000000e+01 4.442232856667390953e-12 1.602251534687653025e-17 4.617668537335852066e-15 2.943753421266670929e-11 2.597968126142913406e-12
1.300000000000000000e+01 3.836059314032502457e-12 1.232321039467985338e-17 4.085340848288361243e-15 2.224275166705609189e-11 1.988856034846429035e-12
1.400000000000000000e+01 3.354044511495574024e-12 1.057839250703241656e-17 3.741384149416097097e-15 1.712105682198837750e-11 1.544814637753234003e-12
1.500000000000000000e+01 2.965456229211523860e-12 9.785750180255068621e-18 3.484771028455265034e-15 1.339286643818486114e-11 1.219937253995477620e-12
1.600000000000000000e+01 2.647912293561544269e-12 9.325923106586009197e-18 3.266349894475894950e-15 1.062575791260540874e-11 9.778392392000388874e-13
1.700000000000000000e+01 2.382725868749694376e-12 9.072618401574418035e-18 3.068719406062852419e-15 8.536504456016269146e-12 7.932801508242236985e-13
1.800000000000000000e+01 2.159892471129274778e-12 9.122172922230275511e-18 2.889439575666980661e-15 6.932207495107770498e-12 6.486955302832581023e-13
1.900000000000000000e+01 1.971117674446409432e-12 9.478502171634496165e-18 2.730578753740285884e-15 5.690354397592677021e-12 5.349508833131145255e-13
2.000000000000000000e+01 1.808754635528635733e-12 1.009767456843057964e-17 2.593845298067386818e-15 4.711181416194307899e-12 4.452028139890926886e-13
2.100000000000000000e+01 1.668228741473128145e-12 1.087788143180008921e-17 2.477210161752263445e-15 3.932946928571342157e-12 3.740281204578253423e-13
2.200000000000000000e+01 1.545865916480894564e-12 1.172121819477507244e-17 2.377310851672511548e-15 3.307214571637791333e-12 3.167227383764517817e-13
2.300000000000000000e+01 1.438522002899888187e-12 1.260327384523850522e-17 2.289188494502726051e-15 2.800746894375469086e-12 2.700389593738462017e-13
2.400000000000000000e+01 1.343446709831124590e-12 1.351568969058852600e-17 2.207713591710153688e-15 2.386270853886576947e-12 2.313679555992282084e-13
2.500000000000000000e+01 1.258935295233277611e-12 1.444082276147736409e-17 2.128670524140165516e-15 2.045172127680709676e-12 1.992000653075381752e-13
2.600000000000000000e+01 1.183571995711655909e-12 1.536216039828278790e-17 2.048594473782106449e-15 1.762054900893471536e-12 1.723629976995115343e-13
2.700000000000000000e+01 1.116051413603591701e-12 1.627699545726262424e-17 1.966109947825632634e-15 1.525738668765825442e-12 1.499347796508738125e-13
2.800000000000000000e+01 1.055185370307462572e-12 1.718749779918075464e-17 1.880725217040240591e-15 1.326861353514797086e-12 1.310970603347606007e-13
2.900000000000000000e+01 1.000144197743978191e-12 1.810153978700846546e-17 1.793394281318633618e-15 1.159119275168062459e-12 1.151956604389708295e-13
3.000000000000000000e+01 9.501878554648498841e-13 1.902841940928818665e-17 1.705432572833271956e-15 1.016973353208758776e-12 1.016174435299340242e-13
3.100000000000000000e+01 9.046248234149419043e-13 1.997520591816369140e-17 1.618052011698064678e-15 8.953514177124081745e-13 8.982558549150573225e-14
3.200000000000000000e+01 8.629576631140797764e-13 2.094005362020022946e-17 1.532050469792344624e-15 7.910489411322468428e-13 7.958851147673541720e-14
3.300000000000000000e+01 8.247374564741086163e-13 2.191888808558741251e-17 1.448122306937317872e-15 7.013283065149438026e-13 7.075095895626552536e-14
3.400000000000000000e+01 7.895453584216462229e-13 2.290781082377922812e-17 1.366718681587924238e-15 6.236472950405717215e-13 6.315065960942029511e-14
3.500000000000000000e+01 7.570828159382744126e-13 2.390362710137687582e-17 1.287317946732165350e-15 5.562452804240920460e-13 5.659732195162828234e-14
3.600000000000000000e+01 7.270813490188671002e-13 2.490331812425779786e-17 1.209155253992945667e-15 4.975570345159822492e-13 5.089364870713965269e-14
3.700000000000000000e+01 6.992846985268586910e-13 2.590433100095230651e-17 1.131578557617406763e-15 4.461417890231431646e-13 4.586394002112792627e-14
3.800000000000000000e+01 6.734854888025663302e-13 2.690597645066024313e-17 1.054387022357123588e-15 4.010566150872328138e-13 4.141888572255676801e-14
3.900000000000000000e+01 6.494885650543641959e-13 2.790803109522454463e-17 9.774926155892749117e-16 3.614830437084039634e-13 3.749077306117076054e-14
4.000000000000000000e+01 6.270987724900952411e-13 2.891027155650598667e-17 9.008073046911150344e-16 3.266026058866906344e-13 3.401188928678797680e-14
4.100000000000000000e+01 6.061376716695307887e-13 2.991218053252695503e-17 8.243264910921937664e-16 2.956650605170913280e-13 3.091892562626677738e-14
4.200000000000000000e+01 5.864936845545571259e-13 3.091206502601324679e-17 7.483793124321123758e-16 2.681930780745047242e-13 2.816618921461466392e-14
4.300000000000000000e+01 5.680719484581819243e-13 3.190793811587389504e-17 6.733783404025877788e-16 2.437775569288007990e-13 2.571239116389723821e-14
4.400000000000000000e+01 5.507776006927509693e-13 3.289781288100544053e-17 5.997361466951815849e-16 2.220093954497858894e-13 2.351624258617494287e-14
4.500000000000000000e+01 5.345190725078638483e-13 3.388008986826720913e-17 5.277573635514965660e-16 2.025124519812336430e-13 2.154011117091756145e-14
4.600000000000000000e+01 5.192179708981977662e-13 3.485471949624810859e-17 4.573148654089058941e-16 1.850424247627462316e-13 1.976099091726912516e-14
4.700000000000000000e+01 5.047991967949901380e-13 3.582203965148399292e-17 3.881735872545391743e-16 1.693879720077546009e-13 1.815953240179527134e-14
4.800000000000000000e+01 4.911876511295652164e-13 3.678238822050112038e-17 3.200984640750863204e-16 1.553377519297974109e-13 1.671638620105490045e-14
4.900000000000000000e+01 4.783082348329588720e-13 3.773610308985337168e-17 2.528544308575396265e-16 1.426804227423464009e-13 1.541220289160592214e-14
5.000000000000000000e+01 4.660925563739679868e-13 3.868320571717716083e-17 1.862626958900845303e-16 1.312228522300105967e-13 1.422912529466836307e-14
5.100000000000000000e+01 4.544990543703606915e-13 3.962245184447687564e-17 1.203695606661212500e-16 1.208447464619652354e-13 1.315526521008762643e-14
5.200000000000000000e+01 4.434928749777024794e-13 4.055228078484634590e-17 5.527759998035008735e-17 1.114440210784820342e-13 1.218022668236298721e-14
5.300000000000000000e+01 4.330391643514055140e-13 4.147113185137705331e-17 -8.910611372541900001e-18 1.029185917198700836e-13 1.129361375599773415e-14
5.400000000000000000e+01 4.231030686466125602e-13 4.237744435722352682e-17 -7.209249859785151983e-17 9.516637402640392819e-14 1.048503047549445073e-14
5.500000000000000000e+01 4.136509740887777229e-13 4.326991918131347869e-17 -1.341917053234971953e-16 8.809347878235862000e-14 9.744953437361838593e-15
5.600000000000000000e+01 4.046542271820882820e-13 4.414830346626380728e-17 -1.952367488677205167e-16 8.163879734802085854e-14 9.067349446135252303e-15
5.700000000000000000e+01 3.960854145012530353e-13 4.501260592046966023e-17 -2.552823649714085716e-16 7.574941622761520885e-14 8.447057858360916676e-15
5.800000000000000000e+01 3.879171226205400788e-13 4.586283525240112698e-17 -3.143832893753289964e-16 7.037242192544209285e-14 7.878918030583141170e-15
5.900000000000000000e+01 3.801219381144582818e-13 4.669900017050256037e-17 -3.725942578204079642e-16 6.545490094573763712e-14 7.357769319345159235e-15
6.000000000000000000e+01 3.726724475571078705e-13 4.752110938321414091e-17 -4.299700060475256966e-16 6.094393979276658181e-14 6.878451081193295082e-15
6.100000000000000000e+01 3.655433050041109169e-13 4.832902194341694933e-17 -4.865476733835467089e-16 5.679134959946314566e-14 6.436245489214131673e-15
6.200000000000000000e+01 3.587174344343298056e-13 4.912199828180509439e-17 -5.422940134997566063e-16 5.296784001356400066e-14 6.028205982684205061e-15
6.300000000000000000e+01 3.521798273078141381e-13 4.989914917344559508e-17 -5.971581836535172390e-16 4.944884531144506825e-14 5.651828817416714426e-15
6.400000000000000000e+01 3.459154750842177475e-13 5.065958539349416799e-17 -6.510893411019300345e-16 4.620979976954980265e-14 5.304610249229874524e-15
6.500000000000000000e+01 3.399093692236881804e-13 5.140241771700730575e-17 -7.040366431025732866e-16 4.322613766425724918e-14 4.984046533942162803e-15
6.600000000000000000e+01 3.341465011860368401e-13 5.212675691914264163e-17 -7.559492469125451688e-16 4.047329327197225205e-14 4.687633927371219731e-15
6.700000000000000000e+01 3.286118624312930324e-13 5.283171377497980409e-17 -8.067763097894669680e-16 3.792670086910354932e-14 4.412868685331567406e-15
6.800000000000000000e+01 3.232914910266249458e-13 5.351652880029214574e-17 -8.564800170681766161e-16 3.556400792047490670e-14 4.157462887219460736e-15
6.900000000000000000e+01 3.181756114681280872e-13 5.418096147348843529e-17 -9.050746663963270720e-16 3.337171464462918216e-14 3.919991906739957046e-15
7.000000000000000000e+01 3.132554948589834312e-13 5.482490101361723340e-17 -9.525875834987568782e-16 3.133853444848727326e-14 3.699246941172840596e-15
7.100000000000000000e+01 3.085224123027186975e-13 5.544823663976884256e-17 -9.990460941007035439e-16 2.945318073902945038e-14 3.494019187801127607e-15
7.200000000000000000e+01 3.039676349024922424e-13 5.605085757098197500e-17 -1.044477523927410297e-15 2.770436692316952394e-14 3.303099843905320598e-15
7.300000000000000000e+01 2.995824337618887858e-13 5.663265302633980264e-17 -1.088909198704026689e-15 2.608080640787019165e-14 3.125280106767879644e-15
7.400000000000000000e+01 2.953580799840037264e-13 5.719351222489244537e-17 -1.132368444155638176e-15 2.457121260009302473e-14 2.959351173670200253e-15
7.500000000000000000e+01 2.912858446723230818e-13 5.773332438571267819e-17 -1.174882586007069890e-15 2.316429890676712804e-14 2.804104241894466399e-15
7.600000000000000000e+01 2.873574784632704806e-13 5.825194656784782808e-17 -1.216470681925542712e-15 2.184978416524403241e-14 2.658446109417275104e-15
7.700000000000000000e+01 2.835666501265660121e-13 5.874910719039356018e-17 -1.257118717341534842e-15 2.062140893449689385e-14 2.521745977007661989e-15
7.800000000000000000e+01 2.799075079649271534e-13 5.922450251242434409e-17 -1.296804409627472551e-15 1.947391920386916637e-14 2.393488646128383498e-15
7.900000000000000000e+01 2.763742002812616171e-13 5.967782879299600022e-17 -1.335505476154783214e-15 1.840206096273368438e-14 2.273158918245217018e-15
8.000000000000000000e+01 2.729608753781890868e-13 6.010878229121325838e-17 -1.373199634295767082e-15 1.740058020044572850e-14 2.160241594820650780e-15
8.100000000000000000e+01 2.696616815585782485e-13 6.051705926612687304e-17 -1.409864601423313487e-15 1.646422290636905805e-14 2.054221477318889970e-15
8.200000000000000000e+01 2.664707671252682027e-13 6.090235597682068150e-17 -1.445478094909727017e-15 1.558773506987052785e-14 1.954583367203690518e-15
8.300000000000000000e+01 2.633822803810999685e-13 6.126436868237833619e-17 -1.480017832125720144e-15 1.476586268028845803e-14 1.860812065941002967e-15
8.400000000000000000e+01 2.603907619671374086e-13 6.160284765494034068e-17 -1.513467214634018659e-15 1.399378975499789906e-14 1.772431316390340178e-15
