# ell  TT    EE    TE     PP     TP
2.000000000000000000e+00 1.069928117275236900e+03 3.626184376998321801e-02 2.893154268366466830e+00 5.069604634712519881e-07 3.125204645909600027e-03
3.000000000000000000e+00 5.062322600343616728e+02 2.482982624530129592e-02 1.667598921166024262e+00 2.301117253131233557e-07 1.571535766293771699e-03
4.000000000000000000e+00 2.872549811648256082e+02 1.382817078885692670e-02 9.562735399850239570e-01 1.347782112932898848e-07 9.224727055791930811e-04
5.000000000000000000e+00 1.831729927132761020e+02 6.628050923453873179e-03 5.539448378285122265e-01 9.006747248284051721e-08 5.952049472689639005e-04
6.000000000000000000e+00 1.266988859283051738e+02 2.819375964572497662e-03 3.242805693001333811e-01 6.456962942179062350e-08 4.093985573436315865e-04
7.000000000000000000e+00 9.299471194119277584e+01 1.154014777266535938e-03 1.931254331350522879e-01 4.891894275398752699e-08 2.950717203128720061e-04
8.000000000000000000e+00 7.138474139678345409e+01 5.428242945718991189e-04 1.186011441329009736e-01 3.831215120944656251e-08 2.204837334296585007e-04
9.000000000000000000e+00 5.673371011082205939e+01 3.342265922637775938e-04 7.677805666432441223e-02 3.096452348086113668e-08 1.695477467220578662e-04
1.000000000000000000e+01 4.633925489914168594e+01 2.400939393039288607e-04 5.370812202214478304e-02 2.551197004754963456e-08 1.334881906341445039e-04
1.100000000000000000e+01 3.870334055578944543e+01 1.737951408296006925e-04 4.115462456981919953e-02 2.119181995907893600e-08 1.075935848448449821e-04
1.200000000000000000e+01 3.292427320383885103e+01 1.263829551523832360e-04 3.428870204433970281e-02 1.797493776770723666e-08 8.766707995429557081e-05
1.300000000000000000e+01 2.843486215585259558e+01 9.832766171336873291e-05 3.033120436835774064e-02 1.544459848445450993e-08 7.259501446547228249e-05
1.400000000000000000e+01 2.486688015293442788e+01 8.513298047362181811e-05 2.776947848209894085e-02 1.342828812765003106e-08 6.061067714267717325e-05
1.500000000000000000e+01 2.198984941388549430e+01 7.898250168726094508e-05 2.585769797476910117e-02 1.180030199120157936e-08 5.121210492741104926e-05
1.600000000000000000e+01 1.963460591575323377e+01 7.556267728752724265e-05 2.423875180361700563e-02 1.046924234918348800e-08 4.371019947209782230e-05
1.700000000000000000e+01 1.767272204148767045e+01 7.329825818463503668e-05 2.277144788265840838e-02 9.366331866439531452e-09 3.761417230915366960e-05
1.800000000000000000e+01 1.602144610262880420e+01 7.349442525474677906e-05 2.144542358900594289e-02 8.438883903730483360e-09 3.255072994685441728e-05
1.900000000000000000e+01 1.462003034159444148e+01 7.566665346212931404e-05 2.027198812234486461e-02 7.649826836165499452e-09 2.834732281625226697e-05
2.000000000000000000e+01 1.341559732039653596e+01 8.029457369531228523e-05 1.925745315434778185e-02 6.965559843483570849e-09 2.484728754455008842e-05
2.100000000000000000e+01 1.237386185655730486e+01 8.588133622150782897e-05 1.839096250084863715e-02 6.364304391837628413e-09 2.192019000606202161e-05
