# ell  TT    EE    TE     PP     TP
2.000000000000000000e+00 1.075717199680248314e+03 3.636718339405619477e-02 2.895703257319278023e+00 5.072893289032089490e-07 3.154357017356247510e-03
3.000000000000000000e+00 5.086797111363892441e+02 2.487251226959803080e-02 1.667973270699212751e+00 2.303212603972127440e-07 1.587153513282656830e-03
4.000000000000000000e+00 2.884651293153669940e+02 1.383715559589648522e-02 9.561324176506086348e-01 1.349379036054119609e-07 9.320043596790386718e-04
5.000000000000000000e+00 1.838487127950078275e+02 6.625487218627697759e-03 5.538109113603189027e-01 9.019578347526259263e-08 6.013571801180884763e-04
6.000000000000000000e+00 1.271070446209689919e+02 2.815959133051904387e-03 3.242482097513599837e-01 6.467519805446763843e-08 4.136351300635675884e-04
7.000000000000000000e+00 9.328638262184260554e+01 1.152463604207198651e-03 1.931563297999288054e-01 4.900893818965382587e-08 2.981945701641615419e-04
8.000000000000000000e+00 7.158561646102087650e+01 5.426415387914655013e-04 1.186501556058420365e-01 3.839140688408003078e-08 2.228228694304725378e-04
9.000000000000000000e+00 5.687854960709606900e+01 3.344363652319229060e-04 7.682084105985358125e-02 3.103512229155916174e-08 1.712453363300783077e-04
1.000000000000000000e+01 4.645371865742451689e+01 2.402082183433594260e-04 5.373112483196707673e-02 2.557464297913832403e-08 1.347076024460001735e-04
1.100000000000000000e+01 3.878876286740765522e+01 1.737827106658206629e-04 4.116772432438099011e-02 2.124568305076657426e-08 1.084725461824762955e-04
1.200000000000000000e+01 3.299846337598341961e+01 1.263706558825990981e-04 3.430165923373591080e-02 1.802336946785021497e-08 8.843869063052372647e-05
1.300000000000000000e+01 2.849559398960816736e+01 9.839242301612268903e-05 3.034734271171806233e-02 1.548841128193811746e-08 7.312825794417900506e-05
1.400000000000000000e+01 2.491501921137927411e+01 8.525190462421237242e-05 2.779231188166110186e-02 1.346810124599874068e-08 6.101438099894486580e-05
1.500000000000000000e+01 2.202844934832748081e+01 7.908847979793528148e-05 2.588609974041842371e-02 1.183665078232935242e-08 5.150973327608945684e-05
1.600000000000000000e+01 1.966962177535597434e+01 7.560702324028896199e-05 2.426359105521748785e-02 1.050256235122852709e-08 4.395396917117576498e-05
