# ell  TT    EE    TE
2.000000000000000000e+00 1.069640612651438005e+03 3.589852660497604847e-02 2.880267795664977815e+00
3.000000000000000000e+00 5.061604527249047010e+02 2.443508310194940358e-02 1.655814210605942582e+00
4.000000000000000000e+00 2.872584834754116514e+02 1.352668286988200318e-02 9.475891608194321192e-01
5.000000000000000000e+00 1.832054732862156641e+02 6.441083575846415915e-03 5.478746206932444407e-01
6.000000000000000000e+00 1.267426921886311675e+02 2.726403532714759964e-03 3.201875780713491770e-01
7.000000000000000000e+00 9.304077519256740914e+01 1.115812437088950634e-03 1.904677171048145545e-01
8.000000000000000000e+00 7.142964419509281981e+01 5.306170093270918793e-04 1.169421124924961836e-01
9.000000000000000000e+00 5.677569387912961218e+01 3.305883118224526651e-04 7.579029838818140963e-02
1.000000000000000000e+01 4.637767169963349545e+01 2.389803341585338434e-04 5.315328794455938255e-02
1.100000000000000000e+01 3.873832953896038589e+01 1.747758568585285543e-04 4.085743426858654687e-02
1.200000000000000000e+01 3.295569136778937036e+01 1.283831677417164932e-04 3.412659725658086923e-02
1.300000000000000000e+01 2.846328605958415636e+01 1.025545913217021691e-04 3.023527833978131157e-02
1.400000000000000000e+01 2.489275619253891847e+01 8.985312699891142294e-05 2.770448245150275435e-02
1.500000000000000000e+01 2.201366691157024746e+01 8.479853564630839241e-05 2.580206119794142827e-02
1.600000000000000000e+01 1.965619559092127488e+01 8.116314701102934892e-05 2.418963312217012676e-02
1.700000000000000000e+01 1.769282357646575221e+01 7.974493743019338092e-05 2.273057714977221033e-02
1.800000000000000000e+01 1.604014425804002286e+01 8.061171216221277812e-05 2.141383498824753207e-02
1.900000000000000000e+01 1.463735353522476679e+01 8.331813377786038922e-05 2.025283342454529609e-02
2.000000000000000000e+01 1.343176547185018244e+01 8.816785066872380081e-05 1.925486026461296560e-02
2.100000000000000000e+01 1.238904927725653238e+01 9.357802303920081401e-05 1.840221555634062589e-02
2.200000000000000000e+01 1.148079903221827003e+01 1.008287112537595607e-04 1.766823936468491993e-02
2.300000000000000000e+01 1.068395315753410735e+01 1.070399122614915707e-04 1.701541958095923596e-02
2.400000000000000000e+01 9.978651929650386165e+00 1.136320115614074158e-04 1.640602162116781837e-02
2.500000000000000000e+01 9.352498707525377597e+00 1.204298366551603220e-04 1.581227317363441062e-02
2.600000000000000000e+01 8.794903278243712208e+00 1.272151571505285869e-04 1.521187546303217827e-02
2.700000000000000000e+01 8.295038058811289972e+00 1.344251844619195088e-04 1.459446158699265368e-02
2.800000000000000000e+01 7.843069823552107245e+00 1.413483820244050462e-04 1.395565537794842860e-02
2.900000000000000000e+01 7.433380146019802126e+00 1.479431758538505952e-04 1.330311173446004080e-02
3.000000000000000000e+01 7.061404299574212118e+00 1.550659909925710376e-04 1.264749332160721926e-02
3.100000000000000000e+01 6.722718690518447282e+00 1.621196243637650189e-04 1.199833033362980930e-02
3.200000000000000000e+01 6.413464256968874011e+00 1.692837753541266861e-04 1.136062308127081324e-02
3.300000000000000000e+01 6.129923069964666738e+00 1.764179193855699827e-04 1.073823940441712664e-02
3.400000000000000000e+01 5.868693470837180293e+00 1.836555907157455406e-04 1.013352160209369558e-02
