# ell  TT    EE    TE
5.010000000000000000e+02 6.073013652982830329e-02 2.043917572532810245e-04 -1.428983076316935833e-03
5.020000000000000000e+02 6.067573069206853159e-02 2.010024086402175140e-04 -1.399739975698621394e-03
5.030000000000000000e+02 6.061655145563763641e-02 1.977321318795581605e-04 -1.370224900127564463e-03
5.040000000000000000e+02 6.055249925575311581e-02 1.945824151694464576e-04 -1.340457595407843448e-03
5.050000000000000000e+02 6.048349753829395520e-02 1.915544125148022135e-04 -1.310457278440992600e-03
5.060000000000000000e+02 6.040955614580578725e-02 1.886479411473099721e-04 -1.280241050521251350e-03
5.070000000000000000e+02 6.033072415731338678e-02 1.858624841048976250e-04 -1.249825484040690540e-03
5.080000000000000000e+02 6.024703431467562376e-02 1.831975244267529607e-04 -1.219227151391291241e-03
5.090000000000000000e+02 6.015852485703274827e-02 1.806525451527094645e-04 -1.188462624965238353e-03
5.100000000000000000e+02 6.006522866075656580e-02 1.782270293228796953e-04 -1.157548477154667988e-03
5.110000000000000000e+02 5.996719459651329853e-02 1.759204599782063314e-04 -1.126501280351423087e-03
5.120000000000000000e+02 5.986445555922272760e-02 1.737323201602545728e-04 -1.095337606947877638e-03
5.130000000000000000e+02 5.975704447761940458e-02 1.716620929111502877e-04 -1.064074029335798036e-03
5.140000000000000000e+02 5.964501011794205027e-02 1.697092612736436819e-04 -1.032727119907520322e-03
5.150000000000000000e+02 5.952838019840783063e-02 1.678733082910477436e-04 -1.001313451055170630e-03
5.160000000000000000e+02 5.940720336563058007e-02 1.661537170073360383e-04 -9.698495951706007957e-04
5.170000000000000000e+02 5.928150743599287092e-02 1.645499704670113847e-04 -9.383521246460246662e-04
5.180000000000000000e+02 5.915134099051003874e-02 1.630615517151683862e-04 -9.068376118735975433e-04
5.190000000000000000e+02 5.901673192191132788e-02 1.616879437974855433e-04 -8.753226292451779826e-04
5.200000000000000000e+02 5.887772360665691901e-02 1.604286297601999645e-04 -8.438237491531284766e-04
5.210000000000000000e+02 5.873435426259345643e-02 1.592830926501344173e-04 -8.123575439893815234e-04
5.220000000000000000e+02 5.858666713380364377e-02 1.582508155146206748e-04 -7.809405861458970513e-04
5.230000000000000000e+02 5.843469034017668984e-02 1.573312814015952513e-04 -7.495894480151055325e-04
5.240000000000000000e+02 5.827846715011476830e-02 1.565239733594892197e-04 -7.183207019886472724e-04
5.250000000000000000e+02 5.811803577093477280e-02 1.558283744373229710e-04 -6.871509204590129163e-04
5.260000000000000000e+02 5.795343442067382028e-02 1.552439676845972791e-04 -6.560966758181153383e-04
5.270000000000000000e+02 5.778470133874987619e-02 1.547702361514043503e-04 -6.251745404580751455e-04
5.280000000000000000e+02 5.761187468981238124e-02 1.544066628883026247e-04 -5.944010867709859482e-04
5.290000000000000000e+02 5.743499271338472351e-02 1.541527309463939176e-04 -5.637928871486840758e-04
5.300000000000000000e+02 5.725409362762245991e-02 1.540079233772829244e-04 -5.333665139836851104e-04
5.310000000000000000e+02 5.706921564002297165e-02 1.539717232331199381e-04 -5.031385396677861329e-04
5.320000000000000000e+02 5.688039695813221219e-02 1.540436135664946516e-04 -4.731255365930035588e-04
5.330000000000000000e+02 5.668767580023189451e-02 1.542230774305451474e-04 -4.433440771516703361e-04
5.340000000000000000e+02 5.649109037395686622e-02 1.545095978788688302e-04 -4.138107337358770937e-04
5.350000000000000000e+02 5.629067414187631513e-02 1.549026579655975080e-04 -3.845420787374144076e-04
5.360000000000000000e+02 5.608647484709311515e-02 1.554017407452926581e-04 -3.555546845485270261e-04
5.370000000000000000e+02 5.587852594954756391e-02 1.560063292730048414e-04 -3.268651235613587581e-04
5.380000000000000000e+02 5.566686091978576695e-02 1.567159066043148749e-04 -2.984899681680537923e-04
5.390000000000000000e+02 5.545152742144836278e-02 1.575299557951823147e-04 -2.704457907605342724e-04
5.400000000000000000e+02 5.523255895438752838e-02 1.584479599021004965e-04 -2.427491637309235433e-04
5.410000000000000000e+02 5.500998906066799365e-02 1.594694019819775719e-04 -2.154166594711620175e-04
5.420000000000000000e+02 5.478386529296599972e-02 1.605937650921627461e-04 -1.884648503737432678e-04
5.430000000000000000e+02 5.455421657256909890e-02 1.618205322906774292e-04 -1.619103088303790758e-04
5.440000000000000000e+02 5.432109937758149848e-02 1.631489555786206302e-04 -1.357677553193001232e-04
5.450000000000000000e+02 5.408458781563996176e-02 1.645773627299231988e-04 -1.100445026623969819e-04
5.460000000000000000e+02 5.384477884600861325e-02 1.661038504617278616e-04 -8.474601176764317981e-05
5.470000000000000000e+02 5.360176933338520189e-02 1.677265154916991448e-04 -5.987774354292931027e-05
5.480000000000000000e+02 5.335564251608646003e-02 1.694434545382574801e-04 -3.544515889622945008e-05
5.490000000000000000e+02 5.310649530359121823e-02 1.712527643195714934e-04 -1.145371873544720122e-05
5.500000000000000000e+02 5.285442002643939152e-02 1.731525415548825473e-04 1.209111603147618877e-05
5.510000000000000000e+02 5.259950902572456399e-02 1.751408829636515825e-04 3.518388449661413958e-05
5.520000000000000000e+02 5.234185462146349888e-02 1.772158852653368290e-04 5.781912575201417882e-05
5.530000000000000000e+02 5.208155357959658865e-02 1.793756451805466386e-04 7.999137888977247578e-05
5.540000000000000000e+02 5.181868937890446447e-02 1.816182594295874400e-04 1.016951830019246437e-04
5.550000000000000000e+02 5.155335879828790852e-02 1.839418247336133724e-04 1.229250771805703857e-04
5.560000000000000000e+02 5.128565416846961322e-02 1.863444378140948637e-04 1.436756005177571396e-04
5.570000000000000000e+02 5.101566348907506099e-02 1.888241953925968845e-04 1.639412921055916354e-04
5.580000000000000000e+02 5.074348779751633454e-02 1.913791941916113439e-04 1.837166910361246451e-04
5.590000000000000000e+02 5.046921507011466190e-02 1.940075309337298975e-04 2.029963364012827719e-04
5.600000000000000000e+02 5.019293763772109118e-02 1.967073023415787060e-04 2.217747672933366909e-04
5.610000000000000000e+02 4.991474786272228487e-02 1.994766051387893374e-04 2.400465228043229167e-04
5.620000000000000000e+02 4.963473805502681413e-02 2.023135360491800055e-04 2.578061420262010395e-04
5.630000000000000000e+02 4.935299632270084835e-02 2.052161917965416563e-04 2.750481640511544560e-04
5.640000000000000000e+02 4.906962349718155258e-02 2.081826691054536674e-04 2.917671279711518098e-04
5.650000000000000000e+02 4.878470345539112629e-02 2.112110647007689609e-04 3.079575728782488328e-04
5.660000000000000000e+02 4.849833696745172590e-02 2.142994753078371589e-04 3.236140378647367997e-04
5.670000000000000000e+02 4.821061213328344669e-02 2.174459976518531949e-04 3.387310620224194741e-04
5.680000000000000000e+02 4.792161715070445555e-02 2.206487284589526564e-04 3.533031844433487390e-04
5.690000000000000000e+02 4.763145268237688190e-02 2.239057644554137032e-04 3.673249442198256811e-04
5.700000000000000000e+02 4.734020277407933325e-02 2.272152023677354016e-04 3.807908804438279158e-04
5.710000000000000000e+02 4.704796391114317300e-02 2.305751389228578711e-04 3.936955322073055195e-04
5.720000000000000000e+02 4.675483252332417877e-02 2.339836708480926518e-04 4.060334386024726802e-04
5.730000000000000000e+02 4.646089275301576449e-02 2.374388948710547250e-04 4.177991387213814980e-04
5.740000000000000000e+02 4.616624103736554491e-02 2.409389077197370520e-04 4.289871716559304953e-04
5.750000000000000000e+02 4.587096973368741393e-02 2.444818061223020546e-04 4.395920764984360463e-04
5.760000000000000000e+02 4.557517518514113408e-02 2.480656868075791833e-04 4.496083923407874581e-04
5.770000000000000000e+02 4.527894167636738187e-02 2.516886465044329080e-04 4.590306582751591826e-04
5.780000000000000000e+02 4.498236557874364661e-02 2.553487819421196921e-04 4.678534133934534288e-04
5.790000000000000000e+02 4.468553923921900900e-02 2.590441898500818853e-04 4.760711967880044602e-04
5.800000000000000000e+02 4.438855497363861785e-02 2.627729669584381628e-04 4.836785475506068244e-04
5.810000000000000000e+02 4.409150514979721242e-02 2.665332099973598376e-04 4.906700047734960683e-04
5.820000000000000000e+02 4.379448208876553228e-02 2.703230156972849367e-04 4.970401075486578302e-04
5.830000000000000000e+02 4.349757449707428170e-02 2.741404689818355994e-04 5.027852422693687966e-04
5.840000000000000000e+02 4.320085657099526077e-02 2.779836075450255032e-04 5.079091845333240244e-04
5.850000000000000000e+02 4.290439886631176175e-02 2.818504572742173996e-04 5.124175572391431038e-04
5.860000000000000000e+02 4.260826806689270441e-02 2.857390440566393280e-04 5.163159832858439614e-04
5.870000000000000000e+02 4.231254248477431951e-02 2.896473937800517250e-04 5.196100855720982292e-04
5.880000000000000000e+02 4.201728879151019058e-02 2.935735323325935225e-04 5.223054869967159921e-04
5.890000000000000000e+02 4.172257372875055187e-02 2.975154856026301421e-04 5.244078104587169111e-04
5.900000000000000000e+02 4.142847550867847367e-02 3.014712794786060437e-04 5.259226788565971944e-04
5.910000000000000000e+02 4.113506085550049096e-02 3.054389398494321652e-04 5.268557150894790687e-04
5.920000000000000000e+02 4.084239653745814352e-02 3.094164926043351102e-04 5.272125420559765950e-04
5.930000000000000000e+02 4.055056070849310385e-02 3.134019636329735364e-04 5.269987826548069420e-04
5.940000000000000000e+02 4.025961635114172488e-02 3.173933788247599338e-04 5.262200597849933485e-04
5.950000000000000000e+02 3.996964156517093802e-02 3.213887640697757992e-04 5.248819963452746673e-04
5.960000000000000000e+02 3.968069941823113012e-02 3.253861452586187097e-04 5.229902152344435276e-04
5.970000000000000000e+02 3.939286419347660245e-02 3.293835482814680112e-04 5.205503393511569247e-04
5.980000000000000000e+02 3.910621017155485601e-02 3.333789990293840725e-04 5.175679915945301463e-04
5.990000000000000000e+02 3.882080048835277047e-02 3.373705233933747870e-04 5.140487948631627252e-04
6.000000000000000000e+02 3.853670942130353605e-02 3.413561472649029251e-04 5.099983720558645293e-04
6.010000000000000000e+02 3.825400753677733051e-02 3.453338965354817809e-04 5.054223460715942876e-04
6.020000000000000000e+02 3.797276901548684441e-02 3.493017970970493848e-04 5.003263398090137658e-04
6.030000000000000000e+02 3.769305712154396443e-02 3.532578748418229494e-04 4.947159761669468183e-04
6.040000000000000000e+02 3.741494607863198735e-02 3.572001556620288485e-04 4.885968780443200815e-04
6.050000000000000000e+02 3.713850644807160928e-02 3.611266654505280397e-04 4.819746683397214330e-04
6.060000000000000000e+02 3.686380876561631825e-02 3.650354301000344626e-04 4.748549699521096559e-04
6.070000000000000000e+02 3.659092361311590963e-02 3.689244755038657408e-04 4.672434057803724638e-04
6.080000000000000000e+02 3.631992153660382888e-02 3.727918275554190780e-04 4.591455987231441382e-04
6.090000000000000000e+02 3.605086954721042208e-02 3.766355121481592782e-04 4.505671716793819984e-04
6.100000000000000000e+02 3.578384532410067154e-02 3.804535551761088590e-04 4.415137475476778794e-04
6.110000000000000000e+02 3.551891584592055395e-02 3.842439825333287184e-04 4.319909492270819626e-04
6.120000000000000000e+02 3.525615168950400891e-02 3.880048201142815602e-04 4.220043996162926598e-04
6.130000000000000000e+02 3.499562339077753187e-02 3.917340938135662094e-04 4.115597216141026003e-04
6.140000000000000000e+02 3.473739804649142449e-02 3.954298295259059577e-04 4.006625381193414386e-04
6.150000000000000000e+02 3.448155318011907750e-02 3.990900531463823712e-04 3.893184720308193137e-04
6.160000000000000000e+02 3.422815241003082654e-02 4.027127905704194072e-04 3.775331462473952623e-04
6.170000000000000000e+02 3.397727321192318267e-02 4.062960676935236390e-04 3.653121836677985417e-04
6.180000000000000000e+02 3.372898267415849055e-02 4.098379104112717880e-04 3.526612071909416397e-04
6.190000000000000000e+02 3.348334795314667628e-02 4.133363446197869592e-04 3.395858397153762756e-04
6.200000000000000000e+02 3.324044643275477634e-02 4.167893962152343789e-04 3.260917041402144846e-04
6.210000000000000000e+02 3.300034186087318772e-02 4.201950910940523295e-04 3.121844233642189718e-04
6.220000000000000000e+02 3.276309870248556716e-02 4.235516327840314291e-04 2.978704685800864544e-04
6.230000000000000000e+02 3.252874327637804430e-02 4.268579353385045069e-04 2.831597041574715934e-04
6.240000000000000000e+02 3.229728232473265404e-02 4.301130904419617337e-04 2.680628427596947762e-04
6.250000000000000000e+02 3.206873266115629201e-02 4.333161897793130291e-04 2.525905970503178962e-04
6.260000000000000000e+02 3.184311106722700901e-02 4.364663250355500074e-04 2.367536796928481214e-04
6.270000000000000000e+02 3.162042434598502649e-02 4.395625878960083546e-04 2.205628033509234021e-04
6.280000000000000000e+02 3.140068928576403295e-02 4.426040700460336769e-04 2.040286806877841114e-04
6.290000000000000000e+02 3.118391935097311607e-02 4.455898631713600504e-04 1.871620243670512316e-04
6.300000000000000000e+02 3.097012798582293377e-02 4.485190589578954569e-04 1.699735470523150893e-04
6.310000000000000000e+02 3.075932864971358746e-02 4.513907490916275675e-04 1.524739614069663552e-04
6.320000000000000000e+02 3.055153480711024147e-02 4.542040252588805350e-04 1.346739800944965850e-04
6.330000000000000000e+02 3.034675990731634451e-02 4.569579791462198017e-04 1.165843157785608186e-04
6.340000000000000000e+02 3.014501740980946726e-02 4.596517024402414385e-04 9.821568112251694298e-05
6.350000000000000000e+02 2.994632076392886311e-02 4.622842868277124407e-04 7.957878878991020909e-05
6.360000000000000000e+02 2.975068344431421388e-02 4.648548239959388148e-04 6.068435144424558285e-05
6.370000000000000000e+02 2.955811570215132605e-02 4.673624056319786104e-04 4.154308174902860616e-05
6.380000000000000000e+02 2.936863739996668082e-02 4.698061234232430014e-04 2.216569236774837835e-05
6.390000000000000000e+02 2.918225877228463119e-02 4.721850690575154228e-04 2.562895963926806431e-06
6.400000000000000000e+02 2.899899329378124307e-02 4.744983342226301586e-04 -1.725459479894432476e-05
6.410000000000000000e+02 2.881885126737202679e-02 4.767450106064953269e-04 -3.727606725736319897e-05
