# ell  TT    EE    TE
5.010000000000000000e+02 6.071682775885403616e-02 2.147594107892346002e-04 -1.428983076316935833e-03
5.020000000000000000e+02 6.066233804772452193e-02 2.113482509489938814e-04 -1.399739975698621394e-03
5.030000000000000000e+02 6.060307528464774912e-02 2.080561511865309068e-04 -1.370224900127564463e-03
5.040000000000000000e+02 6.053893995338930495e-02 2.048846997775881828e-04 -1.340457595407843448e-03
5.050000000000000000e+02 6.046985449414163383e-02 2.018351508040205921e-04 -1.310457278440992600e-03
5.060000000000000000e+02 6.039583417300164320e-02 1.989071215737908953e-04 -1.280241050521251350e-03
5.070000000000000000e+02 6.031691821248890556e-02 1.961002952004551681e-04 -1.249825484040690540e-03
5.080000000000000000e+02 6.023314483515854190e-02 1.934140547981862677e-04 -1.219227151391291241e-03
5.090000000000000000e+02 6.014455126355035958e-02 1.908478834811662742e-04 -1.188462624965238353e-03
5.100000000000000000e+02 6.005117672022878411e-02 1.884012643632264198e-04 -1.157548477154667988e-03
5.110000000000000000e+02 5.995305842773270694e-02 1.860736805584048024e-04 -1.126501280351423087e-03
5.120000000000000000e+02 5.985023560859756286e-02 1.838646151807452663e-04 -1.095337606947877638e-03
5.130000000000000000e+02 5.974274648537680060e-02 1.817735513442418638e-04 -1.064074029335798036e-03
5.140000000000000000e+02 5.963062828062783843e-02 1.797999721629088402e-04 -1.032727119907520322e-03
5.150000000000000000e+02 5.951391921688040793e-02 1.779434607507252930e-04 -1.001313451055170630e-03
5.160000000000000000e+02 5.939265851667597379e-02 1.762033002217393350e-04 -9.698495951706007957e-04
5.170000000000000000e+02 5.926688440258858631e-02 1.745790736899425046e-04 -9.383521246460246662e-04
5.180000000000000000e+02 5.913649509714120206e-02 1.730703642693385647e-04 -9.068376118735975433e-04
5.190000000000000000e+02 5.900153182289678139e-02 1.716764550739415299e-04 -8.753226292451779826e-04
5.200000000000000000e+02 5.886217180239240038e-02 1.703970292177561460e-04 -8.438237491531284766e-04
5.210000000000000000e+02 5.871845325816040656e-02 1.692313698148106848e-04 -8.123575439893815234e-04
5.220000000000000000e+02 5.857041551276649660e-02 1.681790599790862495e-04 -7.809405861458970513e-04
5.230000000000000000e+02 5.841809558876161212e-02 1.672396828246178820e-04 -7.495894480151055325e-04
5.240000000000000000e+02 5.826153210866880094e-02 1.664125214653901610e-04 -7.183207019886472724e-04
5.250000000000000000e+02 5.810076309505507464e-02 1.656972590154374308e-04 -6.871509204590129163e-04
5.260000000000000000e+02 5.793582697046670976e-02 1.650931785887403127e-04 -6.560966758181153383e-04
5.270000000000000000e+02 5.776676185743331859e-02 1.645998632993420617e-04 -6.251745404580751455e-04
5.280000000000000000e+02 5.759360577850512752e-02 1.642168962612288493e-04 -5.944010867709859482e-04
5.290000000000000000e+02 5.741639715623949453e-02 1.639435605884120069e-04 -5.637928871486840758e-04
5.300000000000000000e+02 5.723517411318770204e-02 1.637794393948928309e-04 -5.333665139836851104e-04
5.310000000000000000e+02 5.704997477188217953e-02 1.637240157947103406e-04 -5.031385396677861329e-04
5.320000000000000000e+02 5.686083735485670393e-02 1.637767729018403196e-04 -4.731255365930035588e-04
5.330000000000000000e+02 5.666780018468280111e-02 1.639371938303091293e-04 -4.433440771516703361e-04
5.340000000000000000e+02 5.647090128390707536e-02 1.642047616941096294e-04 -4.138107337358770937e-04
5.350000000000000000e+02 5.627017897505528360e-02 1.645789596072813545e-04 -3.845420787374144076e-04
5.360000000000000000e+02 5.606567138070087802e-02 1.650592706838103336e-04 -3.555546845485270261e-04
5.370000000000000000e+02 5.585741672335468172e-02 1.656451780376934108e-04 -3.268651235613587581e-04
5.380000000000000000e+02 5.564545312559808499e-02 1.663361647829842424e-04 -2.984899681680537923e-04
5.390000000000000000e+02 5.542981900995695710e-02 1.671316140336462721e-04 -2.704457907605342724e-04
5.400000000000000000e+02 5.521055229898602645e-02 1.680312089037125432e-04 -2.427491637309235433e-04
5.410000000000000000e+02 5.498769131522385223e-02 1.690342325071711308e-04 -2.154166594711620175e-04
5.420000000000000000e+02 5.476127428121255886e-02 1.701402679579960635e-04 -1.884648503737432678e-04
5.430000000000000000e+02 5.453133941953253877e-02 1.713487983703827029e-04 -1.619103088303790758e-04
5.440000000000000000e+02 5.429793387308680386e-02 1.726590758011578867e-04 -1.357677553193001232e-04
5.450000000000000000e+02 5.406114096642647415e-02 1.740694280795381833e-04 -1.100445026623969819e-04
5.460000000000000000e+02 5.382105294447434712e-02 1.755779519775143725e-04 -8.474601176764317981e-05
5.470000000000000000e+02 5.357776225217585758e-02 1.771827442671656237e-04 -5.987774354292931027e-05
5.480000000000000000e+02 5.333136123445669785e-02 1.788818017208978779e-04 -3.544515889622945008e-05
5.490000000000000000e+02 5.308194203622768059e-02 1.806733211104400599e-04 -1.145371873544720122e-05
5.500000000000000000e+02 5.282959710245131724e-02 1.825554992081729984e-04 1.209111603147618877e-05
5.510000000000000000e+02 5.257441877805318214e-02 1.845262327862801761e-04 3.518388449661413958e-05
5.520000000000000000e+02 5.231649930794248643e-02 1.865837186165294407e-04 5.781912575201417882e-05
5.530000000000000000e+02 5.205593103707780583e-02 1.887259534714299223e-04 7.999137888977247578e-05
5.540000000000000000e+02 5.179280631036439764e-02 1.909512341227837635e-04 1.016951830019246437e-04
5.550000000000000000e+02 5.152721747275039454e-02 1.932574573428398244e-04 1.229250771805703857e-04
5.560000000000000000e+02 5.125925676917020973e-02 1.956428199037658336e-04 1.436756005177571396e-04
5.570000000000000000e+02 5.098901654453418669e-02 1.981054185774307067e-04 1.639412921055916354e-04
5.580000000000000000e+02 5.071687054379335480e-02 2.006433501362404729e-04 1.837166910361246451e-04
5.590000000000000000e+02 5.044290851186849362e-02 2.032547113523149322e-04 2.029963364012827719e-04
5.600000000000000000e+02 5.016694059368485142e-02 2.059374989974260112e-04 2.217747672933366909e-04
5.610000000000000000e+02 4.988905923419117289e-02 2.086899098439722923e-04 2.400465228043229167e-04
5.620000000000000000e+02 4.960935667830469048e-02 2.115100406641638622e-04 2.578061420262010395e-04
5.630000000000000000e+02 4.932792527097480673e-02 2.143959882298119028e-04 2.750481640511544560e-04
5.640000000000000000e+02 4.904485735709897959e-02 2.173458493131479139e-04 2.917671279711518098e-04
5.650000000000000000e+02 4.876024538164470956e-02 2.203576206863122882e-04 3.079575728782488328e-04
5.660000000000000000e+02 4.847418158952170042e-02 2.234294991215808764e-04 3.236140378647367997e-04
5.670000000000000000e+02 4.818675832565966904e-02 2.265595813907170469e-04 3.387310620224194741e-04
5.680000000000000000e+02 4.789806803501219651e-02 2.297459642660702880e-04 3.533031844433487390e-04
5.690000000000000000e+02 4.760820286247429561e-02 2.329866445197815072e-04 3.673249442198256811e-04
5.700000000000000000e+02 4.731725535301665314e-02 2.362799189238645649e-04 3.807908804438279158e-04
5.710000000000000000e+02 4.702531785153140492e-02 2.396235842504296990e-04 3.936955322073055195e-04
5.720000000000000000e+02 4.673248250298011469e-02 2.430160372716172489e-04 4.060334386024726802e-04
5.730000000000000000e+02 4.643884185228320388e-02 2.464552747595324792e-04 4.177991387213814980e-04
5.740000000000000000e+02 4.614448814436729329e-02 2.499392934863235889e-04 4.289871716559304953e-04
5.750000000000000000e+02 4.584951382416926208e-02 2.534662902239761878e-04 4.395920764984360463e-04
5.760000000000000000e+02 4.555401103662616580e-02 2.570342617448139258e-04 4.496083923407874581e-04
5.770000000000000000e+02 4.525807242665139812e-02 2.606415048208693928e-04 4.590306582751591826e-04
5.780000000000000000e+02 4.496179003919498901e-02 2.642859162242443770e-04 4.678534133934534288e-04
5.790000000000000000e+02 4.466525631916371669e-02 2.679656927269062736e-04 4.760711967880044602e-04
5.800000000000000000e+02 4.436856371150902506e-02 2.716788611011820278e-04 4.836785475506068244e-04
5.810000000000000000e+02 4.407180446116133743e-02 2.754235881191368415e-04 4.906700047734960683e-04
5.820000000000000000e+02 4.377507101304822790e-02 2.791979305527914155e-04 4.970401075486578302e-04
5.830000000000000000e+02 4.347845188194314481e-02 2.829999933670421935e-04 5.027852422693687966e-04
5.840000000000000000e+02 4.318202146196904734e-02 2.868278042968711527e-04 5.079091845333240244e-04
5.850000000000000000e+02 4.288585031711215911e-02 2.906793892703069199e-04 5.124175572391431038e-04
5.860000000000000000e+02 4.259000881134775846e-02 2.945527742149429778e-04 5.163159832858439614e-04
5.870000000000000000e+02 4.229456770863528059e-02 2.984459750586078495e-04 5.196100855720982292e-04
5.880000000000000000e+02 4.199959747295411300e-02 3.023570377292138559e-04 5.223054869967159921e-04
5.890000000000000000e+02 4.170516866828475472e-02 3.062839681546078289e-04 5.244078104587169111e-04
5.900000000000000000e+02 4.141135195859047685e-02 3.102248022624259829e-04 5.259226788565971944e-04
5.910000000000000000e+02 4.111821780786599489e-02 3.141775659804843870e-04 5.268557150894790687e-04
