# ell  TT    EE    TE     PP     TP
2.000000000000000000e+00 1.442212476649043942e-10 4.389979040732116335e-15 3.763313616437090840e-13 8.576374739135210638e-09 4.706970122655576966e-10
3.000000000000000000e+00 6.820385146200403824e-11 2.933809957781077695e-15 2.159499455999525052e-13 2.662850818933595957e-09 1.671178056886844765e-10
4.000000000000000000e+00 3.868524117900005271e-11 1.656690891261905828e-15 1.245721428352206565e-13 1.112266833300853552e-09 7.594883555963860737e-11
5.000000000000000000e+00 2.465751554280926157e-11 8.440331391862831302e-16 7.322435161554709954e-14 5.532062367582027647e-10 4.000346192326891613e-11
6.000000000000000000e+00 1.704386217040941991e-11 4.007042521646941857e-16 4.388927212653167497e-14 3.083389480050706998e-10 2.326728601951080728e-11
7.000000000000000000e+00 1.250266312843726558e-11 1.839249395681101292e-16 2.700378961647127155e-14 1.864440694842631649e-10 1.454273638744750051e-11
8.000000000000000000e+00 9.587116093753088613e-12 8.637031438901316870e-17 1.723623453715312446e-14 1.198482300472429515e-10 9.595179729319727554e-12
9.000000000000000000e+00 7.610552275481937538e-12 4.487204339393566612e-17 1.157231730902984225e-14 8.075506361091633595e-11 6.600691110004142904e-12
1.000000000000000000e+01 6.209801486457377719e-12 2.737966464548455270e-17 8.275221933603408582e-15 5.648207605108048824e-11 4.696985355588678094e-12
1.100000000000000000e+01 5.180376923226025982e-12 1.943586270119610554e-17 6.337296857168443364e-15 3.973603453976247354e-11 3.456343514653264024e-12
1.200000000000000000e+01 4.403614430723908675e-12 1.519679705129264723e-17 5.172359642783832118e-15 2.938243473987995367e-11 2.589972836641649200e-12
1.300000000000000000e+01 3.800174986909145458e-12 1.254619785637548129e-17 4.441802975555832944e-15 2.220105172221353910e-11 1.980563373841093026e-12
1.400000000000000000e+01 3.320865869345047806e-12 1.078870829824587443e-17 3.957144575684845068e-15 1.708891094331168159e-11 1.536793204665640339e-12
1.500000000000000000e+01 2.934976827611773373e-12 9.690279888424042528e-18 3.616208611609718698e-15 1.336768287020459558e-11 1.212803245873000337e-12
1.600000000000000000e+01 2.619993987083869089e-12 9.130561065837952457e-18 3.359996943686687727e-15 1.060574935766330467e-11 9.719736019523542580e-13
1.700000000000000000e+01 2.357113168686954794e-12 9.005476007012088796e-18 3.155420415659510820e-15 8.520408677177949674e-12 7.887538586997356234e-13
1.800000000000000000e+01 2.136425503953256740e-12 9.210169917995152246e-18 2.983819158341808649e-15 6.919140280975210339e-12 6.453476051703633022e-13
1.900000000000000000e+01 1.949633715791534386e-12 9.650276163410574720e-18 2.835021826727555420e-15 5.679598739264037610e-12 5.325333339028293726e-13
2.000000000000000000e+01 1.789061200890932628e-12 1.024269523434023571e-17 2.701242145992447068e-15 4.702260746572802736e-12 4.434346222924349009e-13
