# ell  TT    EE    TE     PP     TP
2.000000000000000000e+00 1.071325942967704350e+03 3.262361090471718045e-02 2.795521164348886867e+00 8.115637473913519947e-08 1.282884706929777498e-03
3.000000000000000000e+00 5.066420988796405709e+02 2.180930693333555867e-02 1.604151832384893339e+00 3.423035081893359722e-08 4.554795794045095130e-04
4.000000000000000000e+00 2.873675228044353958e+02 1.231814219627810035e-02 9.253655083730469855e-01 1.903926683330085379e-08 2.069985513177950319e-04
5.000000000000000000e+00 1.831646635682060378e+02 6.282239780482710804e-03 5.439361306294371312e-01 1.225653957009153528e-08 1.090294354718694366e-04
6.000000000000000000e+00 1.266077796362263399e+02 2.987014531743669137e-03 3.260248855734396156e-01 8.530481805147926126e-09 6.341498804617670822e-05
7.000000000000000000e+00 9.287416259779274696e+01 1.376157170822005877e-03 2.005936073484617665e-01 6.316622640912834569e-09 3.963622802398816450e-05
8.000000000000000000e+00 7.121645805420976671e+01 6.507298464842046267e-04 1.280367871331200558e-01 4.850403785602799111e-09 2.615166235226091629e-05
9.000000000000000000e+00 5.653384972111432205e+01 3.418223547633528442e-04 8.596322617561116819e-02 3.857866174722028082e-09 1.799018362031629101e-05
1.000000000000000000e+01 4.612858224777603056e+01 2.118160387142013117e-04 6.147124691928836787e-02 3.132482076051080787e-09 1.280163358665694185e-05
1.100000000000000000e+01 3.848165603674028290e+01 1.520831955553957841e-04 4.707566069327142472e-02 2.584736034539762629e-09 9.420264249187470894e-06
1.200000000000000000e+01 3.271159218197156093e+01 1.202369311751690008e-04 3.842209904556318639e-02 2.167010639868084858e-09 7.058970966266814970e-06
1.300000000000000000e+01 2.822903263925029904e+01 1.000488519829562730e-04 3.299526824392091245e-02 1.842970282491444329e-09 5.398025475403899197e-06
1.400000000000000000e+01 2.466855663666575182e+01 8.681420398445180626e-05 2.939505589807465957e-02 1.588374625229026038e-09 4.188529879316202769e-06
1.500000000000000000e+01 2.180203767783412161e+01 7.837929303174471899e-05 2.686246414410320416e-02 1.385659349536871243e-09 3.305495246626862680e-06
1.600000000000000000e+01 1.946223481645295550e+01 7.415580557605764038e-05 2.495923413663424240e-02 1.222149867004722343e-09 2.649114052121141716e-06
1.700000000000000000e+01 1.750946402419403469e+01 7.276442994805725579e-05 2.343956803351943119e-02 1.088357009984367394e-09 2.149748641886129536e-06
1.800000000000000000e+01 1.587011875559755048e+01 7.404426801288175599e-05 2.216485379082316215e-02 9.771822981757119297e-10 1.758894897891825133e-06
1.900000000000000000e+01 1.448256393030847455e+01 7.678213135103998711e-05 2.105953509532709420e-02 8.832059145287377245e-10 1.451419601552161553e-06
2.000000000000000000e+01 1.328977505010345972e+01 8.116442770468510197e-05 2.006577277049352917e-02 8.022498797941918581e-10 1.208581063058031264e-06
2.100000000000000000e+01 1.225795901085346706e+01 8.609223722217019962e-05 1.914920750485155088e-02 7.312415132258481091e-10 1.015688054637515264e-06
2.200000000000000000e+01 1.136006814178297297e+01 9.160113562179095757e-05 1.828540646009411269e-02 6.685578606209328414e-10 8.600711668747804157e-07
2.300000000000000000e+01 1.057280511107729382e+01 9.732900849506401642e-05 1.746616282544784932e-02 6.130671686613086200e-10 7.330978017454733632e-07
2.400000000000000000e+01 9.875760964080964044e+00 1.037043483216182614e-04 1.668717882471790551e-02 5.637484020845834958e-10 6.278620693236355129e-07
2.500000000000000000e+01 9.256329916210862763e+00 1.100734652598762676e-04 1.594356679241031027e-02 5.198412814367855826e-10 5.403281006853984259e-07
2.600000000000000000e+01 8.704056383562967625e+00 1.168044629959668170e-04 1.523030364842131203e-02 4.806333433851816633e-10 4.673436074652386792e-07
2.700000000000000000e+01 8.209282415694529433e+00 1.237099016490067092e-04 1.454241454355133939e-02 4.455439943118934765e-10 4.064206025291710975e-07
2.800000000000000000e+01 7.763225500707049420e+00 1.307306345968476085e-04 1.387517516764849926e-02 4.140829503553004814e-10 3.553396154947182590e-07
2.900000000000000000e+01 7.359807246016620397e+00 1.377542318194062507e-04 1.322481513592850891e-02 3.858120781558060415e-10 3.122909417573023777e-07
3.000000000000000000e+01 6.993625289615928331e+00 1.450481924473739795e-04 1.258780254494258968e-02 3.603698683908442547e-10 2.755673181555793959e-07
