# ell  TT    EE    TE     PP     TP
2.000000000000000000e+00 1.071325942967704350e+03 3.262361090471718045e-02 2.795521164348886867e+00 5.074918380299056070e-07 3.142412930797892998e-03
3.000000000000000000e+00 5.066420988796405709e+02 2.180930693333555867e-02 1.604151832384893339e+00 2.302986620115947507e-07 1.577827546677426380e-03
4.000000000000000000e+00 2.873675228044353958e+02 1.231814219627810035e-02 9.253655083730469855e-01 1.348839996678255001e-07 9.257256639811368547e-04
5.000000000000000000e+00 1.831646635682060378e+02 6.282239780482710804e-03 5.439361306294371312e-01 9.013039914777116292e-08 5.971788123999680108e-04
6.000000000000000000e+00 1.266077796362263399e+02 2.987014531743669137e-03 3.260248855734396156e-01 6.461148300974454539e-08 4.109760939199053986e-04
7.000000000000000000e+00 9.287416259779274696e+01 1.376157170822005877e-03 2.005936073484617665e-01 4.895791582150587902e-08 2.966103707396232402e-04
8.000000000000000000e+00 7.121645805420976671e+01 6.507298464842046267e-04 1.280367871331200558e-01 3.835202972486493286e-08 2.219042134630155828e-04
9.000000000000000000e+00 5.653384972111432205e+01 3.418223547633528442e-04 8.596322617561116819e-02 3.100024476190056881e-08 1.706698672945599021e-04
1.000000000000000000e+01 4.612858224777603056e+01 2.118160387142013117e-04 6.147124691928836787e-02 2.554010637050326204e-08 1.342646657671799255e-04
1.100000000000000000e+01 3.848165603674028290e+01 1.520831955553957841e-04 4.707566069327142472e-02 2.123586316602069275e-08 1.082305962527999130e-04
1.200000000000000000e+01 3.271159218197156093e+01 1.202369311751690008e-04 3.842209904556318639e-02 1.801477395009548254e-08 8.816651911017733855e-05
1.300000000000000000e+01 2.822903263925029904e+01 1.000488519829562730e-04 3.299526824392091245e-02 1.548082189197677084e-08 7.282334504831488903e-05
1.400000000000000000e+01 2.466855663666575182e+01 8.681420398445180626e-05 2.939505589807465957e-02 1.346135061147663452e-08 6.069756449384246954e-05
1.500000000000000000e+01 2.180203767783412161e+01 7.837929303174471899e-05 2.686246414410320416e-02 1.183060672601408966e-08 5.120851216461446554e-05
