# ell  TT    EE    TE     PP     TP
2.000000000000000000e+00 1.442207608619280337e-10 4.389741111444902100e-15 3.763313661058178693e-13 8.576374739135210638e-09 4.706970122655576966e-10
3.000000000000000000e+00 6.820336579748847813e-11 2.933571972919612174e-15 2.159499555363388231e-13 2.662850818933595957e-09 1.671178056886844765e-10
4.000000000000000000e+00 3.868475701439603361e-11 1.656452832850310457e-15 1.245721599516855469e-13 1.112266833300853552e-09 7.594883555963860737e-11
5.000000000000000000e+00 2.465703322439358073e-11 8.437949897224314409e-16 7.322437758418235130e-14 5.532062367582027647e-10 4.000346192326891613e-11
6.000000000000000000e+00 1.704338202611348525e-11 4.004659947375276442e-16 4.388930855537792620e-14 3.083389480050706998e-10 2.326728601951080728e-11
7.000000000000000000e+00 1.250218546493736994e-11 1.836865579763007660e-16 2.700383803495530883e-14 1.864440694842631649e-10 1.454273638744750051e-11
8.000000000000000000e+00 9.586641194000763474e-12 8.613179325916486905e-17 1.723629638564406501e-14 1.198482300472429515e-10 9.595179729319727554e-12
9.000000000000000000e+00 7.610080396557698837e-12 4.463336829684098649e-17 1.157239393070839036e-14 8.075506361091633595e-11 6.600691110004142904e-12
1.000000000000000000e+01 6.209332858022915019e-12 2.714082221012121384e-17 8.275314568375108968e-15 5.648207605108048824e-11 4.696985355588678094e-12
1.100000000000000000e+01 5.179911746321372001e-12 1.919684072486361973e-17 6.337406637439089664e-15 3.973603453976247354e-11 3.456343514653264024e-12
1.200000000000000000e+01 4.403152877162692709e-12 1.495758460449840761e-17 5.172487591092402948e-15 2.938243473987995367e-11 2.589972836641649200e-12
1.300000000000000000e+01 3.799717199092188552e-12 1.230678538081996682e-17 4.441950003980428368e-15 2.220105172221353910e-11 1.980563373841093026e-12
1.400000000000000000e+01 3.320411960588099956e-12 1.054908769622315621e-17 3.957311486925750020e-15 1.708891094331168159e-11 1.536793204665640339e-12
1.500000000000000000e+01 2.934526882902597847e-12 9.450444601778498914e-18 3.616396101584395639e-15 1.336768287020459558e-11 1.212803245873000337e-12
1.600000000000000000e+01 2.619548064294430785e-12 8.890506142781276179e-18 3.360205605494125736e-15 1.060574935766330467e-11 9.719736019523542580e-13
1.700000000000000000e+01 2.356671300132076103e-12 8.765198155113907368e-18 3.155650744658288111e-15 8.520408677177949674e-12 7.887538586997356234e-13
1.800000000000000000e+01 2.135987698167164414e-12 8.969667541010141139e-18 2.984071557770229537e-15 6.919140280975210339e-12 6.453476051703633022e-13
1.900000000000000000e+01 1.949199960253983093e-12 9.409549385785060793e-18 2.835296615952265909e-15 5.679598739264037610e-12 5.325333339028293726e-13
2.000000000000000000e+01 1.788631463526917325e-12 1.000174590149119512e-17 2.701539564893888538e-15 4.702260746572802736e-12 4.434346222924349009e-13
2.100000000000000000e+01 1.649732984815612905e-12 1.069650079156036572e-17 2.578174905389813395e-15 3.925495909830744959e-12 3.726611831361273723e-13
2.200000000000000000e+01 1.528863368852605269e-12 1.145770754851218051e-17 2.461913438741768804e-15 3.300943624885345356e-12 3.155645448082114589e-13
2.300000000000000000e+01 1.422886332330959777e-12 1.227051732982841335e-17 2.351650313172682801e-15 2.795429530873799092e-12 2.689773625923585959e-13
2.400000000000000000e+01 1.329054425314745663e-12 1.312584388494589730e-17 2.246806912810507172e-15 2.381735417916800809e-12 2.303658298747515700e-13
2.500000000000000000e+01 1.245670659416114228e-12 1.401639366615668287e-17 2.146725218470056882e-15 2.041281436785595835e-12 1.982491655422485530e-13
2.600000000000000000e+01 1.171327506579986492e-12 1.493543759546260121e-17 2.050728984481665414e-15 1.758699510537780255e-12 1.714707787434374100e-13
2.700000000000000000e+01 1.104724818529484793e-12 1.587671177070623027e-17 1.958148462534155270e-15 1.522830290729425040e-12 1.491178141732420105e-13
2.800000000000000000e+01 1.044680299439558396e-12 1.683461093194887451e-17 1.868347633213830876e-15 1.324329665645319624e-12 1.303759367069228650e-13
2.900000000000000000e+01 9.903756835012687680e-13 1.780569921210384464e-17 1.780818895330002028e-15 1.156905742012953764e-12 1.145811563960016074e-13
3.000000000000000000e+01 9.410837124100640883e-13 1.878708309229678580e-17 1.695086752246876912e-15 1.015029681166809163e-12 1.011070695856097461e-13
3.100000000000000000e+01 8.961243258148567069e-13 1.977604403034806475e-17 1.610749213473851289e-15 8.936387204667819427e-13 8.940520337990673451e-14
3.200000000000000000e+01 8.550062551786604180e-13 2.077056339076106362e-17 1.527698313090099968e-15 7.895344013759045687e-13 7.923880791793445788e-14
3.300000000000000000e+01 8.172854299178682671e-13 2.176879751472205630e-17 1.445899591316913708e-15 6.999843413805988880e-13 7.044906409745901612e-14
3.400000000000000000e+01 7.825481921659688170e-13 2.276928844534192761e-17 1.365283576006497292e-15 6.224511714846687042e-13 6.287256035169093533e-14
3.500000000000000000e+01 7.505025349232417510e-13 2.377212103349486819e-17 1.285640745529871348e-15 5.551775767591570689e-13 5.632751525641664107e-14
3.600000000000000000e+01 7.208868639051908140e-13 2.477776583197589552e-17 1.206726565889499652e-15 4.966012557911535060e-13 5.062755492270616481e-14
3.700000000000000000e+01 6.934506727578684095e-13 2.578633372134135792e-17 1.128360068351481715e-15 4.452841371600470570e-13 4.560588180686504380e-14
3.800000000000000000e+01 6.679878068423586678e-13 2.679649689316902711e-17 1.050614545243734449e-15 4.002850694088927108e-13 4.117400374479131219e-14
3.900000000000000000e+01 6.443031994486720256e-13 2.780656786680198385e-17 9.736268541589592793e-16 3.607871310726377955e-13 3.726300491748688376e-14
4.000000000000000000e+01 6.222017838663633238e-13 2.881485916156819730e-17 8.975338526892356111e-16 3.259734006861181132e-13 3.380396950589480435e-14
4.100000000000000000e+01 6.015057325368983430e-13 2.981991900436839535e-17 8.224423358092746360e-16 2.950950563909958721e-13 3.073230493186983893e-14
4.200000000000000000e+01 5.821061745064883590e-13 3.082123845229317552e-17 7.483388480183990152e-16 2.676756747565782282e-13 2.800071158081152831e-14
4.300000000000000000e+01 5.639114779727754548e-13 3.181854427000247362e-17 6.751798711984241573e-16 2.433069319590717983e-13 2.556621307901869055e-14
4.400000000000000000e+01 5.468300111337298794e-13 3.281156322215865984e-17 6.029218872307025087e-16 2.215805041746626509e-13 2.338583305277651848e-14
4.500000000000000000e+01 5.307728710262112236e-13 3.379992454074276092e-17 5.315273346260945915e-16 2.021209648562282424e-13 2.142078628565639046e-14
