# ell  TT    EE    TE     PP     TP
2.000000000000000000e+00 1.071322326824693164e+03 3.262184348263701822e-02 2.795521197494993615e+00 8.115637473913519947e-08 1.282884706929777498e-03
3.000000000000000000e+00 5.066384911935149944e+02 2.180753909843039309e-02 1.604151906195851351e+00 3.423035081893359722e-08 4.554795794045095130e-04
4.000000000000000000e+00 2.873639262601780615e+02 1.231637381501681124e-02 9.253656355201433925e-01 1.903926683330085379e-08 2.069985513177950319e-04
5.000000000000000000e+00 1.831610807380823474e+02 6.280470722853370713e-03 5.439363235335553659e-01 1.225653957009153528e-08 1.090294354718694366e-04
6.000000000000000000e+00 1.266042129562256093e+02 2.985244672125012075e-03 3.260251561796687070e-01 8.530481805147926126e-09 6.341498804617670822e-05
7.000000000000000000e+00 9.287061434601388044e+01 1.374386388864893204e-03 2.005939670179197887e-01 6.316622640912834569e-09 3.963622802398816450e-05
8.000000000000000000e+00 7.121293033251588156e+01 6.489580279896656418e-04 1.280372465653731584e-01 4.850403785602799111e-09 2.615166235226091629e-05
9.000000000000000000e+00 5.653034443918948426e+01 3.400493925461808191e-04 8.596379534827615354e-02 3.857866174722028082e-09 1.799018362031629101e-05
1.000000000000000000e+01 4.612510111162772830e+01 2.100418334497594608e-04 6.147193504281787957e-02 3.132482076051080787e-09 1.280163358665694185e-05
1.100000000000000000e+01 3.847820053976430188e+01 1.503076565977508837e-04 4.707647617957232133e-02 2.584736034539762629e-09 9.420264249187470894e-06
1.200000000000000000e+01 3.270816360045970583e+01 1.184599773362219065e-04 3.842304949041315532e-02 2.167010639868084858e-09 7.058970966266814970e-06
1.300000000000000000e+01 2.822563203100575535e+01 9.827041226031035478e-05 3.299636042255551377e-02 1.842970282491444329e-09 5.398025475403899197e-06
1.400000000000000000e+01 2.466518484343760420e+01 8.503421822551120147e-05 2.939629577323276538e-02 1.588374625229026038e-09 4.188529879316202769e-06
1.500000000000000000e+01 2.179869533094123213e+01 7.659771252023247058e-05 2.686385688530347135e-02 1.385659349536871243e-09 3.305495246626862680e-06
1.600000000000000000e+01 1.945892234578855096e+01 7.237259352835583514e-05 2.496078414962368819e-02 1.222149867004722343e-09 2.649114052121141716e-06
