# ell  TT    EE    TE
2.000000000000000000e+00 1.069640612651438005e+03 3.589980979359367469e-02 2.880267795664977815e+00
3.000000000000000000e+00 5.061604527249047010e+02 2.443768124069005052e-02 1.655814210605942582e+00
4.000000000000000000e+00 2.872584834754116514e+02 1.352672814565283876e-02 9.475891608194321192e-01
5.000000000000000000e+00 1.832054732862156641e+02 6.441983096042148277e-03 5.478746206932444407e-01
6.000000000000000000e+00 1.267426921886311675e+02 2.725454353438515852e-03 3.201875780713491770e-01
7.000000000000000000e+00 9.304077519256740914e+01 1.115048947219004398e-03 1.904677171048145545e-01
8.000000000000000000e+00 7.142964419509281981e+01 5.287592691962426190e-04 1.169421124924961836e-01
9.000000000000000000e+00 5.677569387912961218e+01 3.283253783312965464e-04 7.579029838818140963e-02
1.000000000000000000e+01 4.637767169963349545e+01 2.362227348471312950e-04 5.315328794455938255e-02
1.100000000000000000e+01 3.873832953896038589e+01 1.710451672926713740e-04 4.085743426858654687e-02
1.200000000000000000e+01 3.295569136778937036e+01 1.250323830929297390e-04 3.412659725658086923e-02
1.300000000000000000e+01 2.846328605958415636e+01 9.823016564231540186e-05 3.023527833978131157e-02
1.400000000000000000e+01 2.489275619253891847e+01 8.574701324865769542e-05 2.770448245150275435e-02
1.500000000000000000e+01 2.201366691157024746e+01 7.986715697655631912e-05 2.580206119794142827e-02
1.600000000000000000e+01 1.965619559092127488e+01 7.659489724928644414e-05 2.418963312217012676e-02
1.700000000000000000e+01 1.769282357646575221e+01 7.454197357844162368e-05 2.273057714977221033e-02
1.800000000000000000e+01 1.604014425804002286e+01 7.501958330050047870e-05 2.141383498824753207e-02
1.900000000000000000e+01 1.463735353522476679e+01 7.744342790249690697e-05 2.025283342454529609e-02
2.000000000000000000e+01 1.343176547185018244e+01 8.220634680444653469e-05 1.925486026461296560e-02
2.100000000000000000e+01 1.238904927725653238e+01 8.785023094396971182e-05 1.840221555634062589e-02
2.200000000000000000e+01 1.148079903221827003e+01 9.400137071126310224e-05 1.766823936468491993e-02
2.300000000000000000e+01 1.068395315753410735e+01 1.002536027893315151e-04 1.701541958095923596e-02
2.400000000000000000e+01 9.978651929650386165e+00 1.070580942689080184e-04 1.640602162116781837e-02
2.500000000000000000e+01 9.352498707525377597e+00 1.136854875785719250e-04 1.581227317363441062e-02
2.600000000000000000e+01 8.794903278243712208e+00 1.204317148505127543e-04 1.521187546303217827e-02
2.700000000000000000e+01 8.295038058811289972e+00 1.271494916930107275e-04 1.459446158699265368e-02
2.800000000000000000e+01 7.843069823552107245e+00 1.338496456458170144e-04 1.395565537794842860e-02
2.900000000000000000e+01 7.433380146019802126e+00 1.404966653252450836e-04 1.330311173446004080e-02
3.000000000000000000e+01 7.061404299574212118e+00 1.474367527255239767e-04 1.264749332160721926e-02
3.100000000000000000e+01 6.722718690518447282e+00 1.545185565302670478e-04 1.199833033362980930e-02
3.200000000000000000e+01 6.413464256968874011e+00 1.617263743965577317e-04 1.136062308127081324e-02
3.300000000000000000e+01 6.129923069964666738e+00 1.690299318989715209e-04 1.073823940441712664e-02
3.400000000000000000e+01 5.868693470837180293e+00 1.764010727849466562e-04 1.013352160209369558e-02
3.500000000000000000e+01 5.627638881980947971e+00 1.838201134668476105e-04 9.542709809852006550e-03
3.600000000000000000e+01 5.404938996069374113e+00 1.912694885300930485e-04 8.960518622389153018e-03
3.700000000000000000e+01 5.198812866272127131e+00 1.987337331812467358e-04 8.382447800487607958e-03
3.800000000000000000e+01 5.007636987816592722e+00 2.062057850847669399e-04 7.807137769311522056e-03
3.900000000000000000e+01 4.829827216424027903e+00 2.136806825266244114e-04 7.234014120114104843e-03
4.000000000000000000e+01 4.663799407821854537e+00 2.211534638017879928e-04 6.662502444153555782e-03
4.100000000000000000e+01 4.508134326828420413e+00 2.286180499752965101e-04 6.092644251086413304e-03
4.200000000000000000e+01 4.362072374604300862e+00 2.360638931651540121e-04 5.526944724171102205e-03
4.300000000000000000e+01 4.225018861407853876e+00 2.434793282592026748e-04 4.968524965071093556e-03
4.400000000000000000e+01 4.096379097488602739e+00 2.508526901549185963e-04 4.420506075448975454e-03
4.500000000000000000e+01 3.975556181511512133e+00 2.581742462828832594e-04 3.885178311050747641e-03
4.600000000000000000e+01 3.861944365772553400e+00 2.654419941793116243e-04 3.361508543932017513e-03
4.700000000000000000e+01 3.754935690980106155e+00 2.726558639134066980e-04 2.847632800237761153e-03
4.800000000000000000e+01 3.653922197837519814e+00 2.798157855644383589e-04 2.341687106107594781e-03
4.900000000000000000e+01 3.558295927053883201e+00 2.869216892205479156e-04 1.841807487685211435e-03
5.000000000000000000e+01 3.467512632565652453e+00 2.939719533661611572e-04 1.346574507684832013e-03
5.100000000000000000e+01 3.381282921242154682e+00 3.009587500373342027e-04 8.563468751174047738e-04
5.200000000000000000e+01 3.299381113187243475e+00 3.078726996665931588e-04 3.719278355672142470e-04
5.300000000000000000e+01 3.221581528501944902e+00 3.147044226955428617e-04 -1.058793653808070927e-04
5.400000000000000000e+01 3.147658487290918128e+00 3.214445395762290146e-04 -5.762714821422788456e-04
5.500000000000000000e+01 3.077387141908142443e+00 3.280851436065300290e-04 -1.038647069156646303e-03
5.600000000000000000e+01 3.010545973730756941e+00 3.346242194412440930e-04 -1.493211880961339616e-03
5.700000000000000000e+01 2.946914296391938137e+00 3.410612245816021008e-04 -1.940373472116529692e-03
5.800000000000000000e+01 2.886271423520747170e+00 3.473956165387835312e-04 -2.380539397183391304e-03
5.900000000000000000e+01 2.828396668749627807e+00 3.536268528345670238e-04 -2.814117210723078837e-03
6.000000000000000000e+01 2.773069345708992550e+00 3.597543910004346646e-04 -3.241514467297679745e-03
6.100000000000000000e+01 2.720088495922631910e+00 3.657765579797190724e-04 -3.663001625470960979e-03
6.200000000000000000e+01 2.669332072485907759e+00 3.716871583290863807e-04 -4.078300759823377808e-03
6.300000000000000000e+01 2.620697756389142263e+00 3.774788660167215440e-04 -4.486996848938107352e-03
6.400000000000000000e+01 2.574083228619234109e+00 3.831443550213774521e-04 -4.888674871397958969e-03
6.500000000000000000e+01 2.529386170164475978e+00 3.886762993322788701e-04 -5.282919805787765141e-03
